"","Competition_Name","Gender","Country","Season_End_Year","Squad","Team_or_Opponent","Num_Players","Mins_Per_90","SCA_SCA","SCA90_SCA","PassLive_SCA_Types","PassDead_SCA_Types","TO_SCA_Types","Sh_SCA_Types","Fld_SCA_Types","Def_SCA_Types","GCA_GCA","GCA90_GCA","PassLive_GCA_Types","PassDead_GCA_Types","TO_GCA_Types","Sh_GCA_Types","Fld_GCA_Types","Def_GCA_Types"
"1","La Liga","M","ESP",2024,"Alavés","team",30,38,817,21.5,563,88,54,53,43,16,60,1.58,39,5,6,4,6,0
"2","La Liga","M","ESP",2024,"Almería","team",35,38,823,21.66,586,66,47,52,50,22,70,1.84,45,3,7,9,4,2
"3","La Liga","M","ESP",2024,"Athletic Club","team",27,38,817,21.5,612,81,48,33,32,11,103,2.71,83,6,6,3,4,1
"4","La Liga","M","ESP",2024,"Atlético Madrid","team",27,38,852,22.42,650,59,56,42,31,14,120,3.16,94,3,10,7,5,1
"5","La Liga","M","ESP",2024,"Barcelona","team",29,38,1063,27.97,798,83,63,69,39,11,136,3.58,105,6,6,11,7,1
"6","La Liga","M","ESP",2024,"Betis","team",35,38,870,22.89,632,75,52,62,34,15,78,2.05,57,3,5,7,3,3
"7","La Liga","M","ESP",2024,"Celta Vigo","team",31,38,855,22.5,645,67,50,43,42,8,81,2.13,63,2,5,5,6,0
"8","La Liga","M","ESP",2024,"Cádiz","team",34,38,698,18.37,478,85,30,48,42,15,40,1.05,25,4,1,5,4,1
"9","La Liga","M","ESP",2024,"Getafe","team",33,38,766,20.16,531,87,45,48,40,15,69,1.82,40,8,8,9,4,0
"10","La Liga","M","ESP",2024,"Girona","team",25,38,872,22.95,674,62,45,45,36,10,152,4,119,7,10,7,8,1
"11","La Liga","M","ESP",2024,"Granada","team",40,38,708,18.63,475,74,47,50,49,13,63,1.66,45,3,3,5,5,2
"12","La Liga","M","ESP",2024,"Las Palmas","team",29,38,707,18.61,560,40,38,30,30,9,60,1.58,49,3,1,3,3,1
"13","La Liga","M","ESP",2024,"Mallorca","team",25,38,734,19.32,501,99,37,52,33,12,57,1.5,33,12,1,8,3,0
"14","La Liga","M","ESP",2024,"Osasuna","team",29,38,714,18.79,505,77,32,47,45,8,73,1.92,45,8,4,10,6,0
"15","La Liga","M","ESP",2024,"Rayo Vallecano","team",26,38,815,21.45,548,79,36,62,70,20,40,1.05,21,3,3,7,5,1
"16","La Liga","M","ESP",2024,"Real Madrid","team",27,38,1082,28.47,813,72,84,59,38,16,154,4.05,113,8,16,13,2,2
"17","La Liga","M","ESP",2024,"Real Sociedad","team",31,38,775,20.39,528,79,53,59,37,19,79,2.08,54,4,6,9,4,2
"18","La Liga","M","ESP",2024,"Sevilla","team",35,38,874,23,641,94,42,40,45,12,84,2.21,62,6,6,5,2,3
