"","Competition_Name","Gender","Country","Season_End_Year","Squad","Team_or_Opponent","Num_Players","Mins_Per_90","SCA_SCA","SCA90_SCA","PassLive_SCA_Types","PassDead_SCA_Types","TO_SCA_Types","Sh_SCA_Types","Fld_SCA_Types","Def_SCA_Types","GCA_GCA","GCA90_GCA","PassLive_GCA_Types","PassDead_GCA_Types","TO_GCA_Types","Sh_GCA_Types","Fld_GCA_Types","Def_GCA_Types"
"19","La Liga","M","ESP",2024,"Valencia","team",29,38,670,17.63,478,66,38,29,42,17,66,1.74,47,3,5,5,6,0
"20","La Liga","M","ESP",2024,"Villarreal","team",32,38,855,22.5,624,76,53,56,30,16,111,2.92,77,9,4,15,5,1
"21","La Liga","M","ESP",2024,"vs Alavés","opponent",30,38,820,21.58,597,79,54,38,40,12,81,2.13,55,6,6,7,7,0
"22","La Liga","M","ESP",2024,"vs Almería","opponent",35,38,1074,28.26,773,110,72,62,43,14,128,3.37,97,6,10,9,4,2
"23","La Liga","M","ESP",2024,"vs Athletic Club","opponent",27,38,734,19.32,524,70,41,42,42,15,60,1.58,43,4,5,6,2,0
"24","La Liga","M","ESP",2024,"vs Atlético Madrid","opponent",27,38,787,20.71,577,72,44,46,29,19,75,1.97,55,4,9,4,1,2
"25","La Liga","M","ESP",2024,"vs Barcelona","opponent",29,38,723,19.03,538,64,43,33,32,13,81,2.13,63,5,7,3,3,0
"26","La Liga","M","ESP",2024,"vs Betis","opponent",35,38,786,20.68,537,83,52,56,48,10,74,1.95,46,3,6,8,10,1
"27","La Liga","M","ESP",2024,"vs Celta Vigo","opponent",31,38,844,22.21,584,95,57,58,37,13,92,2.42,59,4,9,12,6,2
"28","La Liga","M","ESP",2024,"vs Cádiz","opponent",34,38,909,23.92,671,67,63,43,43,22,91,2.39,67,6,9,6,2,1
"29","La Liga","M","ESP",2024,"vs Getafe","opponent",33,38,805,21.18,571,87,44,41,52,10,95,2.5,64,6,6,10,9,0
"30","La Liga","M","ESP",2024,"vs Girona","opponent",25,38,882,23.21,650,75,42,60,31,24,70,1.84,47,4,3,12,3,1
"31","La Liga","M","ESP",2024,"vs Granada","opponent",40,38,860,22.63,630,74,39,56,49,12,133,3.5,95,6,9,13,6,4
"32","La Liga","M","ESP",2024,"vs Las Palmas","opponent",29,38,766,20.16,535,89,50,47,34,11,83,2.18,60,5,3,8,5,2
"33","La Liga","M","ESP",2024,"vs Mallorca","opponent",25,38,857,22.55,641,56,51,44,50,15,73,1.92,52,6,3,4,7,1
"34","La Liga","M","ESP",2024,"vs Osasuna","opponent",29,38,757,19.92,561,65,41,47,32,11,95,2.5,72,10,5,5,2,1
"35","La Liga","M","ESP",2024,"vs Rayo Vallecano","opponent",26,38,793,20.87,577,74,64,37,31,10,81,2.13,62,7,6,4,2,0
"36","La Liga","M","ESP",2024,"vs Real Madrid","opponent",27,38,688,18.11,523,54,25,46,26,14,38,1,30,2,2,4,0,0
"37","La Liga","M","ESP",2024,"vs Real Sociedad","opponent",31,38,674,17.74,451,71,37,53,51,11,67,1.76,43,5,4,10,4,1
"38","La Liga","M","ESP",2024,"vs Sevilla","opponent",35,38,874,23,646,72,52,51,39,14,88,2.32,67,6,2,6,5,2
"39","La Liga","M","ESP",2024,"vs Valencia","opponent",29,38,730,19.21,519,65,38,53,44,11,76,2,50,7,4,9,5,1
"40","La Liga","M","ESP",2024,"vs Villarreal","opponent",32,38,1004,26.42,737,87,41,66,55,18,115,3.03,89,4,5,7,9,1
