"","Competition_Name","Gender","Country","Season_End_Year","Squad","Team_or_Opponent","Num_Players","Mins_Per_90","GA_Goals","PKA_Goals","FK_Goals","CK_Goals","OG_Goals","PSxG_Expected","PSxG_per_SoT_Expected","PSxGPlus_Minus_Expected","_per_90_Expected","Cmp_Launched","Att_Launched","Cmp_percent_Launched","Att (GK)_Passes","Thr_Passes","Launch_percent_Passes","AvgLen_Passes","Att_Goal_Kicks","Launch_percent_Goal_Kicks","AvgLen_Goal_Kicks","Opp_Crosses","Stp_Crosses","Stp_percent_Crosses","#OPA_Sweeper","#OPA_per_90_Sweeper","AvgDist_Sweeper"
"15","La Liga","M","ESP",2024,"Rayo Vallecano","team",2,38,48,1,1,5,2,47.8,0.31,1.8,0.05,170,613,27.7,915,176,46.3,36.3,320,59.1,47.8,534,23,4.3,40,1.05,17
"16","La Liga","M","ESP",2024,"Real Madrid","team",3,38,26,1,0,2,1,34.4,0.29,9.4,0.25,79,210,37.6,952,177,17.1,27,291,16.2,24.3,487,35,7.2,38,1,14.7
"17","La Liga","M","ESP",2024,"Real Sociedad","team",2,38,39,6,0,5,1,40.8,0.27,2.8,0.07,192,465,41.3,1099,116,31.8,37,199,58.3,45.6,410,19,4.6,58,1.53,20.1
"18","La Liga","M","ESP",2024,"Sevilla","team",3,38,54,5,1,4,2,53.5,0.28,1.5,0.04,224,613,36.5,920,182,43.8,32.7,288,72.9,53.4,520,31,6,32,0.84,15.4
"19","La Liga","M","ESP",2024,"Valencia","team",3,38,45,3,1,7,2,51.4,0.29,8.4,0.22,191,696,27.4,883,148,58.2,41.4,275,66.2,49.9,561,46,8.2,32,0.84,12.3
"20","La Liga","M","ESP",2024,"Villarreal","team",2,38,65,6,1,9,1,61.7,0.27,-2.3,-0.06,150,378,39.7,1015,190,26.8,30.2,354,29.9,29.8,688,35,5.1,36,0.95,5.3
"21","La Liga","M","ESP",2024,"vs Alavés","opponent",2,38,36,3,0,5,3,43.1,0.26,10.1,0.27,193,497,38.8,1023,203,32.7,33.2,338,47.9,40.8,584,38,6.5,29,0.76,12.4
"22","La Liga","M","ESP",2024,"vs Almería","opponent",3,38,43,2,0,1,1,46.2,0.28,4.2,0.11,204,568,35.9,992,158,39.7,35.2,302,57.6,44.6,503,35,7,43,1.13,15
"23","La Liga","M","ESP",2024,"vs Athletic Club","opponent",2,38,61,3,0,6,2,59.7,0.34,0.7,0.02,216,576,37.5,1189,170,34.4,33.3,306,54.6,43.4,651,32,4.9,45,1.18,15
"24","La Liga","M","ESP",2024,"vs Atlético Madrid","opponent",1,38,70,5,0,4,2,65.7,0.3,-2.3,-0.06,194,535,36.3,1020,160,38.5,36.1,297,47.8,40.8,476,34,7.1,42,1.11,14
"25","La Liga","M","ESP",2024,"vs Barcelona","opponent",2,38,79,6,2,9,3,73.1,0.3,-2.9,-0.08,251,737,34.1,960,152,53.2,41,328,68.9,50.2,515,36,7,45,1.19,14.2
"26","La Liga","M","ESP",2024,"vs Betis","opponent",3,38,48,2,1,5,2,40.5,0.25,-5.5,-0.15,199,532,37.4,1055,152,37.5,33.8,279,48.7,40.4,483,31,6.4,33,0.87,12.9
"27","La Liga","M","ESP",2024,"vs Celta Vigo","opponent",2,38,46,3,0,3,1,50.4,0.3,5.4,0.14,202,559,36.1,958,141,41,36.4,299,55.5,42.8,504,29,5.8,59,1.55,15.9
"28","La Liga","M","ESP",2024,"vs Cádiz","opponent",2,38,26,3,1,4,1,32.8,0.25,7.8,0.21,203,523,38.8,871,179,41.2,37.5,304,53.9,42.2,602,41,6.8,47,1.24,15.3
"29","La Liga","M","ESP",2024,"vs Getafe","opponent",2,38,42,6,0,6,0,48.1,0.27,6.1,0.16,193,611,31.6,1204,194,38,34.9,280,55,44.3,559,38,6.8,31,0.82,13.5
"30","La Liga","M","ESP",2024,"vs Girona","opponent",1,38,85,7,0,7,1,73.4,0.37,-10.6,-0.28,234,555,42.2,921,146,41.8,37.2,299,56.9,44.6,525,32,6.1,45,1.18,15.2
"31","La Liga","M","ESP",2024,"vs Granada","opponent",4,38,38,5,0,1,3,37.5,0.25,2.5,0.07,220,610,36.1,1057,154,41.9,36.9,271,61.6,46.6,508,34,6.7,42,1.11,14.4
"32","La Liga","M","ESP",2024,"vs Las Palmas","opponent",2,38,33,3,1,4,0,37.2,0.26,4.2,0.11,231,627,36.8,1046,154,45.4,37.3,263,57.8,45.9,429,23,5.4,68,1.79,17.6
"33","La Liga","M","ESP",2024,"vs Mallorca","opponent",3,38,33,1,0,10,0,34.1,0.25,1.1,0.03,211,611,34.5,955,162,45.3,38.3,273,65.2,47.4,589,44,7.5,52,1.37,14.5
"34","La Liga","M","ESP",2024,"vs Osasuna","opponent",2,38,45,4,0,7,0,42.5,0.3,-2.5,-0.07,175,538,32.5,1024,189,37.1,35.1,304,52,42.5,641,28,4.4,52,1.37,15.7
"35","La Liga","M","ESP",2024,"vs Rayo Vallecano","opponent",2,38,29,6,1,3,0,43.4,0.23,14.4,0.38,245,640,38.3,1122,148,40.6,35.8,332,55.4,45.1,526,29,5.5,45,1.18,15.4
"36","La Liga","M","ESP",2024,"vs Real Madrid","opponent",3,38,87,2,0,9,2,73.2,0.29,-11.8,-0.31,181,508,35.6,928,189,36.1,35,322,53.7,43.3,468,21,4.5,28,0.74,12.5
"37","La Liga","M","ESP",2024,"vs Real Sociedad","opponent",2,38,51,4,2,7,3,49.5,0.32,1.5,0.04,269,777,34.6,1090,107,52.2,40.9,331,62.8,47.1,519,30,5.8,30,0.79,13.8
"38","La Liga","M","ESP",2024,"vs Sevilla","opponent",3,38,48,2,0,10,2,51.2,0.31,5.2,0.14,170,501,33.9,871,168,36.9,35.3,348,51.7,42.1,727,28,3.9,38,1,13.8
"39","La Liga","M","ESP",2024,"vs Valencia","opponent",3,38,40,8,0,1,1,42.4,0.27,3.4,0.09,236,535,44.1,1101,147,35,34.5,260,57.7,46.1,441,33,7.5,58,1.53,15.4
"40","La Liga","M","ESP",2024,"vs Villarreal","opponent",2,38,65,5,0,8,1,61,0.33,-3,-0.08,195,551,35.4,1005,136,41,36.2,246,56.5,44,478,27,5.6,52,1.37,15.2
