"","Competition_Name","Gender","Country","Season_End_Year","Squad","Team_or_Opponent","Num_Players","Mins_Per_90","GA_Goals","PKA_Goals","FK_Goals","CK_Goals","OG_Goals","PSxG_Expected","PSxG_per_SoT_Expected","PSxGPlus_Minus_Expected","_per_90_Expected","Cmp_Launched","Att_Launched","Cmp_percent_Launched","Att (GK)_Passes","Thr_Passes","Launch_percent_Passes","AvgLen_Passes","Att_Goal_Kicks","Launch_percent_Goal_Kicks","AvgLen_Goal_Kicks","Opp_Crosses","Stp_Crosses","Stp_percent_Crosses","#OPA_Sweeper","#OPA_per_90_Sweeper","AvgDist_Sweeper"
"1","La Liga","M","ESP",2024,"Alavés","team",2,38,46,8,0,4,2,44.8,0.25,0.8,0.02,315,778,40.5,886,125,62.2,41.7,335,67.8,48.4,530,29,5.5,37,0.97,15.2
"2","La Liga","M","ESP",2024,"Almería","team",3,38,75,6,0,8,0,70.3,0.32,-4.7,-0.12,181,615,29.4,1115,180,39.5,35.5,330,53,41.7,629,29,4.6,47,1.24,14.5
"3","La Liga","M","ESP",2024,"Athletic Club","team",2,38,37,1,0,2,4,40.4,0.28,7.4,0.2,238,728,32.7,1050,164,48,32.4,272,82.4,59.3,491,33,6.7,49,1.29,15.3
"4","La Liga","M","ESP",2024,"Atlético Madrid","team",1,38,43,1,0,3,0,39.8,0.28,-3.2,-0.08,114,336,33.9,725,180,27.2,31.5,298,46.6,39,579,36,6.2,22,0.58,11.8
"5","La Liga","M","ESP",2024,"Barcelona","team",2,38,44,2,0,1,0,41.6,0.28,-2.4,-0.06,113,216,52.3,1076,161,14.7,26.3,255,22.7,27.9,450,15,3.3,36,0.95,15.6
"6","La Liga","M","ESP",2024,"Betis","team",3,38,45,7,3,3,3,47.5,0.26,5.5,0.15,180,510,35.3,1022,167,35.2,30.6,279,53.8,42.6,541,38,7,42,1.11,12.6
"7","La Liga","M","ESP",2024,"Celta Vigo","team",2,38,57,6,0,7,3,56,0.31,2,0.05,176,494,35.6,811,182,38.3,35.5,312,58.7,45.4,556,28,5,36,0.95,13.3
"8","La Liga","M","ESP",2024,"Cádiz","team",2,38,55,2,0,6,1,51.7,0.3,-2.3,-0.06,364,910,40,991,123,62.8,49.3,342,84.2,60.7,617,60,9.7,45,1.18,7
"9","La Liga","M","ESP",2024,"Getafe","team",2,38,54,5,0,7,0,55.2,0.29,1.2,0.03,341,915,37.3,977,124,66.6,39.2,322,82,56.2,463,18,3.9,62,1.63,10.7
"10","La Liga","M","ESP",2024,"Girona","team",1,38,46,5,0,8,0,51.1,0.28,5.1,0.13,155,420,36.9,1074,178,27.1,30,312,41.3,37.9,534,41,7.7,33,0.87,13.2
"11","La Liga","M","ESP",2024,"Granada","team",4,38,79,5,0,12,2,70.2,0.33,-6.8,-0.18,231,626,36.9,1096,185,40.1,32.2,293,63.8,47.9,536,33,6.2,52,1.37,12.6
"12","La Liga","M","ESP",2024,"Las Palmas","team",2,38,47,5,0,5,3,51.2,0.29,7.2,0.19,146,473,30.9,1733,204,23.3,27.3,265,26.4,27.1,545,30,5.5,100,2.63,17.8
"13","La Liga","M","ESP",2024,"Mallorca","team",3,38,44,4,1,4,1,43.6,0.26,0.6,0.02,333,824,40.4,981,128,61,33,332,68.1,51.3,520,34,6.5,29,0.76,7
"14","La Liga","M","ESP",2024,"Osasuna","team",2,38,56,1,0,8,0,51.8,0.33,-4.2,-0.11,329,771,42.7,1071,119,55.2,40.4,308,58.4,43.4,537,30,5.6,58,1.53,16.4
