"","Competition_Name","Gender","Country","Season_End_Year","Squad","Team_or_Opponent","Num_Players","Mins_Per_90","SCA_SCA","SCA90_SCA","PassLive_SCA_Types","PassDead_SCA_Types","TO_SCA_Types","Sh_SCA_Types","Fld_SCA_Types","Def_SCA_Types","GCA_GCA","GCA90_GCA","PassLive_GCA_Types","PassDead_GCA_Types","TO_GCA_Types","Sh_GCA_Types","Fld_GCA_Types","Def_GCA_Types"
"18","La Liga","M","ESP",2021,"Valencia","team",30,38,687,18.08,482,58,47,34,59,7,86,2.26,58,10,5,5,8,0
"19","La Liga","M","ESP",2021,"Valladolid","team",32,38,652,17.16,471,50,33,31,55,12,56,1.47,36,2,3,5,9,1
"20","La Liga","M","ESP",2021,"Villarreal","team",29,38,742,19.53,576,46,49,27,37,7,99,2.61,69,3,12,7,7,1
"21","La Liga","M","ESP",2021,"vs Alavés","opponent",30,38,706,18.58,515,63,42,32,42,12,102,2.68,76,4,9,5,5,3
"22","La Liga","M","ESP",2021,"vs Athletic Club","opponent",27,38,671,17.66,499,62,40,24,39,7,74,1.95,50,9,2,3,8,2
"23","La Liga","M","ESP",2021,"vs Atlético Madrid","opponent",25,38,634,16.68,454,70,27,34,42,7,38,1,30,4,0,1,1,2
"24","La Liga","M","ESP",2021,"vs Barcelona","opponent",25,38,564,14.84,405,46,40,31,27,15,61,1.61,38,5,5,3,7,3
"25","La Liga","M","ESP",2021,"vs Betis","opponent",25,38,640,16.84,449,65,43,29,43,11,80,2.11,59,3,5,7,5,1
"26","La Liga","M","ESP",2021,"vs Celta Vigo","opponent",30,38,715,18.82,486,71,58,31,56,13,93,2.45,63,4,5,9,8,4
"27","La Liga","M","ESP",2021,"vs Cádiz","opponent",34,38,803,21.13,603,63,45,37,39,16,101,2.66,74,4,6,5,9,3
"28","La Liga","M","ESP",2021,"vs Eibar","opponent",30,38,598,15.74,425,57,38,39,30,9,91,2.39,72,1,10,5,3,0
"29","La Liga","M","ESP",2021,"vs Elche","opponent",30,38,849,22.34,624,72,55,30,56,12,98,2.58,70,8,8,7,5,0
"30","La Liga","M","ESP",2021,"vs Getafe","opponent",31,38,550,14.47,381,68,30,22,45,4,67,1.76,47,6,3,3,8,0
"31","La Liga","M","ESP",2021,"vs Granada","opponent",34,38,844,22.21,604,76,44,61,51,8,109,2.87,80,5,8,10,6,0
"32","La Liga","M","ESP",2021,"vs Huesca","opponent",27,38,757,19.92,528,80,54,38,49,8,87,2.29,56,7,8,10,6,0
"33","La Liga","M","ESP",2021,"vs Levante","opponent",29,38,804,21.16,574,79,46,43,40,22,94,2.47,69,7,6,4,4,4
"34","La Liga","M","ESP",2021,"vs Osasuna","opponent",28,38,787,20.71,623,51,36,34,42,1,84,2.21,63,5,4,6,6,0
"35","La Liga","M","ESP",2021,"vs Real Madrid","opponent",30,38,618,16.26,465,41,38,24,35,15,44,1.16,28,6,2,2,5,1
"36","La Liga","M","ESP",2021,"vs Real Sociedad","opponent",30,38,583,15.34,401,66,32,31,44,9,63,1.66,42,5,5,6,4,1
"37","La Liga","M","ESP",2021,"vs Sevilla","opponent",26,38,599,15.76,411,63,37,38,47,3,51,1.34,33,6,2,5,5,0
"38","La Liga","M","ESP",2021,"vs Valencia","opponent",30,38,959,25.24,688,84,60,65,50,12,80,2.11,50,5,7,10,6,2
"39","La Liga","M","ESP",2021,"vs Valladolid","opponent",32,38,815,21.45,584,90,47,38,47,9,94,2.47,65,5,9,7,6,2
"40","La Liga","M","ESP",2021,"vs Villarreal","opponent",29,38,696,18.32,520,51,38,32,41,14,67,1.76,41,8,5,5,6,2
