"","Competition_Name","Gender","Country","Season_End_Year","Squad","Team_or_Opponent","Num_Players","Mins_Per_90","SCA_SCA","SCA90_SCA","PassLive_SCA_Types","PassDead_SCA_Types","TO_SCA_Types","Sh_SCA_Types","Fld_SCA_Types","Def_SCA_Types","GCA_GCA","GCA90_GCA","PassLive_GCA_Types","PassDead_GCA_Types","TO_GCA_Types","Sh_GCA_Types","Fld_GCA_Types","Def_GCA_Types"
"1","La Liga","M","ESP",2021,"Alavés","team",30,38,595,15.66,375,98,24,35,50,13,59,1.55,28,10,3,5,9,4
"2","La Liga","M","ESP",2021,"Athletic Club","team",27,38,723,19.03,539,66,37,25,43,13,73,1.92,52,5,3,5,7,1
"3","La Liga","M","ESP",2021,"Atlético Madrid","team",25,38,796,20.95,585,71,55,42,35,8,120,3.16,90,7,12,3,7,1
"4","La Liga","M","ESP",2021,"Barcelona","team",25,38,1064,28,833,50,76,34,61,10,136,3.58,105,2,12,9,7,1
"5","La Liga","M","ESP",2021,"Betis","team",25,38,799,21.03,578,74,59,39,36,13,91,2.39,58,12,6,5,9,1
"6","La Liga","M","ESP",2021,"Celta Vigo","team",30,38,624,16.42,460,51,31,36,38,8,98,2.58,69,6,5,6,10,2
"7","La Liga","M","ESP",2021,"Cádiz","team",34,38,517,13.61,330,65,38,27,42,15,53,1.39,37,2,3,6,4,1
"8","La Liga","M","ESP",2021,"Eibar","team",30,38,758,19.95,503,88,49,52,51,15,48,1.26,30,3,6,4,2,3
"9","La Liga","M","ESP",2021,"Elche","team",30,38,460,12.11,318,60,22,25,30,5,54,1.42,35,8,3,4,3,1
"10","La Liga","M","ESP",2021,"Getafe","team",31,38,618,16.26,413,70,37,37,52,9,38,1,22,0,6,6,4,0
"11","La Liga","M","ESP",2021,"Granada","team",34,38,592,15.58,387,66,37,43,50,9,69,1.82,45,4,5,9,4,2
"12","La Liga","M","ESP",2021,"Huesca","team",27,38,719,18.92,517,71,44,34,43,10,56,1.47,41,6,2,4,1,2
"13","La Liga","M","ESP",2021,"Levante","team",29,38,671,17.66,519,48,36,25,29,14,80,2.11,60,4,5,4,3,4
"14","La Liga","M","ESP",2021,"Osasuna","team",28,38,615,16.18,441,70,31,35,30,8,61,1.61,45,4,0,6,3,3
"15","La Liga","M","ESP",2021,"Real Madrid","team",30,38,981,25.82,745,79,55,51,41,10,114,3,89,6,8,5,4,2
"16","La Liga","M","ESP",2021,"Real Sociedad","team",30,38,749,19.71,532,76,35,45,48,13,100,2.63,72,9,2,9,8,0
"17","La Liga","M","ESP",2021,"Sevilla","team",26,38,830,21.84,635,61,55,36,35,8,87,2.29,65,4,8,6,4,0
