"","Competition_Name","Gender","Country","Season_End_Year","Squad","Team_or_Opponent","Num_Players","MP_Playing_Time","Starts_Playing_Time","Min_Playing_Time","Mins_Per_90_Playing_Time","GA","GA90","SoTA","Saves","Save_percent","W","D","L","CS","CS_percent","PKatt_Penalty_Kicks","PKA_Penalty_Kicks","PKsv_Penalty_Kicks","PKm_Penalty_Kicks","Save_percent_Penalty_Kicks"
"1","La Liga","M","ESP",2024,"Alavés","team",2,38,38,3420,38,46,1.21,147,103,74.1,12,10,16,11,28.9,8,8,0,0,0
"2","La Liga","M","ESP",2024,"Almería","team",3,38,38,3420,38,75,1.97,202,126,65.8,3,12,23,6,15.8,9,6,1,2,14.3
"3","La Liga","M","ESP",2024,"Athletic Club","team",2,38,38,3420,38,37,0.97,134,98,73.1,19,11,8,18,47.4,5,1,3,1,75
"4","La Liga","M","ESP",2024,"Atlético Madrid","team",1,38,38,3420,38,43,1.13,144,101,70.8,24,4,10,13,34.2,2,1,0,1,0
"5","La Liga","M","ESP",2024,"Barcelona","team",2,38,38,3420,38,44,1.16,141,97,70.2,26,7,5,17,44.7,2,2,0,0,0
"6","La Liga","M","ESP",2024,"Betis","team",3,38,38,3420,38,45,1.18,158,115,75.9,14,15,9,13,34.2,8,7,1,0,12.5
"7","La Liga","M","ESP",2024,"Celta Vigo","team",2,38,38,3417,38,57,1.5,164,109,68.9,10,11,17,6,15.8,8,6,1,1,14.3
"8","La Liga","M","ESP",2024,"Cádiz","team",2,38,38,3420,38,55,1.45,175,121,69.7,6,15,17,10,26.3,2,2,0,0,0
"9","La Liga","M","ESP",2024,"Getafe","team",2,38,38,3420,38,54,1.42,173,118,71.7,10,13,15,10,26.3,7,5,1,1,16.7
"10","La Liga","M","ESP",2024,"Girona","team",1,38,38,3420,38,46,1.21,168,121,75.6,25,6,7,12,31.6,7,5,1,1,16.7
"11","La Liga","M","ESP",2024,"Granada","team",4,38,38,3420,38,79,2.08,203,126,63.5,4,9,25,3,7.9,6,5,0,1,0
"12","La Liga","M","ESP",2024,"Las Palmas","team",2,38,38,3416,38,47,1.24,156,109,73.1,10,10,18,8,21.1,9,5,3,1,37.5
"13","La Liga","M","ESP",2024,"Mallorca","team",3,38,38,3420,38,44,1.16,148,104,73,8,16,14,10,26.3,5,4,1,0,20
"14","La Liga","M","ESP",2024,"Osasuna","team",2,38,38,3420,38,56,1.47,152,95,63.8,12,9,17,10,26.3,2,1,1,0,50
"15","La Liga","M","ESP",2024,"Rayo Vallecano","team",2,38,38,3420,38,48,1.26,151,104,68.9,8,14,16,13,34.2,2,1,1,0,50
"16","La Liga","M","ESP",2024,"Real Madrid","team",3,38,38,3420,38,26,0.68,118,93,78.8,29,8,1,21,55.3,1,1,0,0,0
"17","La Liga","M","ESP",2024,"Real Sociedad","team",2,38,38,3417,38,39,1.03,135,96,75.6,16,12,10,15,39.5,7,6,1,0,14.3
"18","La Liga","M","ESP",2024,"Sevilla","team",3,38,38,3420,38,54,1.42,175,123,72,10,11,17,8,21.1,5,5,0,0,0
"19","La Liga","M","ESP",2024,"Valencia","team",3,38,38,3420,38,45,1.18,160,114,73.8,13,10,15,13,34.2,6,3,3,0,50
"20","La Liga","M","ESP",2024,"Villarreal","team",2,38,38,3420,38,65,1.71,214,150,72.4,14,11,13,6,15.8,6,6,0,0,0
"21","La Liga","M","ESP",2024,"vs Alavés","opponent",2,38,38,3417,38,36,0.95,142,106,76.8,16,10,12,15,39.5,7,3,3,1,50
"22","La Liga","M","ESP",2024,"vs Almería","opponent",3,38,38,3420,38,43,1.13,165,123,75.2,23,12,3,12,31.6,2,2,0,0,0
"23","La Liga","M","ESP",2024,"vs Athletic Club","opponent",2,38,38,3420,38,61,1.61,167,107,65.3,8,11,19,9,23.7,5,3,1,1,25
"24","La Liga","M","ESP",2024,"vs Atlético Madrid","opponent",1,38,38,3417,38,70,1.84,203,134,68,10,4,24,8,21.1,6,5,1,0,16.7
"25","La Liga","M","ESP",2024,"vs Barcelona","opponent",2,38,38,3416,38,79,2.08,226,149,67.7,5,7,26,2,5.3,7,6,1,0,14.3
"26","La Liga","M","ESP",2024,"vs Betis","opponent",3,38,38,3420,38,48,1.26,153,106,69.9,9,15,14,8,21.1,3,2,1,0,33.3
"27","La Liga","M","ESP",2024,"vs Celta Vigo","opponent",2,38,38,3420,38,46,1.21,156,109,72.4,17,11,10,13,34.2,5,3,2,0,40
"28","La Liga","M","ESP",2024,"vs Cádiz","opponent",2,38,38,3420,38,26,0.68,123,98,81.3,17,15,6,18,47.4,3,3,0,0,0
"29","La Liga","M","ESP",2024,"vs Getafe","opponent",2,38,38,3420,38,42,1.11,157,114,77.1,15,13,10,15,39.5,7,6,1,0,14.3
"30","La Liga","M","ESP",2024,"vs Girona","opponent",1,38,38,3420,38,85,2.24,186,101,58.1,7,6,25,7,18.4,8,7,1,0,12.5
"31","La Liga","M","ESP",2024,"vs Granada","opponent",4,38,38,3420,38,38,1,129,93,74.4,25,9,4,16,42.1,8,5,1,2,16.7
"32","La Liga","M","ESP",2024,"vs Las Palmas","opponent",2,38,38,3420,38,33,0.87,125,90,76,18,10,10,17,44.7,5,3,2,0,40
"33","La Liga","M","ESP",2024,"vs Mallorca","opponent",3,38,38,3420,38,33,0.87,132,99,75.8,14,16,8,15,39.5,3,1,0,2,0
"34","La Liga","M","ESP",2024,"vs Osasuna","opponent",2,38,38,3420,38,45,1.18,129,83,68.2,17,9,12,10,26.3,5,4,1,0,20
"35","La Liga","M","ESP",2024,"vs Rayo Vallecano","opponent",2,38,38,3420,38,29,0.76,166,137,86.1,16,14,8,19,50,6,6,0,0,0
"36","La Liga","M","ESP",2024,"vs Real Madrid","opponent",3,38,38,3420,38,87,2.29,246,159,65.4,1,8,29,2,5.3,5,2,2,1,50
"37","La Liga","M","ESP",2024,"vs Real Sociedad","opponent",2,38,38,3420,38,51,1.34,151,103,68.9,10,12,16,10,26.3,4,4,0,0,0
"38","La Liga","M","ESP",2024,"vs Sevilla","opponent",3,38,38,3420,38,48,1.26,162,116,71.6,17,11,10,10,26.3,2,2,0,0,0
"39","La Liga","M","ESP",2024,"vs Valencia","opponent",3,38,38,3420,38,40,1.05,131,92,75.6,15,10,13,13,34.2,9,8,0,1,0
"40","La Liga","M","ESP",2024,"vs Villarreal","opponent",2,38,38,3420,38,65,1.71,169,104,64.5,13,11,14,4,10.5,7,5,1,1,16.7
