"","Competition_Name","Gender","Country","Season_End_Year","Squad","Team_or_Opponent","Num_Players","MP_Playing_Time","Starts_Playing_Time","Min_Playing_Time","Mins_Per_90_Playing_Time","GA","GA90","SoTA","Saves","Save_percent","W","D","L","CS","CS_percent","PKatt_Penalty_Kicks","PKA_Penalty_Kicks","PKsv_Penalty_Kicks","PKm_Penalty_Kicks","Save_percent_Penalty_Kicks"
"1","La Liga","M","ESP",2022,"Alavés","team",3,38,38,3420,38,65,1.71,168,100,64.9,8,7,23,6,15.8,9,6,3,0,33.3
"2","La Liga","M","ESP",2022,"Athletic Club","team",2,38,38,3420,38,36,0.95,131,96,74.8,14,13,11,13,34.2,3,3,0,0,0
"3","La Liga","M","ESP",2022,"Atlético Madrid","team",1,38,38,3420,38,43,1.13,106,65,66,21,8,9,12,31.6,8,7,1,0,12.5
"4","La Liga","M","ESP",2022,"Barcelona","team",2,38,38,3420,38,38,1,123,84,70.7,21,10,7,11,28.9,3,2,1,0,33.3
"5","La Liga","M","ESP",2022,"Betis","team",2,38,38,3420,38,40,1.05,132,94,72,19,8,11,13,34.2,3,3,0,0,0
"6","La Liga","M","ESP",2022,"Celta Vigo","team",1,38,38,3420,38,43,1.13,136,91,71.3,12,10,16,14,36.8,8,4,4,0,50
"7","La Liga","M","ESP",2022,"Cádiz","team",1,38,38,3420,38,51,1.34,170,117,76.5,8,15,15,13,34.2,13,11,2,0,15.4
"8","La Liga","M","ESP",2022,"Elche","team",2,38,38,3420,38,52,1.37,174,121,74.1,11,9,18,8,21.1,9,7,1,1,12.5
"9","La Liga","M","ESP",2022,"Espanyol","team",3,38,38,3420,38,53,1.39,169,118,71,10,12,16,10,26.3,5,4,0,1,0
"10","La Liga","M","ESP",2022,"Getafe","team",2,38,38,3420,38,41,1.08,132,91,70.5,8,15,15,14,36.8,4,2,1,1,33.3
"11","La Liga","M","ESP",2022,"Granada","team",2,38,38,3420,38,61,1.61,193,132,72,8,14,16,8,21.1,9,7,2,0,22.2
"12","La Liga","M","ESP",2022,"Levante","team",4,38,38,3420,38,76,2,203,126,65,8,11,19,7,18.4,6,5,1,0,16.7
"13","La Liga","M","ESP",2022,"Mallorca","team",4,38,38,3420,38,63,1.66,152,91,62.5,10,9,19,9,23.7,8,6,2,0,25
"14","La Liga","M","ESP",2022,"Osasuna","team",2,38,38,3420,38,51,1.34,151,99,68.9,12,11,15,12,31.6,7,4,3,0,42.9
"15","La Liga","M","ESP",2022,"Rayo Vallecano","team",2,38,38,3417,38,50,1.32,163,112,73.6,11,9,18,9,23.7,9,7,2,0,22.2
"16","La Liga","M","ESP",2022,"Real Madrid","team",2,38,38,3420,38,31,0.82,129,97,78.3,26,8,4,16,42.1,5,3,2,0,40
"17","La Liga","M","ESP",2022,"Real Sociedad","team",2,38,38,3420,38,37,0.97,127,89,74.8,17,11,10,20,52.6,6,5,1,0,16.7
"18","La Liga","M","ESP",2022,"Sevilla","team",3,38,38,3420,38,30,0.79,121,90,76.9,18,16,4,17,44.7,4,2,1,1,33.3
"19","La Liga","M","ESP",2022,"Valencia","team",3,38,38,3420,38,53,1.39,163,112,71.8,11,15,12,12,31.6,8,7,1,0,12.5
