"","Competition_Name","Gender","Country","Season_End_Year","Squad","Team_or_Opponent","Num_Players","MP_Playing_Time","Starts_Playing_Time","Min_Playing_Time","Mins_Per_90_Playing_Time","GA","GA90","SoTA","Saves","Save_percent","W","D","L","CS","CS_percent","PKatt_Penalty_Kicks","PKA_Penalty_Kicks","PKsv_Penalty_Kicks","PKm_Penalty_Kicks","Save_percent_Penalty_Kicks"
"20","La Liga","M","ESP",2022,"Villarreal","team",2,38,38,3420,38,37,0.97,128,91,74.2,16,11,11,14,36.8,5,4,1,0,20
"21","La Liga","M","ESP",2022,"vs Alavés","opponent",3,38,38,3420,38,31,0.82,118,88,78.8,23,7,8,16,42.1,7,6,1,0,14.3
"22","La Liga","M","ESP",2022,"vs Athletic Club","opponent",2,38,38,3420,38,43,1.13,157,113,74.5,11,13,14,14,36.8,7,3,4,0,57.1
"23","La Liga","M","ESP",2022,"vs Atlético Madrid","opponent",1,38,38,3420,38,65,1.71,157,93,61.1,9,8,21,7,18.4,5,4,1,0,20
"24","La Liga","M","ESP",2022,"vs Barcelona","opponent",2,38,38,3420,38,68,1.79,184,115,66.3,7,10,21,8,21.1,7,6,1,0,14.3
"25","La Liga","M","ESP",2022,"vs Betis","opponent",2,38,38,3420,38,62,1.63,188,128,70.2,11,8,19,11,28.9,6,6,0,0,0
"26","La Liga","M","ESP",2022,"vs Celta Vigo","opponent",1,38,38,3420,38,43,1.13,141,96,71.6,16,10,12,15,39.5,6,3,3,0,50
"27","La Liga","M","ESP",2022,"vs Cádiz","opponent",1,38,38,3420,38,35,0.92,124,86,74.2,15,15,8,13,34.2,6,3,3,0,50
"28","La Liga","M","ESP",2022,"vs Elche","opponent",2,38,38,3420,38,40,1.05,107,68,63.6,18,9,11,12,31.6,1,1,0,0,0
"29","La Liga","M","ESP",2022,"vs Espanyol","opponent",3,38,38,3420,38,40,1.05,133,94,73.7,16,12,10,10,26.3,5,5,0,0,0
"30","La Liga","M","ESP",2022,"vs Getafe","opponent",2,38,38,3420,38,33,0.87,116,83,74.1,15,15,8,18,47.4,5,3,2,0,40
"31","La Liga","M","ESP",2022,"vs Granada","opponent",2,38,38,3420,38,44,1.16,134,91,69.4,16,14,8,13,34.2,5,3,0,2,0
"32","La Liga","M","ESP",2022,"vs Levante","opponent",4,38,38,3420,38,51,1.34,158,103,72.8,19,11,8,12,31.6,13,8,4,1,33.3
"33","La Liga","M","ESP",2022,"vs Mallorca","opponent",4,38,38,3420,38,36,0.95,138,104,78.3,19,9,10,15,39.5,7,6,1,0,14.3
"34","La Liga","M","ESP",2022,"vs Osasuna","opponent",2,38,38,3420,38,37,0.97,122,83,74.6,15,11,12,15,39.5,8,6,2,0,25
"35","La Liga","M","ESP",2022,"vs Rayo Vallecano","opponent",2,38,38,3420,38,39,1.03,137,99,74.5,18,9,11,14,36.8,4,4,0,0,0
"36","La Liga","M","ESP",2022,"vs Real Madrid","opponent",2,38,38,3420,38,80,2.11,254,171,71.7,4,8,26,8,21.1,12,8,3,1,27.3
"37","La Liga","M","ESP",2022,"vs Real Sociedad","opponent",2,38,38,3420,38,40,1.05,153,112,79.7,10,11,17,11,28.9,10,9,1,0,10
"38","La Liga","M","ESP",2022,"vs Sevilla","opponent",3,38,38,3417,38,53,1.4,142,90,64.1,4,16,18,7,18.4,3,2,1,0,33.3
"39","La Liga","M","ESP",2022,"vs Valencia","opponent",3,38,38,3420,38,48,1.26,138,92,71,12,15,11,8,21.1,9,8,1,0,11.1
"40","La Liga","M","ESP",2022,"vs Villarreal","opponent",2,38,38,3420,38,63,1.66,170,107,65.9,11,11,16,11,28.9,6,5,1,0,16.7
