"","Competition_Name","Gender","Country","Season_End_Year","Squad","Team_or_Opponent","Num_Players","Mins_Per_90","GA_Goals","PKA_Goals","FK_Goals","CK_Goals","OG_Goals","PSxG_Expected","PSxG_per_SoT_Expected","PSxGPlus_Minus_Expected","_per_90_Expected","Cmp_Launched","Att_Launched","Cmp_percent_Launched","Att (GK)_Passes","Thr_Passes","Launch_percent_Passes","AvgLen_Passes","Att_Goal_Kicks","Launch_percent_Goal_Kicks","AvgLen_Goal_Kicks","Opp_Crosses","Stp_Crosses","Stp_percent_Crosses","#OPA_Sweeper","#OPA_per_90_Sweeper","AvgDist_Sweeper"
"1","La Liga","M","ESP",2020,"Alavés","team",3,38,59,12,3,3,0,56.6,0.27,-2.4,-0.06,375,828,45.3,783,103,66,46.1,344,90.4,58.6,527,12,2.3,15,0.39,9.1
"2","La Liga","M","ESP",2020,"Athletic Club","team",2,38,38,5,2,2,2,39.8,0.28,3.8,0.1,345,817,42.2,976,172,56.5,41.4,298,89.3,60.9,547,26,4.8,20,0.53,10
"3","La Liga","M","ESP",2020,"Atlético Madrid","team",2,38,27,3,1,4,3,29.8,0.24,5.8,0.15,233,592,39.4,637,112,56.4,30.2,320,72.8,50,533,12,2.3,12,0.32,NA
"4","La Liga","M","ESP",2020,"Barcelona","team",2,38,38,6,2,1,0,36.5,0.26,-1.5,-0.04,127,249,51,1237,182,15.4,25.7,254,22.8,27.8,401,19,4.7,43,1.13,15.2
"5","La Liga","M","ESP",2020,"Betis","team",2,38,60,11,1,4,1,54.8,0.29,-4.2,-0.11,158,464,34.1,1045,171,34.1,33,284,38,35.5,524,12,2.3,59,1.55,17.8
"6","La Liga","M","ESP",2020,"Celta Vigo","team",3,38,49,5,3,3,0,45.8,0.28,-3.2,-0.08,202,576,35.1,784,136,44.5,30.1,339,67,49.1,604,20,3.3,16,0.42,16
"7","La Liga","M","ESP",2020,"Eibar","team",2,38,56,4,2,3,1,52.2,0.35,-2.8,-0.07,297,896,33.1,882,93,72.3,51.6,268,96.3,70.6,471,26,5.5,77,2.03,17.9
"8","La Liga","M","ESP",2020,"Espanyol","team",2,38,58,6,0,4,2,54.4,0.31,-1.6,-0.04,228,688,33.1,895,133,52.5,31.1,316,69,49.6,495,29,5.9,51,1.35,7.8
"9","La Liga","M","ESP",2020,"Getafe","team",1,38,37,5,0,2,2,38.3,0.3,3.3,0.09,359,970,37,880,46,83.4,52.7,259,91.1,58.5,383,20,5.2,69,1.82,18.1
"10","La Liga","M","ESP",2020,"Granada","team",2,38,45,4,1,5,0,45.9,0.27,0.9,0.02,329,899,36.6,1074,137,60.1,43.1,325,78.2,55.1,538,27,5,68,1.79,16.6
"11","La Liga","M","ESP",2020,"Leganés","team",2,38,51,6,2,7,1,46.5,0.29,-3.5,-0.09,260,774,33.6,828,165,62.1,46.1,292,89,62.5,513,18,3.5,42,1.11,16.2
"12","La Liga","M","ESP",2020,"Levante","team",2,38,53,3,1,9,2,54.3,0.23,3.3,0.09,179,515,34.8,813,206,43.2,36.7,354,46.3,39.4,636,20,3.1,49,1.29,16.1
"13","La Liga","M","ESP",2020,"Mallorca","team",3,38,65,15,2,7,1,63.8,0.26,-0.2,-0.01,253,670,37.8,932,185,51.9,38,320,58.1,47.8,539,26,4.8,28,0.74,8.3
"14","La Liga","M","ESP",2020,"Osasuna","team",3,38,54,5,3,5,0,51.1,0.33,-2.9,-0.08,289,858,33.7,885,144,67.2,44.6,306,85.9,58.4,488,21,4.3,47,1.24,18.2
"15","La Liga","M","ESP",2020,"Real Madrid","team",2,38,25,2,0,5,0,30.8,0.26,5.8,0.15,90,312,28.8,970,227,22.7,30.6,246,37.4,38.2,460,23,5,37,0.97,14.5
"16","La Liga","M","ESP",2020,"Real Sociedad","team",2,38,48,7,2,4,1,45.4,0.26,-1.6,-0.04,220,509,43.2,1128,133,30.1,30.3,246,69.1,48,447,13,2.9,65,1.71,17.7
"17","La Liga","M","ESP",2020,"Sevilla","team",2,38,34,3,3,2,1,32.3,0.24,-0.7,-0.02,179,450,39.8,813,179,34.9,34.2,281,59.1,45.5,478,19,4,29,0.76,15
"18","La Liga","M","ESP",2020,"Valencia","team",2,38,53,7,3,4,1,50.2,0.22,-1.8,-0.05,211,599,35.2,878,201,41.3,34.2,337,70,50.3,619,12,1.9,19,0.5,10.8
"19","La Liga","M","ESP",2020,"Valladolid","team",3,38,43,7,2,5,0,48,0.29,5,0.13,258,793,32.5,789,130,63.1,49.5,365,80.8,56.1,590,15,2.5,18,0.47,NA
"20","La Liga","M","ESP",2020,"Villarreal","team",2,38,49,8,0,10,2,45.2,0.22,-1.8,-0.05,146,442,33,858,173,32.3,28,329,50.2,40.5,648,19,2.9,27,0.71,10.2
"21","La Liga","M","ESP",2020,"vs Alavés","opponent",3,38,34,6,0,5,0,36.2,0.3,2.2,0.06,182,528,34.5,911,137,43.4,37.4,230,57.8,47,409,19,4.6,43,1.13,16.8
