"","Competition_Name","Gender","Country","Season_End_Year","Squad","Team_or_Opponent","Num_Players","Mins_Per_90","Att","Live_Pass_Types","Dead_Pass_Types","FK_Pass_Types","TB_Pass_Types","Sw_Pass_Types","Crs_Pass_Types","TI_Pass_Types","CK_Pass_Types","In_Corner_Kicks","Out_Corner_Kicks","Str_Corner_Kicks","Cmp_Outcomes","Off_Outcomes","Blocks_Outcomes"
"1","La Liga","M","ESP",2023,"Almería","team",29,38,15855,13865,1907,552,49,132,605,750,147,58,59,1,12151,83,308
"2","La Liga","M","ESP",2023,"Athletic Club","team",26,38,18630,16594,1940,502,44,191,918,835,257,66,123,1,14440,96,386
"3","La Liga","M","ESP",2023,"Atlético Madrid","team",27,38,20488,18630,1779,490,83,193,625,702,183,97,46,0,16814,79,345
"4","La Liga","M","ESP",2023,"Barcelona","team",29,38,24733,22836,1799,565,133,205,744,710,244,82,83,2,21298,98,340
"5","La Liga","M","ESP",2023,"Betis","team",30,38,18249,16255,1920,634,62,137,514,740,152,46,76,1,14678,74,376
"6","La Liga","M","ESP",2023,"Celta Vigo","team",26,38,18499,16495,1923,557,44,161,705,802,184,65,88,1,14700,81,300
"7","La Liga","M","ESP",2023,"Cádiz","team",38,38,13952,12025,1852,548,29,150,633,748,145,65,47,3,9940,75,297
"8","La Liga","M","ESP",2023,"Elche","team",32,38,15758,13769,1908,494,24,164,750,789,204,72,83,8,12051,81,390
"9","La Liga","M","ESP",2023,"Espanyol","team",33,38,14698,12685,1951,574,34,115,713,744,179,75,60,3,10827,62,298
"10","La Liga","M","ESP",2023,"Getafe","team",25,38,14126,12118,1929,524,18,162,649,857,119,58,54,1,9690,79,333
"11","La Liga","M","ESP",2023,"Girona","team",29,38,18604,16633,1884,576,32,135,713,742,145,66,53,1,15146,87,319
"12","La Liga","M","ESP",2023,"Mallorca","team",31,38,14261,12483,1701,497,29,150,635,649,139,49,68,0,10451,77,306
"13","La Liga","M","ESP",2023,"Osasuna","team",26,38,16835,14900,1875,523,26,197,794,799,159,64,65,3,12725,60,345
"14","La Liga","M","ESP",2023,"Rayo Vallecano","team",28,38,17666,15514,2054,564,29,194,832,901,189,78,69,1,13497,98,365
"15","La Liga","M","ESP",2023,"Real Madrid","team",26,38,25012,23163,1760,555,65,242,574,653,226,83,53,1,22082,89,353
"16","La Liga","M","ESP",2023,"Real Sociedad","team",30,38,19134,17244,1799,537,47,107,538,782,165,57,71,1,15324,91,324
"17","La Liga","M","ESP",2023,"Sevilla","team",35,38,19193,17244,1843,526,36,209,827,746,174,42,81,1,15379,106,307
"18","La Liga","M","ESP",2023,"Valencia","team",28,38,17492,15405,2007,570,39,164,924,852,226,67,88,0,13592,80,345
"19","La Liga","M","ESP",2023,"Valladolid","team",36,38,16425,14336,1991,576,33,225,683,786,170,49,91,3,12627,98,365
"20","La Liga","M","ESP",2023,"Villarreal","team",32,38,19862,17980,1795,574,86,186,520,642,210,96,39,4,16634,87,347
"21","La Liga","M","ESP",2023,"vs Almería","opponent",29,38,19392,17371,1863,501,70,189,851,781,227,80,99,1,15420,158,367
"22","La Liga","M","ESP",2023,"vs Athletic Club","opponent",26,38,17573,15545,1951,580,41,190,579,789,136,56,50,2,13537,77,358
"23","La Liga","M","ESP",2023,"vs Atlético Madrid","opponent",27,38,20021,18229,1735,495,40,228,743,650,185,78,68,1,16384,57,352
"24","La Liga","M","ESP",2023,"vs Barcelona","opponent",29,38,13758,11850,1788,511,41,155,483,672,111,48,46,1,10316,120,306
