"","Competition_Name","Gender","Country","Season_End_Year","Squad","Team_or_Opponent","Num_Players","Mins_Per_90","Att","Live_Pass_Types","Dead_Pass_Types","FK_Pass_Types","TB_Pass_Types","Sw_Pass_Types","Crs_Pass_Types","TI_Pass_Types","CK_Pass_Types","In_Corner_Kicks","Out_Corner_Kicks","Str_Corner_Kicks","Cmp_Outcomes","Off_Outcomes","Blocks_Outcomes"
"25","La Liga","M","ESP",2023,"vs Betis","opponent",30,38,17964,16070,1790,455,61,153,756,771,209,71,98,2,14220,104,370
"26","La Liga","M","ESP",2023,"vs Celta Vigo","opponent",26,38,18416,16454,1898,524,49,196,633,849,165,63,78,1,14618,64,353
"27","La Liga","M","ESP",2023,"vs Cádiz","opponent",38,38,19569,17561,1939,570,39,233,852,778,200,63,82,1,15630,69,346
"28","La Liga","M","ESP",2023,"vs Elche","opponent",32,38,19238,17216,1922,563,62,140,753,785,223,77,84,3,15598,100,331
"29","La Liga","M","ESP",2023,"vs Espanyol","opponent",33,38,19603,17628,1893,487,47,192,730,810,198,61,94,2,15807,82,336
"30","La Liga","M","ESP",2023,"vs Getafe","opponent",25,38,21494,19437,1962,645,48,192,771,819,179,61,75,0,17070,95,355
"31","La Liga","M","ESP",2023,"vs Girona","opponent",29,38,17921,16112,1745,501,45,163,753,678,181,70,70,1,14391,64,321
"32","La Liga","M","ESP",2023,"vs Mallorca","opponent",31,38,20763,18826,1897,657,48,130,822,738,194,54,59,6,16934,40,323
"33","La Liga","M","ESP",2023,"vs Osasuna","opponent",26,38,18199,16063,2027,574,46,175,696,861,192,58,69,4,14139,109,344
"34","La Liga","M","ESP",2023,"vs Rayo Vallecano","opponent",28,38,17027,14931,2011,615,30,182,654,804,180,82,63,3,12926,85,379
"35","La Liga","M","ESP",2023,"vs Real Madrid","opponent",26,38,15986,14341,1589,436,36,121,541,545,145,62,42,3,13004,56,299
"36","La Liga","M","ESP",2023,"vs Real Sociedad","opponent",30,38,16093,13951,2051,691,34,147,570,817,154,51,48,1,12130,91,332
"37","La Liga","M","ESP",2023,"vs Sevilla","opponent",35,38,17319,15346,1898,543,49,187,673,774,170,68,62,2,13660,75,277
"38","La Liga","M","ESP",2023,"vs Valencia","opponent",28,38,16357,14310,1973,559,51,167,594,837,175,77,73,0,12580,74,347
"39","La Liga","M","ESP",2023,"vs Valladolid","opponent",36,38,17448,15392,2003,523,55,141,734,875,211,88,68,2,13635,53,349
"40","La Liga","M","ESP",2023,"vs Villarreal","opponent",32,38,15331,13541,1682,508,50,138,708,596,182,67,69,0,12047,108,304
