"","Competition_Name","Gender","Country","Season_End_Year","Squad","Team_or_Opponent","Num_Players","Mins_Per_90","Att","Live_Pass_Types","Dead_Pass_Types","FK_Pass_Types","TB_Pass_Types","Sw_Pass_Types","Crs_Pass_Types","TI_Pass_Types","CK_Pass_Types","In_Corner_Kicks","Out_Corner_Kicks","Str_Corner_Kicks","Cmp_Outcomes","Off_Outcomes","Blocks_Outcomes"
"16","La Liga","M","ESP",2022,"Real Madrid","team",31,38,24517,22705,1706,491,71,309,611,639,218,81,50,0,21373,106,313
"17","La Liga","M","ESP",2022,"Real Sociedad","team",32,38,19304,17333,1895,537,45,96,638,829,186,79,79,1,15403,76,352
"18","La Liga","M","ESP",2022,"Sevilla","team",33,38,22234,20265,1889,526,37,312,787,844,175,11,124,2,18327,80,305
"19","La Liga","M","ESP",2022,"Valencia","team",34,38,13777,11686,2039,664,32,227,765,811,175,73,63,3,9627,52,289
"20","La Liga","M","ESP",2022,"Villarreal","team",29,38,20401,18435,1875,582,90,166,574,737,200,92,44,2,16679,91,396
"21","La Liga","M","ESP",2022,"vs Alavés","opponent",33,38,19908,17714,2105,567,77,202,789,962,231,50,110,3,15404,89,322
"22","La Liga","M","ESP",2022,"vs Athletic Club","opponent",26,38,18950,16909,1974,551,29,332,754,859,161,68,54,1,14696,67,340
"23","La Liga","M","ESP",2022,"vs Atlético Madrid","opponent",26,38,18803,16917,1850,529,32,209,601,729,149,67,64,1,14882,36,316
"24","La Liga","M","ESP",2022,"vs Barcelona","opponent",38,38,13908,12019,1811,571,39,128,500,644,128,52,52,1,10460,78,301
"25","La Liga","M","ESP",2022,"vs Betis","opponent",31,38,16934,14870,1935,530,43,168,764,808,215,96,80,2,13052,129,323
"26","La Liga","M","ESP",2022,"vs Celta Vigo","opponent",25,38,16708,14678,1995,562,22,184,609,925,146,56,57,0,12362,35,394
"27","La Liga","M","ESP",2022,"vs Cádiz","opponent",33,38,20783,18843,1877,515,50,183,750,806,176,60,76,3,16729,63,337
"28","La Liga","M","ESP",2022,"vs Elche","opponent",28,38,18212,16269,1839,547,78,195,767,775,195,74,74,0,14329,104,279
"29","La Liga","M","ESP",2022,"vs Espanyol","opponent",34,38,19314,17461,1767,487,56,190,888,716,223,83,84,1,15516,86,313
"30","La Liga","M","ESP",2022,"vs Getafe","opponent",31,38,21156,19121,1926,575,58,282,752,846,186,60,87,1,16725,109,365
"31","La Liga","M","ESP",2022,"vs Granada","opponent",32,38,18856,16832,1955,504,56,176,824,850,205,60,91,2,14611,69,384
"32","La Liga","M","ESP",2022,"vs Levante","opponent",31,38,18611,16649,1884,598,54,205,697,713,185,58,68,3,14699,78,256
"33","La Liga","M","ESP",2022,"vs Mallorca","opponent",33,38,18463,16519,1887,590,44,155,738,789,161,69,65,3,14388,57,304
"34","La Liga","M","ESP",2022,"vs Osasuna","opponent",29,38,19149,17058,2009,543,50,195,719,867,184,56,71,2,14630,82,261
"35","La Liga","M","ESP",2022,"vs Rayo Vallecano","opponent",28,38,17259,15156,2049,591,54,156,659,867,177,77,70,1,12928,54,358
"36","La Liga","M","ESP",2022,"vs Real Madrid","opponent",31,38,16452,14707,1715,472,41,171,670,615,153,70,55,0,13258,30,311
"37","La Liga","M","ESP",2022,"vs Real Sociedad","opponent",32,38,16279,14226,1967,540,36,160,662,914,174,56,66,2,12311,86,320
"38","La Liga","M","ESP",2022,"vs Sevilla","opponent",33,38,15095,13204,1838,516,30,143,647,749,158,66,61,1,11300,53,272
"39","La Liga","M","ESP",2022,"vs Valencia","opponent",34,38,17920,15730,2093,655,50,198,679,896,172,68,66,1,13730,97,331
"40","La Liga","M","ESP",2022,"vs Villarreal","opponent",29,38,15636,13738,1775,533,34,168,749,671,198,76,80,2,11881,123,267
