"","Competition_Name","Gender","Country","Season_End_Year","Squad","Team_or_Opponent","Num_Players","Mins_Per_90","Att","Live_Pass_Types","Dead_Pass_Types","FK_Pass_Types","TB_Pass_Types","Sw_Pass_Types","Crs_Pass_Types","TI_Pass_Types","CK_Pass_Types","In_Corner_Kicks","Out_Corner_Kicks","Str_Corner_Kicks","Cmp_Outcomes","Off_Outcomes","Blocks_Outcomes"
"1","La Liga","M","ESP",2022,"Alavés","team",33,38,14175,12142,1961,543,27,188,758,825,139,54,63,1,9676,72,310
"2","La Liga","M","ESP",2022,"Athletic Club","team",26,38,17283,15195,1999,552,42,184,798,880,224,52,102,0,12947,89,332
"3","La Liga","M","ESP",2022,"Atlético Madrid","team",26,38,19098,17082,1931,534,80,228,703,832,201,72,83,0,15076,85,298
"4","La Liga","M","ESP",2022,"Barcelona","team",38,38,25006,23093,1814,567,90,193,798,712,219,70,82,0,21489,99,309
"5","La Liga","M","ESP",2022,"Betis","team",31,38,19444,17513,1860,586,66,181,547,749,174,56,78,0,15702,71,310
"6","La Liga","M","ESP",2022,"Celta Vigo","team",25,38,20591,18578,1930,501,60,169,768,898,167,81,60,1,16007,83,360
"7","La Liga","M","ESP",2022,"Cádiz","team",33,38,14415,12460,1886,511,37,183,865,795,181,79,63,1,10136,69,312
"8","La Liga","M","ESP",2022,"Elche","team",28,38,16836,14819,1943,591,34,180,720,763,155,63,70,1,12948,74,335
"9","La Liga","M","ESP",2022,"Espanyol","team",34,38,16919,15003,1846,590,29,196,627,659,172,65,67,1,13360,70,287
"10","La Liga","M","ESP",2022,"Getafe","team",31,38,14607,12625,1929,579,17,194,621,842,136,65,58,0,10278,53,299
"11","La Liga","M","ESP",2022,"Granada","team",32,38,14889,12856,1971,544,28,142,691,791,159,70,60,1,10582,62,295
"12","La Liga","M","ESP",2022,"Levante","team",31,38,16422,14508,1837,477,50,183,624,769,168,58,76,3,12584,77,311
"13","La Liga","M","ESP",2022,"Mallorca","team",33,38,15023,13022,1934,575,44,113,597,788,159,64,34,5,11046,67,311
"14","La Liga","M","ESP",2022,"Osasuna","team",29,38,16522,14470,1986,473,16,195,864,932,179,61,99,4,11904,66,309
"15","La Liga","M","ESP",2022,"Rayo Vallecano","team",28,38,16933,14830,2020,553,38,161,862,906,190,76,76,4,12747,83,321
