"","Competition_Name","Gender","Country","Season_End_Year","Squad","Team_or_Opponent","Num_Players","Mins_Per_90","Gls_Standard","Sh_Standard","SoT_Standard","SoT_percent_Standard","Sh_per_90_Standard","SoT_per_90_Standard","G_per_Sh_Standard","G_per_SoT_Standard","Dist_Standard","FK_Standard","PK_Standard","PKatt_Standard","xG_Expected","npxG_Expected","npxG_per_Sh_Expected","G_minus_xG_Expected","np:G_minus_xG_Expected"
"1","La Liga","M","ESP",2023,"Almería","team",29,38,49,439,155,35.3,11.55,4.08,0.11,0.3,18.1,21,2,3,45.5,43.2,0.1,3.5,3.8
"2","La Liga","M","ESP",2023,"Athletic Club","team",26,38,46,541,157,29,14.24,4.13,0.08,0.26,17.1,13,5,7,54.2,48.7,0.09,-8.2,-7.7
"3","La Liga","M","ESP",2023,"Atlético Madrid","team",27,38,68,538,195,36.2,14.16,5.13,0.12,0.34,17,9,1,1,61.9,61.1,0.12,6.1,5.9
"4","La Liga","M","ESP",2023,"Barcelona","team",29,38,69,570,187,32.8,15,4.92,0.12,0.37,15.8,20,0,2,75.5,74,0.13,-6.5,-5
"5","La Liga","M","ESP",2023,"Betis","team",30,38,43,411,138,33.6,10.82,3.63,0.09,0.25,18.1,21,8,9,51.3,44.3,0.11,-8.3,-9.3
"6","La Liga","M","ESP",2023,"Celta Vigo","team",26,38,41,470,160,34,12.37,4.21,0.08,0.24,19,19,2,3,42.6,40.3,0.09,-1.6,-1.3
"7","La Liga","M","ESP",2023,"Cádiz","team",38,38,29,390,108,27.7,10.26,2.84,0.06,0.23,18.2,12,4,5,41.5,37.7,0.1,-12.5,-12.7
"8","La Liga","M","ESP",2023,"Elche","team",32,38,30,400,124,31,10.53,3.26,0.07,0.21,16.9,10,4,5,37.5,33.6,0.09,-7.5,-7.6
"9","La Liga","M","ESP",2023,"Espanyol","team",33,38,51,417,151,36.2,10.97,3.97,0.11,0.3,17.3,13,5,5,48.3,44.4,0.11,2.7,1.6
"10","La Liga","M","ESP",2023,"Getafe","team",25,38,34,365,116,31.8,9.61,3.05,0.08,0.25,18,19,5,8,36.7,30.4,0.09,-2.7,-1.4
"11","La Liga","M","ESP",2023,"Girona","team",29,38,55,446,160,35.9,11.74,4.21,0.11,0.29,17.2,6,8,9,50.6,43.8,0.1,4.4,3.2
"12","La Liga","M","ESP",2023,"Mallorca","team",31,38,36,324,107,33,8.53,2.82,0.1,0.3,17.4,8,4,5,35.2,31.1,0.1,0.8,0.9
"13","La Liga","M","ESP",2023,"Osasuna","team",26,38,36,441,133,30.2,11.61,3.5,0.07,0.24,18.7,7,4,5,39.8,35.9,0.08,-3.8,-3.9
"14","La Liga","M","ESP",2023,"Rayo Vallecano","team",28,38,41,510,146,28.6,13.42,3.84,0.07,0.25,20.6,24,4,8,43.9,37.8,0.08,-2.9,-0.8
"15","La Liga","M","ESP",2023,"Real Madrid","team",26,38,73,634,206,32.5,16.68,5.42,0.1,0.31,18.6,32,9,12,75.5,66.1,0.11,-2.5,-2.1
"16","La Liga","M","ESP",2023,"Real Sociedad","team",30,38,47,465,173,37.2,12.24,4.55,0.1,0.26,17.4,15,2,4,52.9,49.7,0.11,-5.9,-4.7
"17","La Liga","M","ESP",2023,"Sevilla","team",35,38,47,463,141,30.5,12.18,3.71,0.09,0.3,18.1,17,4,5,46.3,42.4,0.09,0.7,0.6
"18","La Liga","M","ESP",2023,"Valencia","team",28,38,40,480,140,29.2,12.63,3.68,0.07,0.25,17.5,18,5,8,49.3,43,0.09,-9.3,-8
"19","La Liga","M","ESP",2023,"Valladolid","team",36,38,32,443,137,30.9,11.66,3.61,0.07,0.21,19.6,19,3,4,38.5,35.4,0.08,-6.5,-6.4
"20","La Liga","M","ESP",2023,"Villarreal","team",32,38,57,499,188,37.7,13.13,4.95,0.11,0.28,18,22,4,7,61.6,56.1,0.12,-4.6,-3.1
"21","La Liga","M","ESP",2023,"vs Almería","opponent",29,38,64,537,198,36.9,14.13,5.21,0.11,0.3,17.4,14,4,6,62.5,57.8,0.11,1.5,2.2
"22","La Liga","M","ESP",2023,"vs Athletic Club","opponent",26,38,40,387,120,31,10.18,3.16,0.1,0.31,18,16,3,3,36.9,34.5,0.09,3.1,2.5
"23","La Liga","M","ESP",2023,"vs Atlético Madrid","opponent",27,38,33,433,124,28.6,11.39,3.26,0.07,0.23,18.6,18,4,5,41.1,37.2,0.09,-8.1,-8.2
"24","La Liga","M","ESP",2023,"vs Barcelona","opponent",29,38,17,328,99,30.2,8.63,2.61,0.04,0.14,17.4,6,3,3,33.2,30.8,0.1,-16.2,-16.8
"25","La Liga","M","ESP",2023,"vs Betis","opponent",30,38,40,463,143,30.9,12.18,3.76,0.08,0.26,17.9,24,3,3,50,47.7,0.1,-10,-10.7
"26","La Liga","M","ESP",2023,"vs Celta Vigo","opponent",26,38,52,379,127,33.5,9.97,3.34,0.12,0.37,17.3,14,5,8,45.4,39.2,0.11,6.6,7.8
"27","La Liga","M","ESP",2023,"vs Cádiz","opponent",38,38,53,541,192,35.5,14.24,5.05,0.08,0.23,17.5,24,9,10,61.6,53.8,0.1,-8.6,-9.8
"28","La Liga","M","ESP",2023,"vs Elche","opponent",32,38,65,551,198,35.9,14.5,5.21,0.11,0.29,17.3,22,7,10,70,62.1,0.12,-5,-4.1
"29","La Liga","M","ESP",2023,"vs Espanyol","opponent",33,38,67,539,177,32.8,14.18,4.66,0.12,0.35,17.2,15,5,6,59.8,55.3,0.1,7.2,6.7
"30","La Liga","M","ESP",2023,"vs Getafe","opponent",25,38,43,480,158,32.9,12.63,4.16,0.08,0.25,19.7,22,4,8,46,39.8,0.09,-3,-0.8
"31","La Liga","M","ESP",2023,"vs Girona","opponent",29,38,55,485,161,33.2,12.76,4.24,0.1,0.3,18,13,6,8,54.9,48.6,0.1,0.1,0.4
"32","La Liga","M","ESP",2023,"vs Mallorca","opponent",31,38,43,489,138,28.2,12.87,3.63,0.08,0.27,19.3,19,6,7,46.4,41,0.08,-3.4,-4
"33","La Liga","M","ESP",2023,"vs Osasuna","opponent",26,38,40,441,146,33.1,11.61,3.84,0.09,0.27,18.1,15,1,4,45.7,42.5,0.1,-5.7,-3.5
"34","La Liga","M","ESP",2023,"vs Rayo Vallecano","opponent",28,38,49,431,140,32.5,11.34,3.68,0.1,0.32,17.4,13,4,5,50.3,46.6,0.11,-1.3,-1.6
"35","La Liga","M","ESP",2023,"vs Real Madrid","opponent",26,38,35,417,131,31.4,10.97,3.45,0.07,0.24,18.7,11,4,5,38.9,35,0.09,-3.9,-4
"36","La Liga","M","ESP",2023,"vs Real Sociedad","opponent",30,38,33,393,131,33.3,10.34,3.45,0.08,0.24,18.2,12,1,2,33,31.5,0.08,0,0.5
"37","La Liga","M","ESP",2023,"vs Sevilla","opponent",35,38,51,508,158,31.1,13.37,4.16,0.1,0.31,18.5,19,2,3,54.2,51.8,0.11,-3.2,-2.8
"38","La Liga","M","ESP",2023,"vs Valencia","opponent",28,38,43,395,146,37,10.39,3.84,0.1,0.28,17,16,2,5,43.5,39.7,0.1,-0.5,1.3
"39","La Liga","M","ESP",2023,"vs Valladolid","opponent",36,38,62,579,190,32.8,15.24,5,0.1,0.29,17.5,18,6,10,65.2,57.5,0.1,-3.2,-1.5
"40","La Liga","M","ESP",2023,"vs Villarreal","opponent",32,38,39,470,145,30.9,12.37,3.82,0.07,0.24,17.8,14,4,4,49.9,46.7,0.1,-10.9,-11.7
