"","Competition_Name","Gender","Country","Season_End_Year","Squad","Team_or_Opponent","Num_Players","Poss","Mins_Per_90","Touches_Touches","Def Pen_Touches","Def 3rd_Touches","Mid 3rd_Touches","Att 3rd_Touches","Att Pen_Touches","Live_Touches","Att_Take_Ons","Succ_Take_Ons","Succ_percent_Take_Ons","Tkld_Take_Ons","Tkld_percent_Take_Ons","Carries_Carries","TotDist_Carries","PrgDist_Carries","PrgC_Carries","Final_Third_Carries","CPA_Carries","Mis_Carries","Dis_Carries","Rec_Receiving","PrgR_Receiving"
"1","La Liga","M","ESP",2021,"Alavés","team",30,42.8,38,18193,2104,6503,8084,3788,575,18185,467,254,54.4,214,45.8,8988,44447,20940,404,315,104,557,256,10112,925
"2","La Liga","M","ESP",2021,"Athletic Club","team",27,49.9,38,21410,1921,5863,10255,5481,675,21405,501,304,60.7,197,39.3,11152,64941,35151,685,510,147,496,335,13475,1477
"3","La Liga","M","ESP",2021,"Atlético Madrid","team",25,52.3,38,24561,1967,6777,12025,5937,894,24555,588,374,63.6,214,36.4,13675,67513,36112,694,483,190,503,342,16649,1598
"4","La Liga","M","ESP",2021,"Barcelona","team",25,65.5,38,31975,2240,7299,14908,9965,1217,31967,770,513,66.6,257,33.4,21041,104783,56158,972,930,276,477,341,25052,2144
"5","La Liga","M","ESP",2021,"Betis","team",25,53.6,38,23649,2104,6950,11175,5734,790,23638,638,420,65.8,218,34.2,13277,66819,34529,694,547,172,592,367,15683,1427
"6","La Liga","M","ESP",2021,"Celta Vigo","team",30,53.3,38,23271,2443,7999,10717,4742,593,23264,465,276,59.4,189,40.6,13162,62213,31151,514,431,109,533,279,15059,1299
"7","La Liga","M","ESP",2021,"Cádiz","team",34,34.8,38,15979,2120,5874,6716,3599,438,15975,513,321,62.6,192,37.4,7256,41528,20734,455,358,79,561,294,7858,838
"8","La Liga","M","ESP",2021,"Eibar","team",30,49.3,38,20828,1764,5553,9562,5924,671,20818,519,320,61.7,199,38.3,10427,53688,24394,507,374,102,657,320,11685,1282
"9","La Liga","M","ESP",2021,"Elche","team",30,47.5,38,20849,2572,8347,9141,3558,417,20846,618,365,59.1,253,40.9,11786,58689,28516,500,366,73,614,345,13378,920
"10","La Liga","M","ESP",2021,"Getafe","team",31,43.3,38,17678,1589,4689,7849,5367,669,17673,483,263,54.5,220,45.5,8137,43690,21035,443,390,116,607,354,8882,1076
"11","La Liga","M","ESP",2021,"Granada","team",34,41.4,38,17155,2133,6002,7387,3948,532,17149,516,312,60.5,204,39.5,8122,43889,21461,411,288,105,526,346,8979,961
"12","La Liga","M","ESP",2021,"Huesca","team",27,48.3,38,21269,2396,7957,9101,4468,594,21265,654,426,65.1,228,34.9,11728,65206,34026,618,452,113,540,305,13392,1173
"13","La Liga","M","ESP",2021,"Levante","team",29,52.2,38,21884,2410,7654,9503,4932,679,21878,615,366,59.5,248,40.3,12443,63705,33401,619,446,136,547,326,14070,1526
"14","La Liga","M","ESP",2021,"Osasuna","team",28,43.2,38,18965,2103,6010,8686,4447,623,18959,441,245,55.6,195,44.2,8688,42982,19734,345,315,64,588,310,10118,1200
"15","La Liga","M","ESP",2021,"Real Madrid","team",30,59.3,38,27856,2279,7913,12359,7814,1021,27853,646,429,66.4,216,33.4,17126,95094,49939,963,739,242,546,315,20538,1909
"16","La Liga","M","ESP",2021,"Real Sociedad","team",30,54.9,38,22622,2089,6527,10724,5580,823,22610,550,330,60,220,40,12816,70621,37154,626,492,125,518,311,14729,1530
"17","La Liga","M","ESP",2021,"Sevilla","team",26,60.9,38,26484,2495,8190,12249,6227,784,26477,599,392,65.4,207,34.6,15793,78270,38924,691,552,151,516,309,19128,1606
"18","La Liga","M","ESP",2021,"Valencia","team",30,46.9,38,20238,2575,7196,8735,4521,560,20228,553,341,61.7,212,38.3,11494,62746,32765,575,468,102,498,268,12659,1168
"19","La Liga","M","ESP",2021,"Valladolid","team",32,45.2,38,19403,2227,6559,8418,4627,558,19395,504,291,57.7,214,42.5,9720,52059,25666,564,423,112,524,328,11055,1089
"20","La Liga","M","ESP",2021,"Villarreal","team",29,55.2,38,24816,2442,7838,11470,5730,819,24803,692,437,63.2,255,36.8,14443,77491,41859,737,558,185,545,336,17313,1608
"21","La Liga","M","ESP",2021,"vs Alavés","opponent",30,57.3,38,23128,2076,6657,10894,5760,716,23124,565,368,65.1,197,34.9,12578,68210,35719,631,486,139,564,302,15191,1459
"22","La Liga","M","ESP",2021,"vs Athletic Club","opponent",27,50.2,38,22248,2418,7572,9638,5254,664,22242,516,348,67.4,168,32.6,12496,63157,31372,590,465,121,558,294,14170,1366
"23","La Liga","M","ESP",2021,"vs Atlético Madrid","opponent",25,47.6,38,22889,2326,6949,10656,5476,577,22885,631,335,53.1,296,46.9,12371,66054,32881,557,531,89,516,326,15032,1371
"24","La Liga","M","ESP",2021,"vs Barcelona","opponent",25,45,38,18886,2541,6990,8060,4069,606,18881,522,298,57.1,224,42.9,10362,57617,29498,529,402,127,534,275,11631,1027
"25","La Liga","M","ESP",2021,"vs Betis","opponent",25,46.1,38,20973,2317,7012,9391,4771,658,20963,556,345,62.1,210,37.8,11170,59835,30784,549,399,127,504,345,13078,1297
"26","La Liga","M","ESP",2021,"vs Celta Vigo","opponent",30,46.3,38,20852,1927,6118,9488,5452,714,20844,694,456,65.7,238,34.3,10958,56838,27075,578,431,139,637,424,12701,1231
