"","Competition_Name","Gender","Country","Season_End_Year","Squad","Team_or_Opponent","Num_Players","Poss","Mins_Per_90","Touches_Touches","Def Pen_Touches","Def 3rd_Touches","Mid 3rd_Touches","Att 3rd_Touches","Att Pen_Touches","Live_Touches","Att_Take_Ons","Succ_Take_Ons","Succ_percent_Take_Ons","Tkld_Take_Ons","Tkld_percent_Take_Ons","Carries_Carries","TotDist_Carries","PrgDist_Carries","PrgC_Carries","Final_Third_Carries","CPA_Carries","Mis_Carries","Dis_Carries","Rec_Receiving","PrgR_Receiving"
"1","La Liga","M","ESP",2023,"Almería","team",29,45.1,38,20070,2715,7746,8468,4071,631,20067,666,296,44.4,310,46.5,10790,56980,29134,569,432,131,580,281,12047,1080
"2","La Liga","M","ESP",2023,"Athletic Club","team",26,51.6,38,22736,1978,6159,10166,6645,931,22729,734,347,47.3,305,41.6,12897,70948,39281,864,587,217,554,351,14284,1801
"3","La Liga","M","ESP",2023,"Atlético Madrid","team",27,50.6,38,24416,2414,7789,11103,5714,934,24414,656,322,49.1,262,39.9,13702,67405,35788,730,473,200,486,277,16705,1557
"4","La Liga","M","ESP",2023,"Barcelona","team",29,64.3,38,28418,2020,6758,14000,7889,1153,28416,802,396,49.4,321,40,18805,101341,55627,963,784,279,546,326,21141,2168
"5","La Liga","M","ESP",2023,"Betis","team",30,50.6,38,22482,2329,7275,10222,5227,718,22473,773,365,47.2,311,40.2,12640,63649,31063,620,492,156,564,353,14567,1259
"6","La Liga","M","ESP",2023,"Celta Vigo","team",26,50.2,38,22608,2214,7194,10099,5553,734,22605,700,323,46.1,295,42.1,13546,71269,36623,704,558,161,566,298,14591,1393
"7","La Liga","M","ESP",2023,"Cádiz","team",38,41.9,38,18156,2374,6497,7769,4091,579,18151,569,246,43.2,249,43.8,9031,48205,24623,475,350,89,567,354,9839,960
"8","La Liga","M","ESP",2023,"Elche","team",32,45.5,38,19948,2416,7058,8743,4363,619,19943,708,342,48.3,311,43.9,11274,60085,29395,561,408,107,577,345,11950,1185
"9","La Liga","M","ESP",2023,"Espanyol","team",33,43.1,38,18805,2216,6173,8355,4471,688,18800,575,257,44.7,260,45.2,9604,51135,25085,528,385,111,526,245,10712,1135
"10","La Liga","M","ESP",2023,"Getafe","team",25,39.9,38,17947,1980,5769,8366,3992,589,17939,456,217,47.6,189,41.4,8694,41812,20506,365,292,78,504,268,9604,989
"11","La Liga","M","ESP",2023,"Girona","team",29,51.3,38,22397,2619,7918,9753,4932,761,22388,728,341,46.8,311,42.7,13365,73974,38669,725,497,167,467,330,15020,1364
"12","La Liga","M","ESP",2023,"Mallorca","team",31,41.1,38,18171,2351,6553,8032,3792,524,18166,556,293,52.7,198,35.6,9509,50982,24564,476,341,94,498,302,10356,935
"13","La Liga","M","ESP",2023,"Osasuna","team",26,48,38,20888,2287,6397,9352,5331,709,20883,626,313,50,247,39.5,11200,58264,28888,545,416,128,590,316,12580,1338
"14","La Liga","M","ESP",2023,"Rayo Vallecano","team",28,51.2,38,21773,2061,6266,9706,6029,699,21765,660,296,44.8,290,43.9,12216,65376,33507,703,547,131,554,374,13384,1377
"15","La Liga","M","ESP",2023,"Real Madrid","team",26,60.9,38,28884,2415,7781,12859,8464,1151,28872,971,475,48.9,379,39,19025,100381,53186,1008,735,338,490,297,21956,2000
"16","La Liga","M","ESP",2023,"Real Sociedad","team",30,54.6,38,23231,2283,6890,10794,5762,798,23227,680,307,45.1,293,43.1,13362,70912,36738,692,499,187,607,368,15101,1463
"17","La Liga","M","ESP",2023,"Sevilla","team",35,52.6,38,22999,2284,7140,10069,5984,741,22994,604,269,44.5,257,42.5,13542,67133,32550,558,520,122,515,312,15242,1497
"18","La Liga","M","ESP",2023,"Valencia","team",28,52,38,21621,2061,6446,9155,6255,822,21613,747,352,47.1,307,41.1,12239,69490,37661,786,630,166,555,338,13469,1457
"19","La Liga","M","ESP",2023,"Valladolid","team",36,48.7,38,20748,2571,7370,9027,4583,638,20744,718,309,43,318,44.3,11499,64338,32319,610,451,147,589,316,12521,1233
"20","La Liga","M","ESP",2023,"Villarreal","team",32,56.9,38,23817,2621,7659,10215,6180,911,23810,880,435,49.4,345,39.2,14392,81466,45470,846,570,239,552,343,16363,1617
"21","La Liga","M","ESP",2023,"vs Almería","opponent",29,54.9,38,23165,1977,6271,10606,6490,1018,23159,711,343,48.2,280,39.4,13817,75543,41267,860,626,236,483,277,15279,1691
"22","La Liga","M","ESP",2023,"vs Athletic Club","opponent",26,48.4,38,21996,2875,8384,9236,4606,626,21993,718,320,44.6,322,44.8,12124,62047,30317,549,410,135,600,286,13412,1202
"23","La Liga","M","ESP",2023,"vs Atlético Madrid","opponent",27,49.4,38,24043,2425,7018,11697,5530,691,24038,764,351,45.9,334,43.7,14819,75451,38319,729,515,146,540,333,16237,1617
"24","La Liga","M","ESP",2023,"vs Barcelona","opponent",29,35.7,38,17703,2713,6968,7319,3601,547,17700,567,271,47.8,227,40,9548,51240,23752,474,341,131,517,295,10223,952
"25","La Liga","M","ESP",2023,"vs Betis","opponent",30,49.4,38,21955,2101,6663,9684,5848,784,21951,774,363,46.9,338,43.7,12653,68202,36566,750,606,147,492,327,14098,1553
"26","La Liga","M","ESP",2023,"vs Celta Vigo","opponent",26,49.8,38,22441,2271,6852,10804,4993,631,22433,747,381,51,295,39.5,13039,64525,31897,536,393,137,617,369,14469,1277
"27","La Liga","M","ESP",2023,"vs Cádiz","opponent",38,58.1,38,23666,2154,6661,10803,6401,957,23656,746,351,47.1,320,42.9,13832,75623,41624,823,601,187,596,303,15488,1728
"28","La Liga","M","ESP",2023,"vs Elche","opponent",32,54.5,38,23458,2067,6449,10874,6360,932,23448,695,323,46.5,280,40.3,13420,73031,39930,737,555,204,588,353,15458,1597
"29","La Liga","M","ESP",2023,"vs Espanyol","opponent",33,56.9,38,23635,2324,7122,10596,6153,936,23629,680,299,44,301,44.3,13382,73050,39005,748,549,223,539,351,15672,1619
"30","La Liga","M","ESP",2023,"vs Getafe","opponent",25,60.1,38,25413,2202,7690,12149,5823,670,25405,714,334,46.8,285,39.9,14675,76173,38257,689,544,138,556,256,16902,1504
"31","La Liga","M","ESP",2023,"vs Girona","opponent",29,48.7,38,21778,2166,6541,9479,5967,808,21770,623,288,46.2,244,39.2,12612,66228,34356,677,507,165,467,307,14270,1425
"32","La Liga","M","ESP",2023,"vs Mallorca","opponent",31,58.9,38,24505,1788,5800,12118,6813,758,24498,652,298,45.7,283,43.4,15033,80117,44803,795,569,132,561,300,16791,1695
