"","Competition_Name","Gender","Country","Season_End_Year","Squad","Team_or_Opponent","Num_Players","Mins_Per_90","Tkl_Tackles","TklW_Tackles","Def 3rd_Tackles","Mid 3rd_Tackles","Att 3rd_Tackles","Tkl_Challenges","Att_Challenges","Tkl_percent_Challenges","Lost_Challenges","Blocks_Blocks","Sh_Blocks","Pass_Blocks","Int","Tkl_plus_Int","Clr","Err"
"21","La Liga","M","ESP",2022,"vs Alavés","opponent",33,38,511,273,249,193,69,233,504,46.2,271,351,87,264,311,822,729,12
"22","La Liga","M","ESP",2022,"vs Athletic Club","opponent",26,38,573,353,293,224,56,232,529,43.9,297,393,131,262,387,960,817,14
"23","La Liga","M","ESP",2022,"vs Atlético Madrid","opponent",26,38,570,309,297,201,72,217,600,36.2,383,364,103,261,404,974,803,10
"24","La Liga","M","ESP",2022,"vs Barcelona","opponent",38,38,631,352,309,250,72,273,747,36.5,474,376,109,267,392,1023,809,10
"25","La Liga","M","ESP",2022,"vs Betis","opponent",31,38,647,370,331,254,62,282,654,43.1,372,416,135,281,375,1022,614,11
"26","La Liga","M","ESP",2022,"vs Celta Vigo","opponent",25,38,554,324,236,237,81,244,590,41.4,346,410,97,313,454,1008,776,14
"27","La Liga","M","ESP",2022,"vs Cádiz","opponent",33,38,529,312,265,197,67,238,519,45.9,281,328,89,239,323,852,792,12
"28","La Liga","M","ESP",2022,"vs Elche","opponent",28,38,588,346,244,268,76,258,597,43.2,339,363,87,276,359,947,617,9
"29","La Liga","M","ESP",2022,"vs Espanyol","opponent",34,38,574,350,248,249,77,243,616,39.4,373,338,98,240,287,861,591,4
"30","La Liga","M","ESP",2022,"vs Getafe","opponent",31,38,511,279,204,239,68,210,452,46.5,242,343,106,237,357,868,668,8
"31","La Liga","M","ESP",2022,"vs Granada","opponent",32,38,546,280,268,193,85,225,495,45.5,270,359,106,253,307,853,662,11
"32","La Liga","M","ESP",2022,"vs Levante","opponent",31,38,637,384,345,238,54,335,683,49,348,379,107,272,327,964,621,17
"33","La Liga","M","ESP",2022,"vs Mallorca","opponent",33,38,648,351,257,304,87,244,612,39.9,368,377,121,256,306,954,746,10
"34","La Liga","M","ESP",2022,"vs Osasuna","opponent",29,38,515,326,265,204,46,206,467,44.1,261,355,99,256,353,868,843,15
"35","La Liga","M","ESP",2022,"vs Rayo Vallecano","opponent",28,38,653,391,304,274,75,282,639,44.1,357,400,130,270,343,996,711,15
"36","La Liga","M","ESP",2022,"vs Real Madrid","opponent",31,38,601,346,347,159,95,324,780,41.5,456,443,161,282,342,943,696,16
"37","La Liga","M","ESP",2022,"vs Real Sociedad","opponent",32,38,701,415,344,276,81,310,670,46.3,360,424,117,307,339,1040,693,9
"38","La Liga","M","ESP",2022,"vs Sevilla","opponent",33,38,609,353,312,203,94,283,588,48.1,305,344,91,253,348,957,748,8
"39","La Liga","M","ESP",2022,"vs Valencia","opponent",34,38,576,335,299,211,66,282,642,43.9,360,314,90,224,286,862,795,7
"40","La Liga","M","ESP",2022,"vs Villarreal","opponent",29,38,628,380,310,234,84,296,746,39.7,450,469,112,357,387,1015,690,11
