"","Competition_Name","Gender","Country","Season_End_Year","Squad","Team_or_Opponent","Num_Players","Mins_Per_90","Tkl_Tackles","TklW_Tackles","Def 3rd_Tackles","Mid 3rd_Tackles","Att 3rd_Tackles","Tkl_Challenges","Att_Challenges","Tkl_percent_Challenges","Lost_Challenges","Blocks_Blocks","Sh_Blocks","Pass_Blocks","Int","Tkl_plus_Int","Clr","Err"
"1","La Liga","M","ESP",2020,"Alavés","team",32,38,579,346,261,265,53,255,619,41.2,364,385,114,271,392,971,766,7
"2","La Liga","M","ESP",2020,"Athletic Club","team",26,38,533,324,262,204,67,217,613,35.4,396,339,92,247,373,906,755,7
"3","La Liga","M","ESP",2020,"Atlético Madrid","team",30,38,658,406,293,272,93,283,640,44.2,357,380,108,272,412,1070,729,18
"4","La Liga","M","ESP",2020,"Barcelona","team",28,38,536,323,216,223,97,211,501,42.1,290,313,87,226,342,878,529,16
"5","La Liga","M","ESP",2020,"Betis","team",27,38,501,299,276,173,52,221,511,43.2,290,336,119,217,302,803,682,8
"6","La Liga","M","ESP",2020,"Celta Vigo","team",30,38,589,357,344,193,52,251,615,40.8,364,345,89,256,396,985,807,12
"7","La Liga","M","ESP",2020,"Eibar","team",26,38,567,338,240,228,99,264,607,43.5,343,332,81,251,430,997,692,8
"8","La Liga","M","ESP",2020,"Espanyol","team",31,38,628,364,303,253,72,257,701,36.7,444,380,96,284,360,988,731,17
"9","La Liga","M","ESP",2020,"Getafe","team",30,38,580,341,235,263,82,235,573,41,338,374,60,314,367,947,625,12
"10","La Liga","M","ESP",2020,"Granada","team",27,38,584,349,257,257,70,238,570,41.8,332,375,118,257,383,967,750,10
"11","La Liga","M","ESP",2020,"Leganés","team",29,38,603,357,317,215,71,254,610,41.6,356,320,73,247,418,1021,687,7
"12","La Liga","M","ESP",2020,"Levante","team",29,38,507,288,281,173,53,204,532,38.3,328,317,107,210,331,838,763,14
"13","La Liga","M","ESP",2020,"Mallorca","team",32,38,545,338,280,213,52,227,602,37.7,375,360,117,243,376,921,672,9
"14","La Liga","M","ESP",2020,"Osasuna","team",31,38,613,361,275,267,71,267,617,43.3,350,385,98,287,417,1030,738,19
"15","La Liga","M","ESP",2020,"Real Madrid","team",26,38,586,355,252,253,81,226,595,38,369,367,77,290,381,967,590,13
"16","La Liga","M","ESP",2020,"Real Sociedad","team",27,38,551,321,254,224,73,252,573,44,321,346,79,267,320,871,694,12
"17","La Liga","M","ESP",2020,"Sevilla","team",26,38,587,344,274,246,67,261,661,39.5,400,331,94,237,346,933,704,10
