"","Competition_Name","Gender","Country","Season_End_Year","Squad","Team_or_Opponent","Num_Players","Mins_Per_90","Tkl_Tackles","TklW_Tackles","Def 3rd_Tackles","Mid 3rd_Tackles","Att 3rd_Tackles","Tkl_Challenges","Att_Challenges","Tkl_percent_Challenges","Lost_Challenges","Blocks_Blocks","Sh_Blocks","Pass_Blocks","Int","Tkl_plus_Int","Clr","Err"
"18","La Liga","M","ESP",2020,"Valencia","team",28,38,500,311,270,173,57,232,589,39.4,357,334,130,204,360,860,748,12
"19","La Liga","M","ESP",2020,"Valladolid","team",30,38,568,327,316,204,48,239,672,35.6,433,391,112,279,390,958,749,13
"20","La Liga","M","ESP",2020,"Villarreal","team",25,38,553,323,250,239,64,218,602,36.2,384,362,116,246,339,892,814,12
"21","La Liga","M","ESP",2020,"vs Alavés","opponent",32,38,555,347,228,258,69,246,497,49.5,251,291,66,225,329,884,584,10
"22","La Liga","M","ESP",2020,"vs Athletic Club","opponent",26,38,549,313,270,222,57,250,587,42.6,337,330,85,245,327,876,704,15
"23","La Liga","M","ESP",2020,"vs Atlético Madrid","opponent",30,38,572,355,292,224,56,195,543,35.9,348,342,112,230,384,956,709,12
"24","La Liga","M","ESP",2020,"vs Barcelona","opponent",28,38,623,361,351,202,70,269,793,33.9,524,430,117,313,525,1148,575,12
"25","La Liga","M","ESP",2020,"vs Betis","opponent",27,38,623,374,301,251,71,268,713,37.6,445,369,108,261,364,987,644,13
"26","La Liga","M","ESP",2020,"vs Celta Vigo","opponent",30,38,615,348,253,275,87,240,610,39.3,370,401,88,313,384,999,646,14
"27","La Liga","M","ESP",2020,"vs Eibar","opponent",26,38,553,331,293,218,42,198,458,43.2,260,328,97,231,342,895,923,17
"28","La Liga","M","ESP",2020,"vs Espanyol","opponent",31,38,539,305,265,217,57,208,489,42.5,281,319,107,212,367,906,787,9
"29","La Liga","M","ESP",2020,"vs Getafe","opponent",30,38,520,292,307,174,39,202,476,42.4,274,384,100,284,384,904,852,13
"30","La Liga","M","ESP",2020,"vs Granada","opponent",27,38,543,302,267,206,70,253,553,45.8,300,335,99,236,333,876,665,13
"31","La Liga","M","ESP",2020,"vs Leganés","opponent",29,38,530,339,260,214,56,239,581,41.1,342,324,100,224,332,862,850,6
"32","La Liga","M","ESP",2020,"vs Levante","opponent",29,38,553,349,242,226,85,251,637,39.4,386,385,112,273,321,874,662,7
"33","La Liga","M","ESP",2020,"vs Mallorca","opponent",32,38,670,393,315,277,78,317,709,44.7,392,352,94,258,383,1053,690,8
"34","La Liga","M","ESP",2020,"vs Osasuna","opponent",31,38,516,316,234,218,64,210,525,40,315,345,91,254,406,922,776,18
"35","La Liga","M","ESP",2020,"vs Real Madrid","opponent",26,38,600,352,302,216,82,285,769,37.1,484,367,101,266,374,974,777,14
"36","La Liga","M","ESP",2020,"vs Real Sociedad","opponent",27,38,591,359,268,260,63,234,589,39.7,355,421,108,313,409,1000,708,9
"37","La Liga","M","ESP",2020,"vs Sevilla","opponent",26,38,606,380,304,226,76,254,667,38.1,413,385,109,276,430,1036,810,15
"38","La Liga","M","ESP",2020,"vs Valencia","opponent",28,38,486,288,207,201,78,203,548,37,345,274,74,200,372,858,634,11
"39","La Liga","M","ESP",2020,"vs Valladolid","opponent",30,38,555,331,240,224,91,231,569,40.6,338,337,93,244,300,855,613,11
"40","La Liga","M","ESP",2020,"vs Villarreal","opponent",25,38,569,337,257,229,83,259,690,37.5,431,353,106,247,369,938,616,9
