"","Competition_Name","Gender","Country","Season_End_Year","Squad","Team_or_Opponent","Num_Players","Mins_Per_90","GA_Goals","PKA_Goals","FK_Goals","CK_Goals","OG_Goals","PSxG_Expected","PSxG_per_SoT_Expected","PSxGPlus_Minus_Expected","_per_90_Expected","Cmp_Launched","Att_Launched","Cmp_percent_Launched","Att (GK)_Passes","Thr_Passes","Launch_percent_Passes","AvgLen_Passes","Att_Goal_Kicks","Launch_percent_Goal_Kicks","AvgLen_Goal_Kicks","Opp_Crosses","Stp_Crosses","Stp_percent_Crosses","#OPA_Sweeper","#OPA_per_90_Sweeper","AvgDist_Sweeper"
"24","La Liga","M","ESP",2022,"vs Barcelona","opponent",2,38,68,6,0,5,0,61,0.3,-7,-0.18,291,728,40,975,131,51.7,39.8,362,61.9,45.1,626,25,4,37,0.97,14.2
"25","La Liga","M","ESP",2022,"vs Betis","opponent",2,38,62,6,2,5,2,53.1,0.26,-6.9,-0.18,226,537,42.1,902,158,42.5,36.5,284,54.2,43.2,424,14,3.3,43,1.13,15.8
"26","La Liga","M","ESP",2022,"vs Celta Vigo","opponent",1,38,43,3,0,2,0,44.4,0.28,1.4,0.04,255,623,40.9,914,146,46.9,39.1,282,68.8,48.2,608,23,3.8,43,1.13,14.8
"27","La Liga","M","ESP",2022,"vs Cádiz","opponent",1,38,35,3,1,2,0,40.2,0.29,5.2,0.14,235,501,46.9,893,184,36.7,33.8,308,56.2,44.9,687,47,6.8,61,1.61,15
"28","La Liga","M","ESP",2022,"vs Elche","opponent",2,38,40,1,0,3,1,33,0.3,-6,-0.16,186,445,41.8,794,136,40.2,35.9,244,51.6,42.5,529,25,4.7,58,1.53,17.3
"29","La Liga","M","ESP",2022,"vs Espanyol","opponent",3,38,40,5,1,7,1,37.3,0.24,-1.7,-0.05,191,389,49.1,792,149,32.6,33.1,266,49.2,40.3,458,19,4.1,35,0.92,14.4
"30","La Liga","M","ESP",2022,"vs Getafe","opponent",2,38,33,3,0,4,2,29.4,0.21,-1.6,-0.04,199,497,40,969,185,37.7,35.1,248,53.2,43,471,26,5.5,50,1.32,17
"31","La Liga","M","ESP",2022,"vs Granada","opponent",2,38,44,3,0,11,1,37.5,0.26,-5.5,-0.14,200,544,36.8,880,143,41.3,36.7,314,57.6,45.2,530,23,4.3,43,1.13,15.1
"32","La Liga","M","ESP",2022,"vs Levante","opponent",4,38,51,8,0,3,0,55.3,0.28,4.3,0.11,214,585,36.6,938,170,43.4,37.3,300,59.3,45.1,485,34,7,50,1.32,15.5
"33","La Liga","M","ESP",2022,"vs Mallorca","opponent",4,38,36,6,0,5,3,42.8,0.27,9.8,0.26,192,519,37,894,139,40.6,37,273,57.1,43.8,440,22,5,51,1.34,17
"34","La Liga","M","ESP",2022,"vs Osasuna","opponent",2,38,37,6,1,5,0,39.3,0.26,2.3,0.06,191,625,30.6,998,157,41.7,36.2,340,61.5,46.8,694,37,5.3,31,0.82,13.2
"35","La Liga","M","ESP",2022,"vs Rayo Vallecano","opponent",2,38,39,4,0,5,1,39.5,0.27,1.5,0.04,273,708,38.6,1007,166,47.1,38.8,337,69.4,51.4,645,29,4.5,39,1.03,14.8
"36","La Liga","M","ESP",2022,"vs Real Madrid","opponent",2,38,80,8,0,10,0,81,0.29,1,0.03,254,612,41.5,823,142,45.1,38.1,359,67.1,48.2,472,20,4.2,35,0.92,14.9
"37","La Liga","M","ESP",2022,"vs Real Sociedad","opponent",2,38,40,9,2,5,0,47.5,0.25,7.5,0.2,229,682,33.6,1003,142,50.8,40,262,65.6,46.9,481,30,6.2,45,1.18,15.1
"38","La Liga","M","ESP",2022,"vs Sevilla","opponent",3,38,53,2,1,11,2,41.1,0.27,-9.9,-0.26,254,699,36.3,914,147,50.1,40,324,74.4,50.9,626,29,4.6,44,1.16,13.7
"39","La Liga","M","ESP",2022,"vs Valencia","opponent",3,38,48,8,0,5,3,40.7,0.23,-4.3,-0.11,220,586,37.5,918,157,46.7,37.7,284,55.3,44.3,576,33,5.7,33,0.87,13.3
"40","La Liga","M","ESP",2022,"vs Villarreal","opponent",2,38,63,5,0,10,1,57.5,0.31,-4.5,-0.12,201,618,32.5,898,134,49.8,40.3,277,61.7,46.4,442,29,6.6,53,1.39,15.6
