"","Competition_Name","Gender","Country","Season_End_Year","Squad","Team_or_Opponent","Num_Players","Mins_Per_90","GA_Goals","PKA_Goals","FK_Goals","CK_Goals","OG_Goals","PSxG_Expected","PSxG_per_SoT_Expected","PSxGPlus_Minus_Expected","_per_90_Expected","Cmp_Launched","Att_Launched","Cmp_percent_Launched","Att (GK)_Passes","Thr_Passes","Launch_percent_Passes","AvgLen_Passes","Att_Goal_Kicks","Launch_percent_Goal_Kicks","AvgLen_Goal_Kicks","Opp_Crosses","Stp_Crosses","Stp_percent_Crosses","#OPA_Sweeper","#OPA_per_90_Sweeper","AvgDist_Sweeper"
"1","La Liga","M","ESP",2022,"Alavés","team",3,38,65,6,0,10,0,58.5,0.3,-6.5,-0.17,369,783,47.1,808,96,64.6,53.3,351,74.4,50.9,619,26,4.2,48,1.26,17.6
"2","La Liga","M","ESP",2022,"Athletic Club","team",2,38,36,3,0,2,1,36.9,0.26,1.9,0.05,158,402,39.3,748,201,35.4,33.8,269,50.9,41.7,577,30,5.2,41,1.08,15.2
"3","La Liga","M","ESP",2022,"Atlético Madrid","team",1,38,43,7,2,4,3,32.3,0.23,-7.7,-0.2,170,598,28.4,810,155,49.9,39,283,68.6,48.6,477,27,5.7,29,0.76,13.8
"4","La Liga","M","ESP",2022,"Barcelona","team",2,38,38,2,1,7,0,34.1,0.26,-3.9,-0.1,147,289,50.9,1167,165,18.8,26.9,240,29.2,32.3,384,15,3.9,38,1,15.3
"5","La Liga","M","ESP",2022,"Betis","team",2,38,40,3,0,3,2,39.1,0.27,1.1,0.03,201,547,36.7,962,157,41.4,33.1,275,54.2,43.9,592,24,4.1,41,1.08,15.7
"6","La Liga","M","ESP",2022,"Celta Vigo","team",1,38,43,4,0,1,2,43.3,0.27,2.3,0.06,303,804,37.7,1176,131,51.3,40.3,283,71,52.4,452,36,8,37,0.97,14.3
"7","La Liga","M","ESP",2022,"Cádiz","team",1,38,51,11,0,10,0,52.8,0.24,1.8,0.05,272,792,34.3,840,119,63.3,46,313,83.1,60.2,586,42,7.2,28,0.74,12.1
"8","La Liga","M","ESP",2022,"Elche","team",2,38,52,7,0,6,0,54.5,0.27,2.5,0.07,257,626,41.1,966,183,42.1,36.4,346,63.3,45.9,616,25,4.1,56,1.47,15.2
"9","La Liga","M","ESP",2022,"Espanyol","team",3,38,53,4,0,4,2,53.6,0.3,2.6,0.07,171,466,36.7,897,221,35.1,33.8,337,44.8,36.9,662,38,5.7,48,1.26,13.7
"10","La Liga","M","ESP",2022,"Getafe","team",2,38,41,2,0,5,1,40.9,0.29,0.9,0.02,366,869,42.1,892,101,69.5,61,294,84.7,54.2,576,26,4.5,45,1.18,5
"11","La Liga","M","ESP",2022,"Granada","team",2,38,61,7,0,7,2,60.2,0.27,1.2,0.03,267,818,32.6,922,162,57.7,44,380,75.3,52,615,32,5.2,64,1.68,16.1
"12","La Liga","M","ESP",2022,"Levante","team",4,38,76,5,1,13,0,65.9,0.3,-10.1,-0.27,155,460,33.7,821,151,42.1,36.6,309,36.9,34.6,532,19,3.6,47,1.24,15.6
"13","La Liga","M","ESP",2022,"Mallorca","team",4,38,63,6,1,5,4,53.8,0.3,-5.2,-0.14,244,595,41,787,130,52.4,39.4,312,58.7,43.5,576,17,3,20,0.53,12.6
"14","La Liga","M","ESP",2022,"Osasuna","team",2,38,51,4,0,11,2,49.1,0.29,0.1,0,396,876,45.2,884,84,68.6,46.5,315,85.7,58.5,546,24,4.4,71,1.87,18.1
"15","La Liga","M","ESP",2022,"Rayo Vallecano","team",2,38,50,7,0,4,1,49.7,0.25,0.7,0.02,224,648,34.6,889,193,50.6,42.1,283,70,52.2,495,44,8.9,41,1.08,13.9
"16","La Liga","M","ESP",2022,"Real Madrid","team",2,38,31,3,1,2,0,37,0.25,6,0.16,79,261,30.3,926,201,21,28.8,289,23.2,28.2,506,24,4.7,31,0.82,15.5
"17","La Liga","M","ESP",2022,"Real Sociedad","team",2,38,37,5,1,8,0,35.5,0.24,-1.5,-0.04,211,521,40.5,1094,139,34.1,32.9,269,55,44,522,21,4,51,1.34,16.4
"18","La Liga","M","ESP",2022,"Sevilla","team",3,38,30,2,2,6,0,31.3,0.24,1.3,0.03,181,446,40.6,1051,145,29,29.1,277,50.9,40.6,503,32,6.4,36,0.95,13.7
"19","La Liga","M","ESP",2022,"Valencia","team",3,38,53,7,0,7,3,54.1,0.29,4.1,0.11,248,623,39.8,749,140,55.3,39.8,298,70.1,50.4,534,20,3.7,45,1.18,16
"20","La Liga","M","ESP",2022,"Villarreal","team",2,38,37,4,0,3,1,37.1,0.26,1.1,0.03,146,385,37.9,1232,199,23.1,28,281,35.9,35.3,583,25,4.3,66,1.74,16.8
"21","La Liga","M","ESP",2022,"vs Alavés","opponent",3,38,31,6,0,6,2,32,0.22,3,0.08,221,604,36.6,1038,176,43.4,36.9,277,55.2,42.2,585,31,5.3,48,1.26,16.2
"22","La Liga","M","ESP",2022,"vs Athletic Club","opponent",2,38,43,3,1,7,3,47.5,0.26,7.5,0.2,320,765,41.8,1144,172,48.8,39.8,322,64.3,48.4,622,26,4.2,56,1.47,15.9
"23","La Liga","M","ESP",2022,"vs Atlético Madrid","opponent",1,38,65,4,0,7,2,59.5,0.36,-3.5,-0.09,213,542,39.3,927,139,39.7,36.1,341,51,42.6,552,25,4.5,28,0.74,14.1
