"","Competition_Name","Gender","Country","Season_End_Year","Squad","Team_or_Opponent","Num_Players","Mins_Per_90","Tkl_Tackles","TklW_Tackles","Def 3rd_Tackles","Mid 3rd_Tackles","Att 3rd_Tackles","Tkl_Challenges","Att_Challenges","Tkl_percent_Challenges","Lost_Challenges","Blocks_Blocks","Sh_Blocks","Pass_Blocks","Int","Tkl_plus_Int","Clr","Err"
"1","La Liga","M","ESP",2023,"Almería","team",29,38,557,322,292,202,63,280,623,44.9,343,435,122,313,322,879,855,13
"2","La Liga","M","ESP",2023,"Athletic Club","team",26,38,608,369,267,254,87,322,642,50.2,320,415,95,320,310,918,598,14
"3","La Liga","M","ESP",2023,"Atlético Madrid","team",27,38,667,408,332,245,90,334,685,48.8,351,396,103,293,304,971,704,9
"4","La Liga","M","ESP",2023,"Barcelona","team",29,38,522,324,211,216,95,227,498,45.6,271,353,82,271,253,775,439,17
"5","La Liga","M","ESP",2023,"Betis","team",30,38,665,421,373,238,54,338,701,48.2,363,411,112,299,364,1029,857,7
"6","La Liga","M","ESP",2023,"Celta Vigo","team",26,38,664,413,319,269,76,295,676,43.6,381,393,84,309,368,1032,666,5
"7","La Liga","M","ESP",2023,"Cádiz","team",38,38,623,410,358,205,60,320,671,47.7,351,425,128,297,270,893,853,13
"8","La Liga","M","ESP",2023,"Elche","team",32,38,633,363,367,212,54,280,603,46.4,323,413,131,282,323,956,766,13
"9","La Liga","M","ESP",2023,"Espanyol","team",33,38,652,379,330,239,83,301,600,50.2,299,416,134,282,338,990,788,9
"10","La Liga","M","ESP",2023,"Getafe","team",25,38,541,339,282,199,60,285,619,46,334,404,113,291,320,861,794,10
"11","La Liga","M","ESP",2023,"Girona","team",29,38,551,321,271,213,67,244,532,45.9,288,379,111,268,266,817,662,20
"12","La Liga","M","ESP",2023,"Mallorca","team",31,38,583,344,318,213,52,283,581,48.7,298,402,146,256,318,901,859,7
"13","La Liga","M","ESP",2023,"Osasuna","team",26,38,534,328,256,196,82,266,588,45.2,322,392,97,295,315,849,749,10
"14","La Liga","M","ESP",2023,"Rayo Vallecano","team",28,38,636,393,262,276,98,281,664,42.3,383,428,92,336,309,945,680,11
"15","La Liga","M","ESP",2023,"Real Madrid","team",26,38,542,353,242,212,88,259,565,45.8,306,365,105,260,296,838,469,5
"16","La Liga","M","ESP",2023,"Real Sociedad","team",30,38,660,395,304,254,102,285,613,46.5,328,399,103,296,271,931,624,13
"17","La Liga","M","ESP",2023,"Sevilla","team",35,38,587,367,261,230,96,281,591,47.5,310,361,127,234,339,926,633,9
"18","La Liga","M","ESP",2023,"Valencia","team",28,38,678,428,340,254,84,311,645,48.2,334,370,75,295,288,966,643,21
"19","La Liga","M","ESP",2023,"Valladolid","team",36,38,671,396,334,251,86,296,628,47.1,332,432,149,283,345,1016,767,8
"20","La Liga","M","ESP",2023,"Villarreal","team",32,38,578,370,276,201,101,270,534,50.6,264,372,125,247,262,840,691,16
"21","La Liga","M","ESP",2023,"vs Almería","opponent",29,38,591,369,274,233,84,310,606,51.2,296,373,108,265,249,840,553,14
"22","La Liga","M","ESP",2023,"vs Athletic Club","opponent",26,38,656,416,374,212,70,305,652,46.8,347,449,147,302,384,1040,839,17
"23","La Liga","M","ESP",2023,"vs Atlético Madrid","opponent",27,38,539,317,271,181,87,262,584,44.9,322,445,134,311,368,907,663,14
"24","La Liga","M","ESP",2023,"vs Barcelona","opponent",29,38,647,385,332,250,65,321,717,44.8,396,423,139,284,369,1016,746,17
"25","La Liga","M","ESP",2023,"vs Betis","opponent",30,38,664,417,303,268,93,311,676,46,365,437,95,342,324,988,584,9
"26","La Liga","M","ESP",2023,"vs Celta Vigo","opponent",26,38,593,356,314,204,75,295,618,47.7,323,369,121,248,394,987,681,9
"27","La Liga","M","ESP",2023,"vs Cádiz","opponent",38,38,603,374,255,249,99,249,495,50.3,246,347,87,260,242,845,727,10
"28","La Liga","M","ESP",2023,"vs Elche","opponent",32,38,656,402,293,265,98,311,653,47.6,342,418,97,321,288,944,698,9
"29","La Liga","M","ESP",2023,"vs Espanyol","opponent",33,38,505,326,239,220,46,260,517,50.3,257,328,100,228,238,743,822,10
"30","La Liga","M","ESP",2023,"vs Getafe","opponent",25,38,457,290,211,190,56,189,406,46.6,217,378,95,283,300,757,723,14
"31","La Liga","M","ESP",2023,"vs Girona","opponent",29,38,641,415,289,265,87,311,652,47.7,341,359,78,281,304,945,659,10
"32","La Liga","M","ESP",2023,"vs Mallorca","opponent",31,38,500,296,202,217,81,198,491,40.3,293,333,82,251,231,731,621,8
"33","La Liga","M","ESP",2023,"vs Osasuna","opponent",26,38,563,332,318,195,50,247,560,44.1,313,381,93,288,311,874,797,7
"34","La Liga","M","ESP",2023,"vs Rayo Vallecano","opponent",28,38,664,391,317,278,69,290,586,49.5,296,416,133,283,345,1009,810,10
"35","La Liga","M","ESP",2023,"vs Real Madrid","opponent",26,38,676,407,377,218,81,379,854,44.4,475,492,175,317,331,1007,678,8
"36","La Liga","M","ESP",2023,"vs Real Sociedad","opponent",30,38,661,403,341,237,83,293,600,48.8,307,402,110,292,325,986,613,15
"37","La Liga","M","ESP",2023,"vs Sevilla","opponent",35,38,569,353,273,206,90,257,526,48.9,269,358,96,262,271,840,769,13
"38","La Liga","M","ESP",2023,"vs Valencia","opponent",28,38,645,382,354,219,72,307,659,46.6,352,418,133,285,294,939,834,15
"39","La Liga","M","ESP",2023,"vs Valladolid","opponent",36,38,634,389,309,232,93,318,627,50.7,309,409,97,312,264,898,662,5
"40","La Liga","M","ESP",2023,"vs Villarreal","opponent",32,38,688,423,349,240,99,345,780,44.2,435,426,114,312,349,1037,618,16
