"","Competition_Name","Gender","Country","Season_End_Year","Squad","Team_or_Opponent","Num_Players","Mins_Per_90","Att","Live_Pass_Types","Dead_Pass_Types","FK_Pass_Types","TB_Pass_Types","Sw_Pass_Types","Crs_Pass_Types","TI_Pass_Types","CK_Pass_Types","In_Corner_Kicks","Out_Corner_Kicks","Str_Corner_Kicks","Cmp_Outcomes","Off_Outcomes","Blocks_Outcomes"
"23","La Liga","M","ESP",2024,"vs Athletic Club","opponent",27,38,19081,17121,1869,561,40,189,626,744,161,71,54,0,14887,91,352
"24","La Liga","M","ESP",2024,"vs Atlético Madrid","opponent",27,38,19995,18152,1806,545,29,110,764,662,194,63,75,0,16440,37,419
"25","La Liga","M","ESP",2024,"vs Barcelona","opponent",29,38,13768,12007,1644,489,47,120,574,562,148,66,61,2,10455,117,302
"26","La Liga","M","ESP",2024,"vs Betis","opponent",35,38,18933,17017,1810,468,56,106,712,787,192,84,81,2,15171,106,388
"27","La Liga","M","ESP",2024,"vs Celta Vigo","opponent",31,38,21005,19016,1936,499,33,162,746,865,189,52,89,1,16975,53,395
"28","La Liga","M","ESP",2024,"vs Cádiz","opponent",34,38,19905,17878,1962,628,45,130,758,792,174,63,65,1,15783,65,372
"29","La Liga","M","ESP",2024,"vs Getafe","opponent",33,38,18849,16675,2033,695,78,136,640,805,173,60,66,1,14502,141,292
"30","La Liga","M","ESP",2024,"vs Girona","opponent",25,38,16590,14841,1700,477,38,124,711,641,161,75,60,1,13335,49,314
"31","La Liga","M","ESP",2024,"vs Granada","opponent",40,38,19420,17386,1926,554,61,162,718,824,201,78,77,1,15485,108,365
"32","La Liga","M","ESP",2024,"vs Las Palmas","opponent",29,38,15778,13845,1769,473,103,121,694,752,211,89,88,2,11893,164,371
"33","La Liga","M","ESP",2024,"vs Mallorca","opponent",25,38,19315,17321,1958,630,34,130,656,832,152,57,46,1,15384,36,277
"34","La Liga","M","ESP",2024,"vs Osasuna","opponent",29,38,19141,17116,1899,561,64,147,694,776,175,75,55,0,14977,126,343
"35","La Liga","M","ESP",2024,"vs Rayo Vallecano","opponent",26,38,17768,15686,1995,637,51,135,682,787,173,67,69,1,13590,87,360
"36","La Liga","M","ESP",2024,"vs Real Madrid","opponent",27,38,17114,15408,1668,435,33,163,680,644,145,62,48,1,14072,38,376
"37","La Liga","M","ESP",2024,"vs Real Sociedad","opponent",31,38,15616,13483,2035,651,27,130,523,829,137,43,62,1,11674,98,322
"38","La Liga","M","ESP",2024,"vs Sevilla","opponent",35,38,18653,16574,2001,528,62,141,698,843,196,56,69,4,14795,78,340
"39","La Liga","M","ESP",2024,"vs Valencia","opponent",29,38,20730,18759,1885,516,52,155,734,850,182,83,62,1,16672,86,344
"40","La Liga","M","ESP",2024,"vs Villarreal","opponent",32,38,19145,17341,1729,550,51,194,886,631,200,78,65,2,15642,75,305
