"","Competition_Name","Gender","Country","Season_End_Year","Squad","Team_or_Opponent","Num_Players","Mins_Per_90","Att","Live_Pass_Types","Dead_Pass_Types","FK_Pass_Types","TB_Pass_Types","Sw_Pass_Types","Crs_Pass_Types","TI_Pass_Types","CK_Pass_Types","In_Corner_Kicks","Out_Corner_Kicks","Str_Corner_Kicks","Cmp_Outcomes","Off_Outcomes","Blocks_Outcomes"
"1","La Liga","M","ESP",2024,"Alavés","team",30,38,14116,12133,1914,506,29,124,830,802,187,45,74,4,10091,69,372
"2","La Liga","M","ESP",2024,"Almería","team",35,38,16540,14559,1906,555,35,112,659,741,167,64,63,0,12774,75,320
"3","La Liga","M","ESP",2024,"Athletic Club","team",27,38,18724,16746,1900,528,70,111,845,817,208,79,89,0,14509,78,364
"4","La Liga","M","ESP",2024,"Atlético Madrid","team",27,38,20709,18869,1717,489,76,179,621,675,174,59,74,0,17064,123,343
"5","La Liga","M","ESP",2024,"Barcelona","team",29,38,24761,22805,1857,574,98,200,651,709,238,95,82,2,21506,99,335
"6","La Liga","M","ESP",2024,"Betis","team",35,38,18979,16983,1923,603,43,138,636,741,217,83,86,2,15310,73,381
"7","La Liga","M","ESP",2024,"Celta Vigo","team",31,38,17776,15843,1870,526,63,112,661,759,181,65,76,1,13890,63,380
"8","La Liga","M","ESP",2024,"Cádiz","team",34,38,14990,12985,1915,560,24,130,791,751,170,63,80,0,10763,90,304
"9","La Liga","M","ESP",2024,"Getafe","team",33,38,15193,13180,1935,575,20,224,701,803,143,76,37,1,10713,78,313
"10","La Liga","M","ESP",2024,"Girona","team",25,38,21914,20127,1692,514,56,172,698,624,159,61,67,1,18793,95,314
"11","La Liga","M","ESP",2024,"Granada","team",40,38,15976,13933,1968,615,46,96,664,795,149,56,51,1,12127,75,345
"12","La Liga","M","ESP",2024,"Las Palmas","team",29,38,22882,20865,1924,655,66,83,580,761,159,58,55,1,19105,93,392
"13","La Liga","M","ESP",2024,"Mallorca","team",25,38,15645,13739,1802,444,51,118,763,772,173,57,86,7,11476,104,328
"14","La Liga","M","ESP",2024,"Osasuna","team",29,38,17335,15309,1958,520,19,124,813,867,170,83,68,1,12874,68,383
"15","La Liga","M","ESP",2024,"Rayo Vallecano","team",26,38,17459,15351,2012,580,43,141,688,858,169,77,53,2,13282,96,333
"16","La Liga","M","ESP",2024,"Real Madrid","team",27,38,24691,22843,1769,553,93,224,618,650,211,66,86,0,21794,79,285
"17","La Liga","M","ESP",2024,"Real Sociedad","team",31,38,19249,17319,1838,534,48,122,672,830,198,103,60,0,15263,92,340
"18","La Liga","M","ESP",2024,"Sevilla","team",35,38,18599,16643,1879,513,28,206,934,807,180,72,76,0,14628,77,357
"19","La Liga","M","ESP",2024,"Valencia","team",29,38,16255,14286,1900,550,36,111,593,868,124,23,47,1,12233,69,375
"20","La Liga","M","ESP",2024,"Villarreal","team",32,38,18637,16709,1836,541,69,143,592,666,174,75,57,2,15349,92,335
"21","La Liga","M","ESP",2024,"vs Alavés","opponent",30,38,20256,18248,1948,519,55,144,686,850,167,64,74,1,16352,60,310
"22","La Liga","M","ESP",2024,"vs Almería","opponent",35,38,19368,17353,1942,519,54,171,828,820,220,74,101,3,15460,73,352
