"","Competition_Name","Gender","Country","Season_End_Year","Squad","Team_or_Opponent","Num_Players","Poss","Mins_Per_90","Touches_Touches","Def Pen_Touches","Def 3rd_Touches","Mid 3rd_Touches","Att 3rd_Touches","Att Pen_Touches","Live_Touches","Att_Take_Ons","Succ_Take_Ons","Succ_percent_Take_Ons","Tkld_Take_Ons","Tkld_percent_Take_Ons","Carries_Carries","TotDist_Carries","PrgDist_Carries","PrgC_Carries","Final_Third_Carries","CPA_Carries","Mis_Carries","Dis_Carries","Rec_Receiving","PrgR_Receiving"
"1","La Liga","M","ESP",2020,"Alavés","team",32,41.5,38,17865,2032,6060,8359,3622,508,17859,497,251,50.5,246,49.5,9373,44654,20855,403,307,100,535,309,9525,936
"2","La Liga","M","ESP",2020,"Athletic Club","team",26,48.7,38,20857,2064,6212,9835,5031,594,20847,587,337,57.4,250,42.6,10354,58313,30842,604,493,110,576,299,12422,1273
"3","La Liga","M","ESP",2020,"Atlético Madrid","team",30,48.6,38,21860,1918,6182,10585,5274,807,21852,543,348,64.1,195,35.9,11872,58628,30072,598,516,156,586,377,13506,1323
"4","La Liga","M","ESP",2020,"Barcelona","team",28,66.4,38,31713,2419,7683,15606,8628,1066,31707,793,524,66.1,269,33.9,20416,102227,57254,923,864,243,444,354,24606,2036
"5","La Liga","M","ESP",2020,"Betis","team",27,56.7,38,23715,2485,7853,10431,5665,845,23707,713,445,62.4,268,37.6,14024,78775,41021,834,634,200,548,355,16065,1463
"6","La Liga","M","ESP",2020,"Celta Vigo","team",30,51.7,38,22576,2291,7505,10374,4906,585,22567,610,370,60.7,240,39.3,12921,68433,33492,670,521,133,541,375,14460,1358
"7","La Liga","M","ESP",2020,"Eibar","team",26,46.3,38,19501,1777,5164,9086,5479,633,19491,458,260,56.8,198,43.2,9587,48746,21965,424,409,110,564,355,10333,1246
"8","La Liga","M","ESP",2020,"Espanyol","team",31,47.4,38,20282,2092,6860,9234,4417,604,20278,489,281,57.5,208,42.5,10645,59325,29721,561,405,103,576,331,11782,1222
"9","La Liga","M","ESP",2020,"Getafe","team",30,45,38,17737,1484,4842,7903,5206,650,17730,476,274,57.6,202,42.4,7551,40426,18906,416,330,82,635,318,8211,1179
"10","La Liga","M","ESP",2020,"Granada","team",27,43.8,38,18071,2226,6282,7633,4377,585,18066,553,300,54.2,253,45.8,9792,52441,25249,511,381,111,486,290,9720,994
"11","La Liga","M","ESP",2020,"Leganés","team",29,43.9,38,18841,1764,5798,8465,4791,636,18836,581,342,58.9,239,41.1,9273,49830,24609,498,412,122,544,291,10246,1145
"12","La Liga","M","ESP",2020,"Levante","team",29,48.3,38,20210,2479,7642,8291,4454,632,20205,637,386,60.6,251,39.4,10797,61650,32153,711,417,157,537,302,12313,1350
"13","La Liga","M","ESP",2020,"Mallorca","team",32,45,38,19626,2340,6588,8406,4870,686,19616,709,392,55.3,317,44.7,11405,65851,34539,740,527,201,625,353,11691,1201
"14","La Liga","M","ESP",2020,"Osasuna","team",31,47.4,38,20122,2002,6073,9400,4869,661,20114,525,315,60,210,40,9935,51175,25607,562,428,124,611,306,10840,1346
"15","La Liga","M","ESP",2020,"Real Madrid","team",26,58.8,38,27693,2234,7711,12551,7671,1038,27682,769,484,62.9,285,37.1,17146,92265,47544,951,727,302,518,315,19981,1951
"16","La Liga","M","ESP",2020,"Real Sociedad","team",27,56.2,38,24037,2340,7553,11352,5327,778,24032,591,355,60.1,234,39.6,14006,75872,40635,737,523,149,552,357,15827,1573
"17","La Liga","M","ESP",2020,"Sevilla","team",26,57.9,38,25650,2229,7794,11678,6387,920,25643,667,413,61.9,254,38.1,14440,74929,39085,803,571,211,541,352,17430,1804
"18","La Liga","M","ESP",2020,"Valencia","team",28,49,38,21847,2592,7697,9694,4654,638,21839,549,345,62.8,203,37,12893,70910,36309,671,491,114,521,283,14386,1367
"19","La Liga","M","ESP",2020,"Valladolid","team",30,44.7,38,19410,2162,6607,9057,3980,480,19404,569,338,59.4,231,40.6,9985,55513,27378,510,403,110,537,324,11102,1096
"20","La Liga","M","ESP",2020,"Villarreal","team",25,52.9,38,24137,2532,7874,11259,5231,772,24126,690,431,62.5,259,37.5,13188,71102,37620,694,518,209,601,310,16111,1472
"21","La Liga","M","ESP",2020,"vs Alavés","opponent",32,58.5,38,23863,1842,6718,11873,5477,739,23848,619,364,58.8,255,41.2,13268,69567,35364,656,492,146,600,324,15540,1535
"22","La Liga","M","ESP",2020,"vs Athletic Club","opponent",26,51.3,38,21884,2203,7001,9816,5267,651,21877,614,396,64.5,217,35.3,12428,65062,33686,615,488,106,549,316,13538,1382
"23","La Liga","M","ESP",2020,"vs Atlético Madrid","opponent",30,51.4,38,23174,2256,6949,11021,5427,606,23170,640,357,55.8,283,44.2,13247,68033,33924,619,569,105,545,375,14793,1508
"24","La Liga","M","ESP",2020,"vs Barcelona","opponent",28,33.6,38,18087,2241,6429,7656,4201,619,18080,501,290,57.9,211,42.1,9797,54159,27390,576,416,170,470,325,10825,996
"25","La Liga","M","ESP",2020,"vs Betis","opponent",27,43.3,38,19236,2164,6191,8320,4907,793,19225,511,290,56.8,221,43.2,10260,56375,28957,613,438,180,466,280,11524,1250
"26","La Liga","M","ESP",2020,"vs Celta Vigo","opponent",30,48.4,38,21488,1911,5845,9854,6026,745,21483,615,364,59.2,251,40.8,11897,65184,33444,679,537,148,511,338,13334,1423
"27","La Liga","M","ESP",2020,"vs Eibar","opponent",26,53.7,38,22447,2798,9373,8818,4454,662,22441,607,343,56.5,264,43.5,11837,59571,29608,561,412,148,608,303,13149,1168
"28","La Liga","M","ESP",2020,"vs Espanyol","opponent",31,52.6,38,22320,2161,6637,10437,5498,696,22313,701,444,63.3,257,36.7,12408,68221,36096,688,552,151,536,371,13875,1444
"29","La Liga","M","ESP",2020,"vs Getafe","opponent",30,55,38,21102,2227,7906,9625,3758,464,21096,574,338,58.9,235,40.9,10240,51878,23683,376,315,89,686,345,11648,1073
"30","La Liga","M","ESP",2020,"vs Granada","opponent",27,56.2,38,22510,1937,6931,10446,5317,703,22505,570,332,58.2,238,41.8,12484,66692,34354,672,492,180,575,346,14259,1386
"31","La Liga","M","ESP",2020,"vs Leganés","opponent",29,56.1,38,23472,2199,7106,11477,5069,588,23465,610,356,58.4,254,41.6,12902,69099,36248,632,562,114,588,349,14940,1407
"32","La Liga","M","ESP",2020,"vs Levante","opponent",29,51.7,38,21696,2115,6333,9561,6022,959,21689,532,328,61.7,204,38.3,12480,66807,34969,741,557,219,549,303,13726,1485
"33","La Liga","M","ESP",2020,"vs Mallorca","opponent",32,55,38,23484,2066,6696,10996,6017,930,23468,602,375,62.3,227,37.7,13556,74203,39242,774,565,203,545,318,15485,1663
"34","La Liga","M","ESP",2020,"vs Osasuna","opponent",31,52.6,38,22151,2230,7171,10223,4984,686,22146,617,350,56.7,267,43.3,11357,59766,30434,581,427,143,620,346,12918,1293
"35","La Liga","M","ESP",2020,"vs Real Madrid","opponent",26,41.2,38,20543,2583,7110,9207,4451,530,20541,595,369,62,226,38,11264,60819,30522,604,473,131,498,360,12905,1199
"36","La Liga","M","ESP",2020,"vs Real Sociedad","opponent",27,43.8,38,19876,2210,6594,8777,4746,694,19867,573,321,56,252,44,10620,55968,26544,546,441,158,539,299,11562,1117
"37","La Liga","M","ESP",2020,"vs Sevilla","opponent",26,42.1,38,19982,2400,6615,8833,4755,552,19978,661,400,60.5,261,39.5,10431,55937,28346,552,452,124,573,326,11679,1123
"38","La Liga","M","ESP",2020,"vs Valencia","opponent",28,51,38,23063,1945,6033,10538,6712,902,23054,590,357,60.5,232,39.3,13600,74649,39888,863,648,204,460,268,15626,1681
"39","La Liga","M","ESP",2020,"vs Valladolid","opponent",30,55.3,38,23568,1868,5973,11723,6085,787,23560,672,433,64.4,239,35.6,13197,74264,39327,797,568,158,652,329,15342,1750
"40","La Liga","M","ESP",2020,"vs Villarreal","opponent",25,47.1,38,21804,2106,6369,9998,5666,812,21795,602,384,63.8,218,36.2,12330,64811,32830,676,473,170,508,335,13889,1452
