"","Competition_Name","Gender","Country","Season_End_Year","Squad","Team_or_Opponent","Num_Players","Mins_Per_90","Cmp_Total","Att_Total","Cmp_percent_Total","TotDist_Total","PrgDist_Total","Cmp_Short","Att_Short","Cmp_percent_Short","Cmp_Medium","Att_Medium","Cmp_percent_Medium","Cmp_Long","Att_Long","Cmp_percent_Long","Ast","xAG","xA_Expected","A_minus_xAG_Expected","KP","Final_Third","PPA","CrsPA","PrgP"
"1","La Liga","M","ESP",2024,"Alavés","team",30,38,10091,14116,71.5,191648,83394,4443,5283,84.1,4011,5052,79.4,1375,2889,47.6,28,32.4,30.6,-4.4,341,937,273,105,1260
"2","La Liga","M","ESP",2024,"Almería","team",35,38,12774,16540,77.2,228494,85956,5654,6480,87.3,5476,6405,85.5,1322,2747,48.1,25,34.2,24.6,-9.2,349,870,212,86,1097
"3","La Liga","M","ESP",2024,"Athletic Club","team",27,38,14509,18724,77.5,256772,96209,6598,7600,86.8,6186,7288,84.9,1393,2832,49.2,41,37,40.3,4,355,1205,343,113,1610
"4","La Liga","M","ESP",2024,"Atlético Madrid","team",27,38,17064,20709,82.4,282535,101502,8654,9535,90.8,6433,7422,86.7,1442,2542,56.7,48,47.4,44,0.6,359,1226,380,68,1597
"5","La Liga","M","ESP",2024,"Barcelona","team",29,38,21506,24761,86.9,359810,114447,10598,11481,92.3,8724,9617,90.7,1717,2604,65.9,55,57.4,57.9,-2.4,457,1702,405,83,1925
"6","La Liga","M","ESP",2024,"Betis","team",35,38,15310,18979,80.7,256941,94528,7398,8260,89.6,5944,6913,86,1383,2561,54,31,32.7,33.8,-1.7,368,1037,327,53,1441
"7","La Liga","M","ESP",2024,"Celta Vigo","team",31,38,13890,17776,78.1,235944,93057,6703,7631,87.8,5538,6545,84.6,1223,2495,49,35,38.2,39.1,-3.2,367,1129,293,71,1345
"8","La Liga","M","ESP",2024,"Cádiz","team",34,38,10763,14990,71.8,202974,86219,4837,5694,84.9,4144,5163,80.3,1455,3198,45.5,17,25.2,26.3,-8.2,292,899,219,106,1017
"9","La Liga","M","ESP",2024,"Getafe","team",33,38,10713,15193,70.5,207208,83225,4641,5528,84,4142,5344,77.5,1625,3436,47.3,27,27.9,27.4,-0.9,324,1037,220,103,1141
"10","La Liga","M","ESP",2024,"Girona","team",25,38,18793,21914,85.8,318093,108506,8986,9734,92.3,7878,8692,90.6,1460,2446,59.7,64,54,52.4,10,377,1431,362,88,1685
"11","La Liga","M","ESP",2024,"Granada","team",40,38,12127,15976,75.9,225286,88195,5270,6031,87.4,5127,6099,84.1,1458,2965,49.2,27,31.1,30.4,-4.1,283,834,263,94,1044
"12","La Liga","M","ESP",2024,"Las Palmas","team",29,38,19105,22882,83.5,298427,110392,10201,11174,91.3,7170,8097,88.6,1145,2312,49.5,23,23.3,28.2,-0.3,295,1295,271,54,1596
