"","Competition_Name","Gender","Country","Season_End_Year","Squad","Team_or_Opponent","Num_Players","Mins_Per_90","Cmp_Total","Att_Total","Cmp_percent_Total","TotDist_Total","PrgDist_Total","Cmp_Short","Att_Short","Cmp_percent_Short","Cmp_Medium","Att_Medium","Cmp_percent_Medium","Cmp_Long","Att_Long","Cmp_percent_Long","Ast","xAG","xA_Expected","A_minus_xAG_Expected","KP","Final_Third","PPA","CrsPA","PrgP"
"13","La Liga","M","ESP",2024,"Mallorca","team",25,38,11476,15645,73.4,218346,89351,4934,5790,85.2,4717,5815,81.1,1549,3119,49.7,27,30.8,29.1,-3.8,308,978,235,103,1174
"14","La Liga","M","ESP",2024,"Osasuna","team",29,38,12874,17335,74.3,243978,96863,5474,6420,85.3,5487,6696,81.9,1666,3277,50.8,32,28.5,31.6,3.5,301,1128,263,104,1322
"15","La Liga","M","ESP",2024,"Rayo Vallecano","team",26,38,13282,17459,76.1,240192,94205,5918,6783,87.2,5584,6657,83.9,1436,3063,46.9,12,24.6,25.3,-12.6,314,1082,255,81,1335
"16","La Liga","M","ESP",2024,"Real Madrid","team",27,38,21794,24691,88.3,349864,112682,11641,12391,93.9,7949,8734,91,1624,2474,65.6,66,52.5,50.5,13.5,476,1701,391,59,1935
"17","La Liga","M","ESP",2024,"Real Sociedad","team",31,38,15263,19249,79.3,276751,93632,6489,7461,87,6923,8022,86.3,1553,2800,55.5,36,30.7,32.9,5.3,320,1133,246,63,1414
"18","La Liga","M","ESP",2024,"Sevilla","team",35,38,14628,18599,78.6,267530,97170,6501,7367,88.2,6128,7177,85.4,1667,3111,53.6,30,31.7,32.7,-1.7,363,1207,286,134,1416
"19","La Liga","M","ESP",2024,"Valencia","team",29,38,12233,16255,75.3,217671,80185,5491,6436,85.3,5177,6140,84.3,1226,2710,45.2,24,27,24.2,-3,267,886,218,72,1162
"20","La Liga","M","ESP",2024,"Villarreal","team",32,38,15349,18637,82.4,278006,102363,6662,7409,89.9,6931,7828,88.5,1525,2599,58.7,47,40.5,40.4,6.5,365,1160,339,88,1558
"21","La Liga","M","ESP",2024,"vs Alavés","opponent",30,38,16352,20256,80.7,284862,101637,7545,8460,89.2,6916,7981,86.7,1491,2870,52,29,29.8,34.6,-0.8,346,1223,282,76,1502
"22","La Liga","M","ESP",2024,"vs Almería","opponent",35,38,15460,19368,79.8,269733,101064,7325,8212,89.2,6187,7240,85.5,1518,2848,53.3,56,45.3,45.1,10.7,467,1293,355,102,1644
"23","La Liga","M","ESP",2024,"vs Athletic Club","opponent",27,38,14887,19081,78,268488,97964,6516,7486,87,6412,7514,85.3,1562,3003,52,27,32,29,-5,301,999,254,78,1298
"24","La Liga","M","ESP",2024,"vs Atlético Madrid","opponent",27,38,16440,19995,82.2,290195,98965,7460,8271,90.2,7083,7986,88.7,1555,2770,56.1,33,29.7,32.7,3.3,342,1392,303,79,1544
"25","La Liga","M","ESP",2024,"vs Barcelona","opponent",29,38,10455,13768,75.9,186415,77373,4978,5702,87.3,3966,4699,84.4,1202,2489,48.3,35,30.9,30,4.1,316,806,254,79,992
"26","La Liga","M","ESP",2024,"vs Betis","opponent",35,38,15171,18933,80.1,260627,96763,7430,8311,89.4,6063,6998,86.6,1368,2619,52.2,23,32.6,32.7,-9.6,314,1142,277,88,1457
"27","La Liga","M","ESP",2024,"vs Celta Vigo","opponent",31,38,16975,21005,80.8,295825,102419,7874,8770,89.8,7062,8158,86.6,1598,2993,53.4,32,35.9,37.3,-3.9,355,1256,297,95,1535
"28","La Liga","M","ESP",2024,"vs Cádiz","opponent",34,38,15783,19905,79.3,271822,103062,7651,8676,88.2,6204,7335,84.6,1515,2819,53.7,37,40.2,38.1,-3.2,375,1375,310,92,1679
"29","La Liga","M","ESP",2024,"vs Getafe","opponent",33,38,14502,18849,76.9,251452,97400,6843,7786,87.9,5798,6956,83.4,1413,2993,47.2,37,38,34.2,-1,341,1051,276,71,1325
"30","La Liga","M","ESP",2024,"vs Girona","opponent",25,38,13335,16590,80.4,237377,89769,6162,6892,89.4,5439,6294,86.4,1405,2570,54.7,30,37.7,38,-7.7,374,1074,310,95,1277
"31","La Liga","M","ESP",2024,"vs Granada","opponent",40,38,15485,19420,79.7,273295,100227,7146,7984,89.5,6433,7443,86.4,1530,2949,51.9,54,43.8,39.8,10.2,355,1276,317,82,1490
"32","La Liga","M","ESP",2024,"vs Las Palmas","opponent",29,38,11893,15778,75.4,213442,85461,5555,6417,86.6,4659,5572,83.6,1355,2736,49.5,33,41.8,36,-8.8,327,1019,240,80,1207
"33","La Liga","M","ESP",2024,"vs Mallorca","opponent",25,38,15384,19315,79.6,260780,94062,7559,8492,89,5999,7074,84.8,1408,2781,50.6,29,28.5,32.9,0.5,348,1230,277,78,1399
"34","La Liga","M","ESP",2024,"vs Osasuna","opponent",29,38,14977,19141,78.2,259645,97973,7066,7947,88.9,6054,7238,83.6,1442,2865,50.3,44,38.3,36,5.7,315,1147,288,89,1427
"35","La Liga","M","ESP",2024,"vs Rayo Vallecano","opponent",26,38,13590,17768,76.5,238089,96172,6551,7515,87.2,5230,6299,83,1406,2883,48.8,36,36.3,34.7,-0.3,354,1043,292,77,1371
"36","La Liga","M","ESP",2024,"vs Real Madrid","opponent",27,38,14072,17114,82.2,244643,88878,6723,7390,91,5703,6439,88.6,1325,2385,55.6,17,26.4,28.4,-9.4,299,995,259,92,1261
"37","La Liga","M","ESP",2024,"vs Real Sociedad","opponent",31,38,11674,15616,74.8,211049,80731,5319,6162,86.3,4658,5623,82.8,1358,2891,47,24,24.6,26.7,-0.6,263,787,207,60,941
"38","La Liga","M","ESP",2024,"vs Sevilla","opponent",35,38,14795,18653,79.3,260954,97812,6814,7694,88.6,6091,7147,85.2,1505,2803,53.7,40,42,36.5,-2,382,1173,293,97,1483
"39","La Liga","M","ESP",2024,"vs Valencia","opponent",29,38,16672,20730,80.4,302306,108756,7313,8278,88.3,7237,8324,86.9,1754,3119,56.2,31,32.8,34.4,-1.8,299,1382,318,93,1587
"40","La Liga","M","ESP",2024,"vs Villarreal","opponent",32,38,15642,19145,81.7,275471,95593,7263,8043,90.3,6475,7386,87.7,1534,2794,54.9,48,40.6,44.6,7.4,408,1214,392,125,1655
