"","Competition_Name","Gender","Country","Season_End_Year","Squad","Team_or_Opponent","Num_Players","Mins_Per_90","Gls_Standard","Sh_Standard","SoT_Standard","SoT_percent_Standard","Sh_per_90_Standard","SoT_per_90_Standard","G_per_Sh_Standard","G_per_SoT_Standard","Dist_Standard","FK_Standard","PK_Standard","PKatt_Standard","xG_Expected","npxG_Expected","npxG_per_Sh_Expected","G_minus_xG_Expected","np:G_minus_xG_Expected"
"1","La Liga","M","ESP",2020,"Alavés","team",32,38,34,307,98,31.9,8.08,2.58,0.09,0.29,16.7,11,6,6,39.3,34.7,0.12,-5.3,-6.7
"2","La Liga","M","ESP",2020,"Athletic Club","team",26,38,40,401,126,31.4,10.55,3.32,0.08,0.25,18.8,16,8,10,41.5,33.8,0.09,-1.5,-1.8
"3","La Liga","M","ESP",2020,"Atlético Madrid","team",30,38,50,440,136,30.9,11.58,3.58,0.1,0.32,17.3,14,6,8,56.8,50.6,0.12,-6.8,-6.6
"4","La Liga","M","ESP",2020,"Barcelona","team",28,38,84,488,213,43.6,12.84,5.61,0.16,0.37,17.4,46,6,6,66.3,61.7,0.13,17.7,16.3
"5","La Liga","M","ESP",2020,"Betis","team",27,38,48,471,152,32.3,12.39,4,0.09,0.28,18.4,20,6,8,51,45.2,0.1,-3,-3.2
"6","La Liga","M","ESP",2020,"Celta Vigo","team",30,38,37,359,131,36.5,9.45,3.45,0.09,0.24,18.8,23,6,9,39.2,32.4,0.09,-2.2,-1.4
"7","La Liga","M","ESP",2020,"Eibar","team",26,38,38,419,132,31.5,11.03,3.47,0.07,0.23,18.9,21,7,10,42,34.2,0.08,-4,-3.2
"8","La Liga","M","ESP",2020,"Espanyol","team",31,38,25,407,120,29.5,10.71,3.16,0.05,0.18,19.1,20,4,4,38.6,35.6,0.09,-13.6,-14.6
"9","La Liga","M","ESP",2020,"Getafe","team",30,38,42,408,121,29.7,10.74,3.18,0.09,0.3,18.6,31,6,7,41.6,36.1,0.09,0.4,-0.1
"10","La Liga","M","ESP",2020,"Granada","team",27,38,50,389,118,30.3,10.24,3.11,0.12,0.38,19,25,5,5,44.9,40.9,0.11,5.1,4.1
"11","La Liga","M","ESP",2020,"Leganés","team",29,38,30,427,143,33.5,11.24,3.76,0.06,0.19,19.2,29,3,5,39.9,35.9,0.09,-9.9,-8.9
"12","La Liga","M","ESP",2020,"Levante","team",29,38,45,422,133,31.5,11.11,3.5,0.09,0.3,19,21,5,5,48.1,44.2,0.11,-3.1,-4.2
"13","La Liga","M","ESP",2020,"Mallorca","team",32,38,39,410,118,28.8,10.79,3.11,0.08,0.26,19.2,22,8,10,41.1,33.3,0.08,-2.1,-2.3
"14","La Liga","M","ESP",2020,"Osasuna","team",31,38,46,455,142,31.2,11.97,3.74,0.08,0.27,18.7,22,8,8,49.4,43.2,0.1,-3.4,-5.2
"15","La Liga","M","ESP",2020,"Real Madrid","team",26,38,69,552,222,40.2,14.53,5.84,0.11,0.26,18,18,11,11,67.9,59.2,0.11,1.1,-1.2
