"","Competition_Name","Gender","Country","Season_End_Year","Squad","Team_or_Opponent","Num_Players","Mins_Per_90","Gls_Standard","Sh_Standard","SoT_Standard","SoT_percent_Standard","Sh_per_90_Standard","SoT_per_90_Standard","G_per_Sh_Standard","G_per_SoT_Standard","Dist_Standard","FK_Standard","PK_Standard","PKatt_Standard","xG_Expected","npxG_Expected","npxG_per_Sh_Expected","G_minus_xG_Expected","np:G_minus_xG_Expected"
"16","La Liga","M","ESP",2020,"Real Sociedad","team",27,38,54,424,139,32.8,11.16,3.66,0.12,0.36,17.7,12,4,5,48.9,45.1,0.11,5.1,4.9
"17","La Liga","M","ESP",2020,"Sevilla","team",26,38,53,484,164,33.9,12.74,4.32,0.1,0.28,16.7,17,7,7,53.2,47.9,0.1,-0.2,-1.9
"18","La Liga","M","ESP",2020,"Valencia","team",28,38,45,331,111,33.5,8.71,2.92,0.12,0.36,18,18,5,8,43.3,37.2,0.11,1.7,2.8
"19","La Liga","M","ESP",2020,"Valladolid","team",30,38,31,369,116,31.4,9.71,3.05,0.08,0.24,20,29,3,6,36.6,32.1,0.09,-5.6,-4.1
"20","La Liga","M","ESP",2020,"Villarreal","team",25,38,62,483,160,33.1,12.71,4.21,0.11,0.33,18.2,15,10,11,63.6,55.2,0.12,-1.6,-3.2
"21","La Liga","M","ESP",2020,"vs Alavés","opponent",32,38,59,458,146,31.9,12.05,3.84,0.1,0.32,18.5,29,12,15,57.8,46.3,0.1,1.2,0.7
"22","La Liga","M","ESP",2020,"vs Athletic Club","opponent",26,38,36,386,123,31.9,10.16,3.24,0.08,0.25,17.8,26,5,7,48.8,43.7,0.12,-12.8,-12.7
"23","La Liga","M","ESP",2020,"vs Atlético Madrid","opponent",30,38,24,412,109,26.5,10.84,2.87,0.05,0.19,19.8,19,3,4,32.5,29.5,0.07,-8.5,-8.5
"24","La Liga","M","ESP",2020,"vs Barcelona","opponent",28,38,38,364,112,30.8,9.58,2.95,0.09,0.29,19.2,16,6,7,38.3,32.9,0.09,-0.3,-0.9
"25","La Liga","M","ESP",2020,"vs Betis","opponent",27,38,59,437,143,32.7,11.5,3.76,0.11,0.34,17.8,18,11,11,54.8,46.2,0.11,4.2,1.8
"26","La Liga","M","ESP",2020,"vs Celta Vigo","opponent",30,38,49,439,144,32.8,11.55,3.79,0.1,0.31,18.5,17,5,5,45.3,41.4,0.1,3.7,2.6
"27","La Liga","M","ESP",2020,"vs Eibar","opponent",26,38,55,374,132,35.3,9.84,3.47,0.14,0.39,17.2,15,4,6,53,48.4,0.13,2,2.6
"28","La Liga","M","ESP",2020,"vs Espanyol","opponent",31,38,56,438,156,35.6,11.53,4.11,0.11,0.32,18.7,22,6,7,51,45.8,0.11,5,4.2
"29","La Liga","M","ESP",2020,"vs Getafe","opponent",30,38,35,275,103,37.5,7.24,2.71,0.11,0.29,16.9,15,5,6,41.4,36.7,0.14,-6.4,-6.7
"30","La Liga","M","ESP",2020,"vs Granada","opponent",27,38,45,443,151,34.1,11.66,3.97,0.09,0.27,19,27,4,5,42.6,38.6,0.09,2.4,2.4
"31","La Liga","M","ESP",2020,"vs Leganés","opponent",29,38,50,342,131,38.3,9,3.45,0.13,0.34,18.7,19,6,7,42.8,37.4,0.11,7.2,6.6
"32","La Liga","M","ESP",2020,"vs Levante","opponent",29,38,51,571,209,36.6,15.03,5.5,0.08,0.23,17.3,26,3,7,62.9,57.4,0.1,-11.9,-9.4
"33","La Liga","M","ESP",2020,"vs Mallorca","opponent",32,38,64,482,174,36.1,12.68,4.58,0.1,0.28,18.2,17,15,16,63.5,51.2,0.11,0.5,-2.2
"34","La Liga","M","ESP",2020,"vs Osasuna","opponent",31,38,54,419,138,32.9,11.03,3.63,0.12,0.36,17.9,26,5,5,49.4,45.5,0.11,4.6,3.5
"35","La Liga","M","ESP",2020,"vs Real Madrid","opponent",26,38,25,335,108,32.2,8.82,2.84,0.07,0.21,18.1,12,2,2,33.3,31.7,0.1,-8.3,-8.7
"36","La Liga","M","ESP",2020,"vs Real Sociedad","opponent",27,38,47,385,136,35.3,10.13,3.58,0.1,0.29,18.2,13,7,9,43,36,0.1,4,4
"37","La Liga","M","ESP",2020,"vs Sevilla","opponent",26,38,33,384,113,29.4,10.11,2.97,0.08,0.27,19.7,31,3,4,36.1,33,0.09,-3.1,-3
"38","La Liga","M","ESP",2020,"vs Valencia","opponent",28,38,52,563,181,32.1,14.82,4.76,0.08,0.25,18.5,37,7,9,56,49.1,0.09,-4,-4.1
"39","La Liga","M","ESP",2020,"vs Valladolid","opponent",30,38,43,465,131,28.2,12.24,3.45,0.08,0.27,18.7,22,7,8,54.5,48.4,0.11,-11.5,-12.4
"40","La Liga","M","ESP",2020,"vs Villarreal","opponent",25,38,47,474,155,32.7,12.47,4.08,0.08,0.25,18.4,23,8,9,46.3,39.3,0.09,0.7,-0.3
