"","Competition_Name","Gender","Country","Season_End_Year","Squad","Team_or_Opponent","Num_Players","Mins_Per_90","Tkl_Tackles","TklW_Tackles","Def 3rd_Tackles","Mid 3rd_Tackles","Att 3rd_Tackles","Tkl_Challenges","Att_Challenges","Tkl_percent_Challenges","Lost_Challenges","Blocks_Blocks","Sh_Blocks","Pass_Blocks","Int","Tkl_plus_Int","Clr","Err"
"1","La Liga","M","ESP",2024,"Alavés","team",30,38,578,347,284,227,67,290,629,46.1,339,363,117,246,279,857,810,5
"2","La Liga","M","ESP",2024,"Almería","team",35,38,633,372,354,222,57,280,582,48.1,302,430,134,296,313,946,856,19
"3","La Liga","M","ESP",2024,"Athletic Club","team",27,38,581,362,217,264,100,305,635,48,330,419,106,313,278,859,631,4
"4","La Liga","M","ESP",2024,"Atlético Madrid","team",27,38,654,399,308,263,83,327,671,48.7,344,460,114,346,256,910,793,8
"5","La Liga","M","ESP",2024,"Barcelona","team",29,38,571,363,271,223,77,243,523,46.5,280,363,97,266,257,828,573,17
"6","La Liga","M","ESP",2024,"Betis","team",35,38,692,440,305,300,87,358,683,52.4,325,422,101,321,345,1037,801,9
"7","La Liga","M","ESP",2024,"Celta Vigo","team",31,38,627,382,302,243,82,308,662,46.5,354,434,116,318,297,924,832,9
"8","La Liga","M","ESP",2024,"Cádiz","team",34,38,671,398,338,264,69,341,728,46.8,387,443,123,320,298,969,786,13
"9","La Liga","M","ESP",2024,"Getafe","team",33,38,608,364,269,251,88,291,577,50.4,286,342,103,239,307,915,730,6
"10","La Liga","M","ESP",2024,"Girona","team",25,38,544,340,264,222,58,274,521,52.6,247,378,124,254,257,801,661,21
"11","La Liga","M","ESP",2024,"Granada","team",40,38,637,374,336,237,64,289,623,46.4,334,404,110,294,280,917,779,26
"12","La Liga","M","ESP",2024,"Las Palmas","team",29,38,662,397,328,263,71,305,633,48.2,328,416,98,318,281,943,761,14
"13","La Liga","M","ESP",2024,"Mallorca","team",25,38,686,388,347,281,58,340,657,51.8,317,369,131,238,365,1051,785,10
"14","La Liga","M","ESP",2024,"Osasuna","team",29,38,525,311,247,201,77,243,517,47,274,400,108,292,263,788,756,16
"15","La Liga","M","ESP",2024,"Rayo Vallecano","team",26,38,630,372,279,282,69,270,608,44.4,338,410,105,305,308,938,796,12
"16","La Liga","M","ESP",2024,"Real Madrid","team",27,38,557,368,252,214,91,225,461,48.8,236,401,104,297,296,853,552,14
"17","La Liga","M","ESP",2024,"Real Sociedad","team",31,38,650,405,271,285,94,283,552,51.3,269,405,118,287,253,903,693,15
"18","La Liga","M","ESP",2024,"Sevilla","team",35,38,697,463,380,237,80,335,626,53.5,291,395,123,272,313,1010,772,9
"19","La Liga","M","ESP",2024,"Valencia","team",29,38,657,379,335,250,72,309,618,50,309,392,105,287,324,981,842,9
"20","La Liga","M","ESP",2024,"Villarreal","team",32,38,576,348,288,212,76,260,532,48.9,272,386,130,256,304,880,789,12
"21","La Liga","M","ESP",2024,"vs Alavés","opponent",30,38,553,340,279,216,58,254,564,45,310,393,115,278,233,786,802,14
"22","La Liga","M","ESP",2024,"vs Almería","opponent",35,38,583,364,249,236,98,314,613,51.2,299,357,103,254,280,863,676,15
"23","La Liga","M","ESP",2024,"vs Athletic Club","opponent",27,38,715,428,371,284,60,349,687,50.8,338,411,119,292,370,1085,843,27
