"","Competition_Name","Gender","Country","Season_End_Year","Squad","Team_or_Opponent","Num_Players","Mins_Per_90","Tkl_Tackles","TklW_Tackles","Def 3rd_Tackles","Mid 3rd_Tackles","Att 3rd_Tackles","Tkl_Challenges","Att_Challenges","Tkl_percent_Challenges","Lost_Challenges","Blocks_Blocks","Sh_Blocks","Pass_Blocks","Int","Tkl_plus_Int","Clr","Err"
"24","La Liga","M","ESP",2024,"vs Atlético Madrid","opponent",27,38,530,318,257,182,91,227,524,43.3,297,407,104,303,298,828,735,17
"25","La Liga","M","ESP",2024,"vs Barcelona","opponent",29,38,643,392,333,227,83,338,722,46.8,384,450,159,291,318,961,770,10
"26","La Liga","M","ESP",2024,"vs Betis","opponent",35,38,756,464,337,343,76,329,715,46,386,484,144,340,314,1070,693,13
"27","La Liga","M","ESP",2024,"vs Celta Vigo","opponent",31,38,627,382,309,254,64,291,586,49.7,295,444,125,319,335,962,721,8
"28","La Liga","M","ESP",2024,"vs Cádiz","opponent",34,38,606,370,281,253,72,263,493,53.3,230,341,89,252,243,849,795,7
"29","La Liga","M","ESP",2024,"vs Getafe","opponent",33,38,540,348,267,228,45,260,499,52.1,239,382,113,269,261,801,855,17
"30","La Liga","M","ESP",2024,"vs Girona","opponent",25,38,673,423,315,235,123,297,650,45.7,353,374,104,270,301,974,630,10
"31","La Liga","M","ESP",2024,"vs Granada","opponent",40,38,601,344,270,262,69,296,599,49.4,303,390,106,284,290,891,729,11
"32","La Liga","M","ESP",2024,"vs Las Palmas","opponent",29,38,673,415,301,301,71,308,624,49.4,316,426,99,327,335,1008,656,7
"33","La Liga","M","ESP",2024,"vs Mallorca","opponent",25,38,532,318,237,231,64,219,470,46.6,251,375,108,267,295,827,814,10
"34","La Liga","M","ESP",2024,"vs Osasuna","opponent",29,38,530,339,286,187,57,247,484,51,237,411,101,310,291,821,903,9
"35","La Liga","M","ESP",2024,"vs Rayo Vallecano","opponent",26,38,679,408,314,284,81,306,589,52,283,388,119,269,285,964,759,17
"36","La Liga","M","ESP",2024,"vs Real Madrid","opponent",27,38,705,389,393,221,91,393,794,49.5,401,402,146,256,296,1001,689,16
"37","La Liga","M","ESP",2024,"vs Real Sociedad","opponent",31,38,635,368,305,268,62,284,605,46.9,321,402,112,290,278,913,803,9
"38","La Liga","M","ESP",2024,"vs Sevilla","opponent",35,38,558,347,247,240,71,278,570,48.8,292,367,88,279,236,794,895,10
"39","La Liga","M","ESP",2024,"vs Valencia","opponent",29,38,612,379,293,231,88,294,570,51.6,276,406,87,319,269,881,646,10
"40","La Liga","M","ESP",2024,"vs Villarreal","opponent",32,38,685,436,331,258,96,329,680,48.4,351,422,126,296,346,1031,584,11
