"","Competition_Name","Gender","Country","Season_End_Year","Squad","Team_or_Opponent","Num_Players","Mins_Per_90","GA_Goals","PKA_Goals","FK_Goals","CK_Goals","OG_Goals","PSxG_Expected","PSxG_per_SoT_Expected","PSxGPlus_Minus_Expected","_per_90_Expected","Cmp_Launched","Att_Launched","Cmp_percent_Launched","Att (GK)_Passes","Thr_Passes","Launch_percent_Passes","AvgLen_Passes","Att_Goal_Kicks","Launch_percent_Goal_Kicks","AvgLen_Goal_Kicks","Opp_Crosses","Stp_Crosses","Stp_percent_Crosses","#OPA_Sweeper","#OPA_per_90_Sweeper","AvgDist_Sweeper"
"1","La Liga","M","ESP",2021,"Alavés","team",2,38,57,3,0,5,0,51.1,0.35,-5.9,-0.15,309,615,50.2,792,116,53.7,40.3,306,62.1,44.8,545,19,3.5,37,0.97,14.5
"2","La Liga","M","ESP",2021,"Athletic Club","team",2,38,42,5,1,6,1,37.4,0.29,-3.6,-0.09,206,493,41.8,817,210,36.5,35.2,270,72.2,52.2,555,24,4.3,36,0.95,15.1
"3","La Liga","M","ESP",2021,"Atlético Madrid","team",1,38,25,1,0,5,3,33.1,0.25,11.1,0.29,202,539,37.5,709,131,49.6,39.1,294,63.6,45.9,513,14,2.7,27,0.71,15.7
"4","La Liga","M","ESP",2021,"Barcelona","team",2,38,38,5,1,5,2,36,0.24,0,0,92,207,44.4,1068,193,14.8,24.8,215,22.8,29.3,369,19,5.1,40,1.05,13.9
"5","La Liga","M","ESP",2021,"Betis","team",2,38,50,8,1,4,3,46.8,0.28,-0.2,0,212,606,35,953,163,48.1,37.8,250,59.2,45.1,505,20,4,48,1.26,19
"6","La Liga","M","ESP",2021,"Celta Vigo","team",2,38,57,7,2,4,1,49.7,0.32,-6.3,-0.17,194,607,32,1025,156,40,32.7,315,62.5,46.6,553,10,1.8,45,1.18,15.7
"7","La Liga","M","ESP",2021,"Cádiz","team",3,38,58,9,2,4,1,53.8,0.3,-3.2,-0.09,396,998,39.7,846,72,78.7,54.1,349,95.1,65,606,33,5.4,26,0.68,27
"8","La Liga","M","ESP",2021,"Eibar","team",2,38,52,3,0,5,0,47.5,0.33,-4.5,-0.12,340,847,40.1,938,124,65.9,40.2,250,91.6,68.4,406,14,3.4,63,1.66,24.3
"9","La Liga","M","ESP",2021,"Elche","team",2,38,55,6,0,6,1,58.8,0.32,4.8,0.13,267,604,44.2,1039,168,36.6,45,353,63.5,45.3,537,10,1.9,34,0.89,12.4
"10","La Liga","M","ESP",2021,"Getafe","team",2,38,43,7,0,3,3,39.7,0.29,-0.3,-0.01,370,913,40.5,863,48,80.1,51.7,263,84.4,55.4,444,17,3.8,50,1.32,18.5
"11","La Liga","M","ESP",2021,"Granada","team",3,38,65,6,2,4,1,61.9,0.31,-2.1,-0.05,310,848,36.6,944,79,62.6,46.5,316,81.3,56.1,546,12,2.2,62,1.63,18
"12","La Liga","M","ESP",2021,"Huesca","team",2,38,53,5,1,10,2,48.2,0.29,-2.8,-0.07,188,508,37,1077,187,35.7,34.2,298,41.6,38.3,539,16,3,34,0.89,13.4
"13","La Liga","M","ESP",2021,"Levante","team",3,38,57,3,1,6,2,50,0.29,-5,-0.13,136,382,35.6,936,197,32.4,32.2,282,28,29.6,533,8,1.5,71,1.87,18.2
"14","La Liga","M","ESP",2021,"Osasuna","team",3,38,48,5,0,5,2,47,0.3,1,0.03,441,996,44.3,995,92,71.5,48,302,94.4,61.3,600,30,5,76,2,17.5
"15","La Liga","M","ESP",2021,"Real Madrid","team",1,38,28,7,0,3,1,32.7,0.22,5.7,0.15,89,300,29.7,1086,243,20.6,29.6,235,32.3,36.6,472,26,5.5,44,1.16,15.7
"16","La Liga","M","ESP",2021,"Real Sociedad","team",1,38,38,3,0,4,1,35,0.3,-2,-0.05,204,520,39.2,998,132,38.2,35.1,217,64.1,49.7,415,9,2.2,47,1.24,17.3
"17","La Liga","M","ESP",2021,"Sevilla","team",2,38,33,4,0,4,2,33.5,0.24,2.5,0.07,183,418,43.8,1012,169,29.8,29.2,228,50.9,39.7,512,30,5.9,36,0.95,11.2
"18","La Liga","M","ESP",2021,"Valencia","team",2,38,53,5,3,5,2,48.2,0.24,-2.8,-0.07,291,664,43.8,871,145,49.1,36.6,338,69.8,50.4,655,11,1.7,31,0.82,13.4
"19","La Liga","M","ESP",2021,"Valladolid","team",2,38,57,6,1,5,0,53.4,0.3,-3.6,-0.1,251,810,31,877,133,61.1,43.2,332,82.5,58.3,578,7,1.2,28,0.74,14.9
"20","La Liga","M","ESP",2021,"Villarreal","team",2,38,44,7,0,3,2,38.7,0.25,-3.3,-0.09,167,431,38.7,1098,208,26,30.2,304,48,40.5,597,28,4.7,32,0.84,13.9
"21","La Liga","M","ESP",2021,"vs Alavés","opponent",2,38,36,5,2,2,1,35.4,0.29,0.4,0.01,223,618,36.1,1010,154,45,37.5,240,68.3,50.7,496,16,3.2,51,1.34,17.8
