"","Competition_Name","Gender","Country","Season_End_Year","Squad","Team_or_Opponent","Num_Players","Mins_Per_90","Att","Live_Pass_Types","Dead_Pass_Types","FK_Pass_Types","TB_Pass_Types","Sw_Pass_Types","Crs_Pass_Types","TI_Pass_Types","CK_Pass_Types","In_Corner_Kicks","Out_Corner_Kicks","Str_Corner_Kicks","Cmp_Outcomes","Off_Outcomes","Blocks_Outcomes"
"1","La Liga","M","ESP",2021,"Alavés","team",30,38,14388,12378,1937,595,11,144,645,800,142,42,68,4,10216,73,265
"2","La Liga","M","ESP",2021,"Athletic Club","team",27,38,17842,15738,2027,561,13,200,812,920,197,65,73,3,13578,77,377
"3","La Liga","M","ESP",2021,"Atlético Madrid","team",25,38,20680,18818,1766,480,46,171,597,734,196,54,98,0,16757,96,302
"4","La Liga","M","ESP",2021,"Barcelona","team",25,38,28488,26712,1686,536,58,108,494,644,217,68,35,0,25192,90,340
"5","La Liga","M","ESP",2021,"Betis","team",25,38,19679,17720,1894,598,18,163,586,774,184,48,82,2,15814,65,321
"6","La Liga","M","ESP",2021,"Celta Vigo","team",30,38,19318,17402,1851,553,33,145,521,764,125,42,62,2,15176,65,298
"7","La Liga","M","ESP",2021,"Cádiz","team",34,38,12067,10091,1920,587,15,134,731,739,149,56,78,1,7949,56,282
"8","La Liga","M","ESP",2021,"Eibar","team",30,38,16890,14786,2037,511,5,243,1052,991,197,94,98,0,11810,67,325
"9","La Liga","M","ESP",2021,"Elche","team",30,38,17054,15168,1835,537,8,167,672,715,137,52,60,1,13481,51,322
"10","La Liga","M","ESP",2021,"Getafe","team",31,38,13863,11734,2055,596,7,210,815,973,143,71,36,0,8977,74,322
"11","La Liga","M","ESP",2021,"Granada","team",34,38,13336,11332,1922,506,17,115,613,870,128,57,39,1,9083,82,333
"12","La Liga","M","ESP",2021,"Huesca","team",27,38,17480,15449,1930,598,9,197,824,788,156,59,58,1,13507,101,321
"13","La Liga","M","ESP",2021,"Levante","team",29,38,18116,16222,1825,509,23,178,697,767,173,61,41,0,14190,69,370
"14","La Liga","M","ESP",2021,"Osasuna","team",28,38,15031,13118,1846,510,6,194,700,831,117,44,54,1,10233,67,281
"15","La Liga","M","ESP",2021,"Real Madrid","team",30,38,24119,22248,1785,501,32,351,771,759,224,70,65,1,20652,86,346
"16","La Liga","M","ESP",2021,"Real Sociedad","team",30,38,18995,17052,1857,545,40,103,712,823,196,87,82,1,14915,86,369
"17","La Liga","M","ESP",2021,"Sevilla","team",26,38,22873,21025,1779,516,27,384,731,797,167,35,65,0,19248,69,301
"18","La Liga","M","ESP",2021,"Valencia","team",30,38,16480,14548,1842,584,22,218,613,666,163,58,51,2,12755,90,297
"19","La Liga","M","ESP",2021,"Valladolid","team",32,38,15385,13372,1938,571,20,193,744,796,145,53,39,1,11145,75,312
"20","La Liga","M","ESP",2021,"Villarreal","team",29,38,21129,19245,1796,539,47,178,579,711,160,58,33,1,17508,88,348
"21","La Liga","M","ESP",2021,"vs Alavés","opponent",30,38,19621,17574,1940,561,22,201,731,865,201,72,62,0,15323,107,305
"22","La Liga","M","ESP",2021,"vs Athletic Club","opponent",27,38,18320,16391,1846,532,21,242,753,768,157,46,70,1,14279,83,335
"23","La Liga","M","ESP",2021,"vs Atlético Madrid","opponent",25,38,19039,17189,1820,563,10,211,708,703,160,54,71,0,15160,30,354
"24","La Liga","M","ESP",2021,"vs Barcelona","opponent",25,38,15011,13448,1515,426,20,141,514,513,140,43,57,1,11743,48,300
"25","La Liga","M","ESP",2021,"vs Betis","opponent",25,38,17225,15253,1847,548,36,180,654,788,158,64,60,0,13195,125,346
"26","La Liga","M","ESP",2021,"vs Celta Vigo","opponent",30,38,16949,14836,2062,658,21,196,741,924,166,66,55,0,12833,51,365
"27","La Liga","M","ESP",2021,"vs Cádiz","opponent",34,38,23128,21256,1771,451,31,189,805,809,206,92,61,2,18990,101,349
"28","La Liga","M","ESP",2021,"vs Eibar","opponent",30,38,17650,15366,2156,534,38,175,545,1041,141,47,56,2,12572,128,333
"29","La Liga","M","ESP",2021,"vs Elche","opponent",30,38,19231,17496,1671,535,28,149,693,692,164,43,64,1,15677,64,308
"30","La Liga","M","ESP",2021,"vs Getafe","opponent",31,38,18783,16642,2054,674,22,214,566,869,145,57,53,1,14007,87,356
"31","La Liga","M","ESP",2021,"vs Granada","opponent",34,38,19293,17232,2008,584,22,208,764,882,185,56,79,1,15039,53,342
"32","La Liga","M","ESP",2021,"vs Huesca","opponent",27,38,19260,17254,1932,594,20,182,692,811,161,52,55,0,15345,74,310
"33","La Liga","M","ESP",2021,"vs Levante","opponent",29,38,16963,14983,1881,533,22,162,683,790,179,62,66,1,13050,99,297
"34","La Liga","M","ESP",2021,"vs Osasuna","opponent",28,38,20219,18086,2037,565,34,198,800,906,176,70,40,2,15379,96,296
"35","La Liga","M","ESP",2021,"vs Real Madrid","opponent",30,38,16672,14886,1747,462,21,174,637,677,152,55,64,1,13187,39,319
"36","La Liga","M","ESP",2021,"vs Real Sociedad","opponent",30,38,15816,13837,1890,622,18,196,533,756,127,40,46,2,11867,89,293
"37","La Liga","M","ESP",2021,"vs Sevilla","opponent",26,38,14857,12969,1854,536,16,156,680,723,157,59,62,2,11221,34,272
