"","Competition_Name","Gender","Country","Season_End_Year","Squad","Team_or_Opponent","Num_Players","Mins_Per_90","SCA_SCA","SCA90_SCA","PassLive_SCA_Types","PassDead_SCA_Types","TO_SCA_Types","Sh_SCA_Types","Fld_SCA_Types","Def_SCA_Types","GCA_GCA","GCA90_GCA","PassLive_GCA_Types","PassDead_GCA_Types","TO_GCA_Types","Sh_GCA_Types","Fld_GCA_Types","Def_GCA_Types"
"1","La Liga","M","ESP",2022,"Alavés","team",33,38,628,16.53,392,88,38,46,53,11,48,1.26,27,6,4,5,6,0
"2","La Liga","M","ESP",2022,"Athletic Club","team",26,38,821,21.61,581,94,46,42,47,11,72,1.89,52,9,1,2,5,3
"3","La Liga","M","ESP",2022,"Atlético Madrid","team",26,38,828,21.79,593,86,56,41,40,12,111,2.92,86,6,5,8,3,3
"4","La Liga","M","ESP",2022,"Barcelona","team",38,38,942,24.79,728,62,68,34,41,9,123,3.24,95,5,7,8,6,2
"5","La Liga","M","ESP",2022,"Betis","team",31,38,902,23.74,670,75,55,46,41,15,94,2.47,65,5,10,5,8,1
"6","La Liga","M","ESP",2022,"Celta Vigo","team",25,38,701,18.45,540,43,25,50,34,9,70,1.84,52,2,3,11,1,1
"7","La Liga","M","ESP",2022,"Cádiz","team",33,38,687,18.08,459,86,38,47,41,16,55,1.45,32,7,3,5,6,2
"8","La Liga","M","ESP",2022,"Elche","team",28,38,592,15.58,426,60,42,23,28,13,68,1.79,50,4,7,3,2,2
"9","La Liga","M","ESP",2022,"Espanyol","team",34,38,721,18.97,521,59,47,40,41,13,67,1.76,45,5,4,8,3,2
"10","La Liga","M","ESP",2022,"Getafe","team",31,38,700,18.42,464,85,32,40,61,18,53,1.39,38,7,3,2,1,2
"11","La Liga","M","ESP",2022,"Granada","team",32,38,702,18.47,488,67,43,49,40,15,68,1.79,45,8,3,6,2,4
"12","La Liga","M","ESP",2022,"Levante","team",31,38,720,18.95,486,80,48,65,28,13,79,2.08,55,3,5,9,6,1
"13","La Liga","M","ESP",2022,"Mallorca","team",33,38,761,20.03,495,90,47,55,55,19,59,1.55,32,6,4,7,8,2
"14","La Liga","M","ESP",2022,"Osasuna","team",29,38,721,18.97,502,85,28,49,44,13,62,1.63,42,7,0,7,4,2
"15","La Liga","M","ESP",2022,"Rayo Vallecano","team",28,38,862,22.68,603,98,37,54,52,18,63,1.66,36,5,7,8,5,2
"16","La Liga","M","ESP",2022,"Real Madrid","team",31,38,1195,31.45,922,68,83,56,49,17,139,3.66,102,2,13,11,8,3
"17","La Liga","M","ESP",2022,"Real Sociedad","team",32,38,773,20.34,530,70,56,57,46,14,69,1.82,38,3,6,12,10,0
"18","La Liga","M","ESP",2022,"Sevilla","team",33,38,784,20.63,578,78,35,35,43,15,95,2.5,63,9,8,7,5,3
"19","La Liga","M","ESP",2022,"Valencia","team",34,38,718,18.89,479,93,45,26,64,11,83,2.18,53,8,7,3,11,1
"20","La Liga","M","ESP",2022,"Villarreal","team",29,38,800,21.05,593,73,57,38,28,11,112,2.95,73,12,11,10,5,1
