"","Competition_Name","Gender","Country","Season_End_Year","Squad","Team_or_Opponent","Num_Players","Mins_Per_90","Cmp_Total","Att_Total","Cmp_percent_Total","TotDist_Total","PrgDist_Total","Cmp_Short","Att_Short","Cmp_percent_Short","Cmp_Medium","Att_Medium","Cmp_percent_Medium","Cmp_Long","Att_Long","Cmp_percent_Long","Ast","xAG","xA_Expected","A_minus_xAG_Expected","KP","Final_Third","PPA","CrsPA","PrgP"
"22","La Liga","M","ESP",2023,"vs Athletic Club","opponent",26,38,13537,17573,77,245545,92725,6176,7079,87.2,5335,6384,83.6,1644,3105,52.9,28,26.9,27.7,1.1,286,913,253,70,1212
"23","La Liga","M","ESP",2023,"vs Atlético Madrid","opponent",27,38,16384,20021,81.8,301152,100162,6990,7841,89.1,7186,8112,88.6,1852,3099,59.8,22,31.3,31.5,-9.3,331,1304,267,93,1634
"24","La Liga","M","ESP",2023,"vs Barcelona","opponent",29,38,10316,13758,75,190049,78390,4734,5458,86.7,3903,4724,82.6,1358,2606,52.1,10,23,21.6,-13,244,747,198,61,955
"25","La Liga","M","ESP",2023,"vs Betis","opponent",30,38,14220,17964,79.2,252008,95359,6584,7458,88.3,5828,6839,85.2,1478,2672,55.3,28,37,35.7,-9,326,1182,302,86,1571
"26","La Liga","M","ESP",2023,"vs Celta Vigo","opponent",26,38,14618,18416,79.4,264587,95274,6485,7336,88.4,6036,7073,85.3,1704,2985,57.1,35,30.5,29.2,4.5,279,1132,218,89,1297
"27","La Liga","M","ESP",2023,"vs Cádiz","opponent",38,38,15630,19569,79.9,277547,103054,7208,8097,89,6172,7272,84.9,1772,3099,57.2,32,38.4,40,-6.4,393,1364,339,96,1739
"28","La Liga","M","ESP",2023,"vs Elche","opponent",32,38,15598,19238,81.1,278092,100384,7007,7840,89.4,6508,7501,86.8,1682,2859,58.8,44,48.7,43.7,-4.7,416,1340,325,92,1615
"29","La Liga","M","ESP",2023,"vs Espanyol","opponent",33,38,15807,19603,80.6,278055,101521,7448,8318,89.5,6120,7171,85.3,1742,3004,58,47,44.6,40.9,2.4,426,1297,324,92,1634
"30","La Liga","M","ESP",2023,"vs Getafe","opponent",25,38,17070,21494,79.4,307288,104475,7505,8488,88.4,7300,8503,85.9,1833,3374,54.3,29,31,32.4,-2,360,1296,254,86,1519
"31","La Liga","M","ESP",2023,"vs Girona","opponent",29,38,14391,17921,80.3,258164,90467,6386,7118,89.7,6021,6982,86.2,1573,2822,55.7,39,38.6,38.5,0.4,377,1220,296,95,1439
"32","La Liga","M","ESP",2023,"vs Mallorca","opponent",31,38,16934,20763,81.6,294260,97924,7875,8733,90.2,7059,8172,86.4,1588,2872,55.3,31,31.8,35.9,-0.8,378,1539,332,115,1706
"33","La Liga","M","ESP",2023,"vs Osasuna","opponent",26,38,14139,18199,77.7,256353,94725,6318,7230,87.4,5956,7018,84.9,1573,2988,52.6,29,34.8,34.3,-5.8,326,1049,277,77,1371
"34","La Liga","M","ESP",2023,"vs Rayo Vallecano","opponent",28,38,12926,17027,75.9,231723,93838,6099,6948,87.8,4988,6083,82,1497,2986,50.1,34,36.8,30.9,-2.8,330,963,252,70,1231
"35","La Liga","M","ESP",2023,"vs Real Madrid","opponent",26,38,13004,15986,81.3,225607,85520,6326,6960,90.9,4976,5716,87.1,1292,2373,54.4,21,27.8,26.3,-6.8,317,1013,248,63,1189
"36","La Liga","M","ESP",2023,"vs Real Sociedad","opponent",30,38,12130,16093,75.4,216970,81534,5571,6377,87.4,4694,5669,82.8,1456,3002,48.5,26,24.8,26.4,1.2,300,873,222,78,1025
"37","La Liga","M","ESP",2023,"vs Sevilla","opponent",35,38,13660,17319,78.9,246669,89019,6107,6903,88.5,5592,6545,85.4,1572,2903,54.2,40,42,34.1,-2,397,1136,274,101,1275
"38","La Liga","M","ESP",2023,"vs Valencia","opponent",28,38,12580,16357,76.9,229406,88530,5588,6399,87.3,5099,6072,84,1540,2918,52.8,34,32.3,32.3,1.7,289,986,232,51,1225
"39","La Liga","M","ESP",2023,"vs Valladolid","opponent",36,38,13635,17448,78.1,239805,96442,6612,7546,87.6,5113,6088,84,1511,2794,54.1,46,46.7,43,-0.7,455,1184,346,94,1486
"40","La Liga","M","ESP",2023,"vs Villarreal","opponent",32,38,12047,15331,78.6,217557,84062,5567,6240,89.2,4683,5572,84,1447,2598,55.7,29,35.7,30.5,-6.7,343,969,278,84,1242
