"","Competition_Name","Gender","Country","Season_End_Year","Squad","Team_or_Opponent","Num_Players","Mins_Per_90","Cmp_Total","Att_Total","Cmp_percent_Total","TotDist_Total","PrgDist_Total","Cmp_Short","Att_Short","Cmp_percent_Short","Cmp_Medium","Att_Medium","Cmp_percent_Medium","Cmp_Long","Att_Long","Cmp_percent_Long","Ast","xAG","xA_Expected","A_minus_xAG_Expected","KP","Final_Third","PPA","CrsPA","PrgP"
"1","La Liga","M","ESP",2023,"Almería","team",29,38,12151,15855,76.6,225475,89276,5232,6003,87.2,5084,6022,84.4,1512,2911,51.9,33,32.5,28.1,0.5,316,846,218,81,1090
"2","La Liga","M","ESP",2023,"Athletic Club","team",26,38,14440,18630,77.5,261620,96037,6451,7431,86.8,6030,7262,83,1634,2878,56.8,33,38.9,35.7,-5.9,413,1385,341,107,1816
"3","La Liga","M","ESP",2023,"Atlético Madrid","team",27,38,16814,20488,82.1,277627,101839,8616,9432,91.3,6028,7038,85.6,1549,2765,56,51,48,40,3,418,1200,335,68,1571
"4","La Liga","M","ESP",2023,"Barcelona","team",29,38,21298,24733,86.1,364375,115139,10267,11175,91.9,8599,9543,90.1,1990,2923,68.1,56,60.1,66.6,-4.1,449,1859,482,104,2181
"5","La Liga","M","ESP",2023,"Betis","team",30,38,14678,18249,80.4,245275,92460,7288,8070,90.3,5334,6273,85,1432,2667,53.7,26,34.6,31.7,-8.6,310,988,270,54,1272
"6","La Liga","M","ESP",2023,"Celta Vigo","team",26,38,14700,18499,79.5,267004,91075,6259,7148,87.6,6536,7569,86.4,1565,2844,55,31,30.8,31.6,0.2,353,1143,274,77,1403
"7","La Liga","M","ESP",2023,"Cádiz","team",38,38,9940,13952,71.2,190101,78677,4341,5147,84.3,3874,4864,79.6,1452,3117,46.6,20,27.7,24.7,-7.7,269,830,192,93,969
"8","La Liga","M","ESP",2023,"Elche","team",32,38,12051,15758,76.5,218542,87460,5427,6202,87.5,4762,5677,83.9,1477,2793,52.9,21,27.1,26.2,-6.1,313,941,211,82,1197
"9","La Liga","M","ESP",2023,"Espanyol","team",33,38,10827,14698,73.7,208293,86401,4483,5312,84.4,4607,5640,81.7,1483,2971,49.9,31,35,30.2,-4,319,906,233,83,1146
"10","La Liga","M","ESP",2023,"Getafe","team",25,38,9690,14126,68.6,189556,83925,4104,5044,81.4,3760,4936,76.2,1502,3175,47.3,21,22.5,24,-1.5,248,844,214,94,1003
"11","La Liga","M","ESP",2023,"Girona","team",29,38,15146,18604,81.4,264810,95707,7006,7806,89.8,6295,7222,87.2,1449,2560,56.6,41,37.5,35.4,3.5,366,1086,265,91,1378
"12","La Liga","M","ESP",2023,"Mallorca","team",31,38,10451,14261,73.3,199896,84037,4575,5313,86.1,4184,5157,81.1,1424,2932,48.6,27,26.5,23.1,0.5,252,815,182,69,948
"13","La Liga","M","ESP",2023,"Osasuna","team",26,38,12725,16835,75.6,242236,95597,5565,6377,87.3,5130,6255,82,1759,3323,52.9,30,28.4,31.7,1.6,322,1140,271,114,1356
"14","La Liga","M","ESP",2023,"Rayo Vallecano","team",28,38,13497,17666,76.4,251321,91899,5811,6629,87.7,5654,6716,84.2,1717,3329,51.6,29,30,29.7,-1,386,1247,269,102,1390
"15","La Liga","M","ESP",2023,"Real Madrid","team",26,38,22082,25012,88.3,357586,113878,11462,12245,93.6,8069,8810,91.6,1812,2595,69.8,56,56.8,56.6,-0.8,522,1880,384,50,2017
"16","La Liga","M","ESP",2023,"Real Sociedad","team",30,38,15324,19134,80.1,269422,96159,6955,7910,87.9,6451,7502,86,1505,2659,56.6,36,39.7,36.4,-3.7,346,1145,290,65,1483
"17","La Liga","M","ESP",2023,"Sevilla","team",35,38,15379,19193,80.1,273953,95369,7106,7918,89.7,6324,7354,86,1599,2958,54.1,31,32,34,-1,341,1230,302,95,1513
"18","La Liga","M","ESP",2023,"Valencia","team",28,38,13592,17492,77.7,240816,86465,6320,7184,88,5505,6588,83.6,1420,2753,51.6,23,32.5,35.8,-9.5,355,1155,302,111,1472
"19","La Liga","M","ESP",2023,"Valladolid","team",36,38,12627,16425,76.9,238766,87767,5273,6049,87.2,5251,6199,84.7,1734,3141,55.2,24,28.4,24.4,-4.4,324,969,223,92,1244
"20","La Liga","M","ESP",2023,"Villarreal","team",32,38,16634,19862,83.7,295552,101196,7381,8147,90.6,7101,7924,89.6,1743,2737,63.7,33,43.2,38.3,-10.2,374,1304,349,52,1622
"21","La Liga","M","ESP",2023,"vs Almería","opponent",29,38,15420,19392,79.5,271389,96958,7336,8173,89.8,6009,7055,85.2,1644,2972,55.3,49,49.5,49.2,-0.5,423,1406,370,91,1706
