"","Competition_Name","Gender","Country","Season_End_Year","Squad","Team_or_Opponent","Num_Players","Mins_Per_90","SCA_SCA","SCA90_SCA","PassLive_SCA_Types","PassDead_SCA_Types","TO_SCA_Types","Sh_SCA_Types","Fld_SCA_Types","Def_SCA_Types","GCA_GCA","GCA90_GCA","PassLive_GCA_Types","PassDead_GCA_Types","TO_GCA_Types","Sh_GCA_Types","Fld_GCA_Types","Def_GCA_Types"
"1","La Liga","M","ESP",2023,"Almería","team",29,38,758,19.95,533,73,51,51,33,17,76,2,51,7,8,7,3,0
"2","La Liga","M","ESP",2023,"Athletic Club","team",26,38,945,24.87,678,96,56,59,40,16,78,2.05,54,3,6,7,7,1
"3","La Liga","M","ESP",2023,"Atlético Madrid","team",27,38,958,25.21,756,59,47,51,32,13,116,3.05,82,7,9,13,3,2
"4","La Liga","M","ESP",2023,"Barcelona","team",29,38,1050,27.63,824,65,62,58,30,11,125,3.29,106,2,6,11,0,0
"5","La Liga","M","ESP",2023,"Betis","team",30,38,741,19.5,547,55,53,44,35,7,69,1.82,47,3,5,9,5,0
"6","La Liga","M","ESP",2023,"Celta Vigo","team",26,38,819,21.55,623,62,45,41,37,11,70,1.84,55,3,6,3,1,2
"7","La Liga","M","ESP",2023,"Cádiz","team",38,38,663,17.45,461,69,36,42,38,17,49,1.29,32,2,8,5,2,0
"8","La Liga","M","ESP",2023,"Elche","team",32,38,726,19.11,495,103,47,37,33,11,54,1.42,36,7,0,4,5,2
"9","La Liga","M","ESP",2023,"Espanyol","team",33,38,735,19.34,506,79,43,53,41,13,84,2.21,58,2,5,13,3,3
"10","La Liga","M","ESP",2023,"Getafe","team",25,38,619,16.29,414,84,25,35,54,7,51,1.34,38,4,2,2,4,1
"11","La Liga","M","ESP",2023,"Girona","team",29,38,821,21.61,597,86,41,45,43,9,102,2.68,70,10,1,5,13,3
"12","La Liga","M","ESP",2023,"Mallorca","team",31,38,563,14.82,373,76,33,30,42,9,63,1.66,37,11,4,4,5,2
"13","La Liga","M","ESP",2023,"Osasuna","team",26,38,779,20.5,564,77,53,41,30,14,69,1.82,53,7,0,5,4,0
"14","La Liga","M","ESP",2023,"Rayo Vallecano","team",28,38,881,23.18,651,77,43,40,46,24,69,1.82,50,5,6,3,4,1
"15","La Liga","M","ESP",2023,"Real Madrid","team",26,38,1194,31.42,894,85,88,52,67,8,134,3.53,95,5,15,8,10,1
"16","La Liga","M","ESP",2023,"Real Sociedad","team",30,38,800,21.05,594,71,41,39,38,17,82,2.16,64,3,5,4,3,3
"17","La Liga","M","ESP",2023,"Sevilla","team",35,38,837,22.03,640,74,26,41,39,17,82,2.16,56,8,7,6,5,0
"18","La Liga","M","ESP",2023,"Valencia","team",28,38,859,22.61,607,80,59,46,51,16,62,1.63,40,6,2,7,6,1
"19","La Liga","M","ESP",2023,"Valladolid","team",36,38,792,20.84,581,77,39,36,46,13,59,1.55,40,6,4,4,5,0
"20","La Liga","M","ESP",2023,"Villarreal","team",32,38,884,23.26,665,45,73,53,40,8,89,2.34,59,2,13,11,4,0
"21","La Liga","M","ESP",2023,"vs Almería","opponent",29,38,956,25.16,739,78,44,39,44,12,110,2.89,84,7,7,5,6,1
"22","La Liga","M","ESP",2023,"vs Athletic Club","opponent",26,38,675,17.76,470,65,42,42,41,15,69,1.82,45,3,7,5,6,3
"23","La Liga","M","ESP",2023,"vs Atlético Madrid","opponent",27,38,781,20.55,585,60,49,41,38,8,58,1.53,43,4,1,7,3,0
"24","La Liga","M","ESP",2023,"vs Barcelona","opponent",29,38,560,14.74,410,51,26,37,20,16,25,0.66,17,1,1,3,3,0
"25","La Liga","M","ESP",2023,"vs Betis","opponent",30,38,807,21.24,559,92,54,44,47,11,69,1.82,51,4,4,6,3,1
"26","La Liga","M","ESP",2023,"vs Celta Vigo","opponent",26,38,669,17.61,462,74,43,36,43,11,89,2.34,59,8,8,9,5,0
"27","La Liga","M","ESP",2023,"vs Cádiz","opponent",38,38,973,25.61,687,86,56,61,62,21,92,2.42,63,6,6,9,8,0
"28","La Liga","M","ESP",2023,"vs Elche","opponent",32,38,984,25.89,712,85,58,69,46,14,115,3.03,85,4,9,10,6,1
"29","La Liga","M","ESP",2023,"vs Espanyol","opponent",33,38,987,25.97,769,70,53,43,41,11,119,3.13,92,4,5,8,8,2
"30","La Liga","M","ESP",2023,"vs Getafe","opponent",25,38,849,22.34,653,62,47,42,39,6,68,1.79,47,7,5,7,2,0
"31","La Liga","M","ESP",2023,"vs Girona","opponent",29,38,870,22.89,651,68,52,40,38,21,94,2.47,69,5,8,3,7,2
"32","La Liga","M","ESP",2023,"vs Mallorca","opponent",31,38,907,23.87,689,82,44,40,43,9,75,1.97,51,4,7,7,5,1
"33","La Liga","M","ESP",2023,"vs Osasuna","opponent",26,38,804,21.16,601,76,49,34,37,7,71,1.87,57,3,3,5,3,0
"34","La Liga","M","ESP",2023,"vs Rayo Vallecano","opponent",28,38,759,19.97,537,77,46,47,39,13,78,2.05,48,11,4,9,3,3
"35","La Liga","M","ESP",2023,"vs Real Madrid","opponent",26,38,720,18.95,516,69,49,44,27,15,50,1.32,32,3,2,10,3,0
"36","La Liga","M","ESP",2023,"vs Real Sociedad","opponent",30,38,705,18.55,515,60,45,35,38,12,55,1.45,41,2,5,3,3,1
"37","La Liga","M","ESP",2023,"vs Sevilla","opponent",35,38,893,23.5,655,85,42,52,46,13,87,2.29,68,3,5,8,2,1
"38","La Liga","M","ESP",2023,"vs Valencia","opponent",28,38,683,17.97,458,88,45,43,41,8,78,2.05,53,8,6,5,4,2
"39","La Liga","M","ESP",2023,"vs Valladolid","opponent",36,38,1034,27.21,756,101,68,56,44,9,110,2.89,76,8,11,7,7,1
"40","La Liga","M","ESP",2023,"vs Villarreal","opponent",32,38,808,21.26,579,64,49,49,41,26,71,1.87,42,8,8,5,5,3
