"","Competition_Name","Gender","Country","Season_End_Year","Squad","Team_or_Opponent","Num_Players","MP_Playing_Time","Starts_Playing_Time","Min_Playing_Time","Mins_Per_90_Playing_Time","GA","GA90","SoTA","Saves","Save_percent","W","D","L","CS","CS_percent","PKatt_Penalty_Kicks","PKA_Penalty_Kicks","PKsv_Penalty_Kicks","PKm_Penalty_Kicks","Save_percent_Penalty_Kicks"
"30","La Liga","M","ESP",2021,"vs Getafe","opponent",2,38,38,3420,38,28,0.74,102,73,75.5,18,11,9,21,55.3,5,3,2,0,40
"31","La Liga","M","ESP",2021,"vs Granada","opponent",3,38,38,3420,38,47,1.24,125,77,64.8,18,7,13,8,21.1,5,3,1,1,25
"32","La Liga","M","ESP",2021,"vs Huesca","opponent",2,38,38,3420,38,34,0.89,133,100,76.7,18,13,7,16,42.1,4,3,0,1,0
"33","La Liga","M","ESP",2021,"vs Levante","opponent",3,38,38,3420,38,46,1.21,131,83,67.2,15,14,9,11,28.9,6,3,3,0,50
"34","La Liga","M","ESP",2021,"vs Osasuna","opponent",3,38,38,3420,38,37,0.97,120,83,73.3,16,11,11,15,39.5,6,5,1,0,16.7
"35","La Liga","M","ESP",2021,"vs Real Madrid","opponent",1,38,38,3420,38,67,1.76,170,106,62.4,4,9,25,5,13.2,3,3,0,0,0
"36","La Liga","M","ESP",2021,"vs Real Sociedad","opponent",1,38,38,3420,38,59,1.55,150,90,66.7,10,11,17,6,15.8,12,9,2,1,18.2
"37","La Liga","M","ESP",2021,"vs Sevilla","opponent",2,38,38,3420,38,53,1.39,142,89,66.9,9,5,24,7,18.4,7,6,1,0,14.3
"38","La Liga","M","ESP",2021,"vs Valencia","opponent",2,38,38,3418,38,50,1.32,138,89,69.6,15,13,10,9,23.7,10,8,1,1,11.1
"39","La Liga","M","ESP",2021,"vs Valladolid","opponent",2,38,38,3420,38,34,0.89,118,83,77.1,17,16,5,14,36.8,8,7,1,0,12.5
"40","La Liga","M","ESP",2021,"vs Villarreal","opponent",2,38,38,3420,38,60,1.58,159,101,69.8,10,13,15,7,18.4,13,12,1,0,7.7
