"","Competition_Name","Gender","Country","Season_End_Year","Squad","Team_or_Opponent","Num_Players","MP_Playing_Time","Starts_Playing_Time","Min_Playing_Time","Mins_Per_90_Playing_Time","GA","GA90","SoTA","Saves","Save_percent","W","D","L","CS","CS_percent","PKatt_Penalty_Kicks","PKA_Penalty_Kicks","PKsv_Penalty_Kicks","PKm_Penalty_Kicks","Save_percent_Penalty_Kicks"
"1","La Liga","M","ESP",2021,"Alavés","team",2,38,38,3420,38,57,1.5,142,85,62,9,11,18,9,23.7,3,3,0,0,0
"2","La Liga","M","ESP",2021,"Athletic Club","team",2,38,38,3420,38,42,1.11,111,69,66.7,11,13,14,9,23.7,6,5,1,0,16.7
"3","La Liga","M","ESP",2021,"Atlético Madrid","team",1,38,38,3420,38,25,0.66,122,98,80.3,26,8,4,18,47.4,4,1,2,1,66.7
"4","La Liga","M","ESP",2021,"Barcelona","team",2,38,38,3420,38,38,1,130,94,74.6,24,7,7,14,36.8,5,5,0,0,0
"5","La Liga","M","ESP",2021,"Betis","team",2,38,38,3420,38,50,1.32,136,87,69.1,17,10,11,13,34.2,10,8,2,0,20
"6","La Liga","M","ESP",2021,"Celta Vigo","team",2,38,38,3418,38,57,1.5,138,81,63.8,14,11,13,9,23.7,8,7,1,0,12.5
"7","La Liga","M","ESP",2021,"Cádiz","team",3,38,38,3420,38,58,1.53,150,91,67.3,11,11,16,10,26.3,10,9,1,0,10
"8","La Liga","M","ESP",2021,"Eibar","team",2,38,38,3420,38,52,1.37,135,82,63.7,6,12,20,9,23.7,5,3,1,1,25
"9","La Liga","M","ESP",2021,"Elche","team",2,38,38,3420,38,55,1.45,163,106,69.9,8,12,18,7,18.4,10,6,3,1,33.3
"10","La Liga","M","ESP",2021,"Getafe","team",2,38,38,3420,38,43,1.13,111,70,67.6,9,11,18,14,36.8,8,7,1,0,12.5
"11","La Liga","M","ESP",2021,"Granada","team",3,38,38,3420,38,65,1.71,170,101,65.3,13,7,18,9,23.7,12,6,5,1,45.5
"12","La Liga","M","ESP",2021,"Huesca","team",2,38,38,3420,38,53,1.39,149,98,67.8,7,13,18,9,23.7,5,5,0,0,0
"13","La Liga","M","ESP",2021,"Levante","team",3,38,38,3420,38,57,1.5,163,108,66.9,9,14,15,4,10.5,4,3,0,1,0
"14","La Liga","M","ESP",2021,"Osasuna","team",3,38,38,3415,38,48,1.27,142,94,69.7,11,11,16,11,28.9,8,5,2,1,28.6
"15","La Liga","M","ESP",2021,"Real Madrid","team",1,38,38,3420,38,28,0.74,116,88,81.9,25,9,4,17,44.7,8,7,1,0,12.5
"16","La Liga","M","ESP",2021,"Real Sociedad","team",1,38,38,3420,38,38,1,105,67,66.7,17,11,10,14,36.8,5,3,1,1,25
"17","La Liga","M","ESP",2021,"Sevilla","team",2,38,38,3420,38,33,0.87,120,87,75.8,24,5,9,17,44.7,6,4,2,0,33.3
"18","La Liga","M","ESP",2021,"Valencia","team",2,38,38,3420,38,53,1.39,175,121,72.6,10,13,15,7,18.4,8,5,3,0,37.5
"19","La Liga","M","ESP",2021,"Valladolid","team",2,38,38,3420,38,57,1.5,161,104,68.3,5,16,17,3,7.9,7,6,0,1,0
"20","La Liga","M","ESP",2021,"Villarreal","team",2,38,38,3420,38,44,1.16,126,83,70.6,15,13,10,10,26.3,9,7,1,1,12.5
"21","La Liga","M","ESP",2021,"vs Alavés","opponent",2,38,38,3415,38,36,0.95,102,65,69.6,18,11,9,13,34.2,8,5,2,1,28.6
"22","La Liga","M","ESP",2021,"vs Athletic Club","opponent",2,38,38,3420,38,46,1.21,133,89,68.4,14,13,11,12,31.6,5,4,1,0,20
"23","La Liga","M","ESP",2021,"vs Atlético Madrid","opponent",1,38,38,3420,38,67,1.76,184,118,66.3,4,8,26,7,18.4,7,5,1,1,16.7
"24","La Liga","M","ESP",2021,"vs Barcelona","opponent",2,38,38,3420,38,85,2.24,238,155,66,7,7,24,3,7.9,8,4,3,1,42.9
"25","La Liga","M","ESP",2021,"vs Betis","opponent",2,38,38,3420,38,50,1.32,156,103,73.1,11,10,17,9,23.7,11,8,3,0,27.3
"26","La Liga","M","ESP",2021,"vs Celta Vigo","opponent",2,38,38,3420,38,55,1.45,140,85,65.7,13,11,14,10,26.3,7,7,0,0,0
"27","La Liga","M","ESP",2021,"vs Cádiz","opponent",3,38,38,3420,38,36,0.95,101,68,68.3,16,11,11,13,34.2,4,4,0,0,0
"28","La Liga","M","ESP",2021,"vs Eibar","opponent",2,38,38,3420,38,29,0.76,135,102,81.5,20,12,6,14,36.8,9,4,4,1,50
"29","La Liga","M","ESP",2021,"vs Elche","opponent",2,38,38,3420,38,34,0.89,88,55,63.6,18,12,8,13,34.2,3,2,0,1,0
