id,Team_or_Opponent,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Challenges,Att_Challenges,Tkl_percent_Challenges,Lost_Challenges,Blocks_Blocks,Sh_Blocks,Pass_Blocks,Int,Tkl_plus_Int,Clr,Err,team_id,season_id
22,opponent,583,364,249,236,98,314,613,51.2,299,357,103,254,280,863,676,15,1,4
23,opponent,715,428,371,284,60,349,687,50.8,338,411,119,292,370,1085,843,27,6,4
24,opponent,530,318,257,182,91,227,524,43.3,297,407,104,303,298,828,735,17,7,4
25,opponent,643,392,333,227,83,338,722,46.8,384,450,159,291,318,961,770,10,10,4
26,opponent,756,464,337,343,76,329,715,46.0,386,484,144,340,314,1070,693,13,12,4
27,opponent,627,382,309,254,64,291,586,49.7,295,444,125,319,335,962,721,8,19,4
28,opponent,606,370,281,253,72,263,493,53.3,230,341,89,252,243,849,795,7,24,4
29,opponent,540,348,267,228,45,260,499,52.1,239,382,113,269,261,801,855,17,34,4
30,opponent,673,423,315,235,123,297,650,45.7,353,374,104,270,301,974,630,10,35,4
31,opponent,601,344,270,262,69,296,599,49.4,303,390,106,284,290,891,729,11,100,4
32,opponent,673,415,301,301,71,308,624,49.4,316,426,99,327,335,1008,656,7,104,4
33,opponent,532,318,237,231,64,219,470,46.6,251,375,108,267,295,827,814,10,54,4
34,opponent,530,339,286,187,57,247,484,51.0,237,411,101,310,291,821,903,9,67,4
35,opponent,679,408,314,284,81,306,589,52.0,283,388,119,269,285,964,759,17,70,4
36,opponent,705,389,393,221,91,393,794,49.5,401,402,146,256,296,1001,689,16,71,4
37,opponent,635,368,305,268,62,284,605,46.9,321,402,112,290,278,913,803,9,72,4
38,opponent,558,347,247,240,71,278,570,48.8,292,367,88,279,236,794,895,10,80,4
39,opponent,612,379,293,231,88,294,570,51.6,276,406,87,319,269,881,646,10,91,4
40,opponent,685,436,331,258,96,329,680,48.4,351,422,126,296,346,1031,584,11,93,4
