id,Team_or_Opponent,Gls_Standard,Sh_Standard,SoT_Standard,SoT_percent_Standard,Sh_per_90_Standard,SoT_per_90_Standard,G_per_Sh_Standard,G_per_SoT_Standard,Dist_Standard,FK_Standard,PK_Standard,PKatt_Standard,xG_Expected,npxG_Expected,npxG_per_Sh_Expected,G_minus_xG_Expected,np:G_minus_xG_Expected,team_id,season_id
10,team,31,404,111,27.5,10.63,2.92,0.07,0.25,20.6,29,3,5,29.3,25.3,0.06,1.7,2.7,34,2
11,team,43,421,131,31.1,11.08,3.45,0.1,0.31,19.2,12,3,5,39.0,35.1,0.09,4.0,4.9,100,2
12,team,51,430,146,34.0,11.32,3.84,0.1,0.29,17.7,14,8,13,55.1,45.1,0.11,-4.1,-2.1,99,2
13,team,33,440,131,29.8,11.58,3.45,0.06,0.21,19.5,23,6,7,38.8,33.3,0.08,-5.8,-6.3,54,2
14,team,37,425,114,26.8,11.18,3.0,0.07,0.27,19.6,11,6,8,36.7,30.7,0.07,0.3,0.3,67,2
15,team,38,500,133,26.6,13.16,3.5,0.07,0.26,18.5,27,4,4,42.8,39.7,0.08,-4.8,-5.7,70,2
16,team,80,645,243,37.7,16.97,6.39,0.11,0.3,18.8,21,8,12,71.7,62.2,0.1,8.3,9.8,71,2
17,team,40,430,143,33.3,11.32,3.76,0.07,0.22,17.1,18,9,10,51.5,43.8,0.1,-11.5,-12.8,72,2
18,team,51,430,139,32.3,11.32,3.66,0.11,0.35,17.0,10,2,3,42.4,40.0,0.09,8.6,9.0,80,2
19,team,45,394,129,32.7,10.37,3.39,0.09,0.29,18.9,18,8,9,39.0,32.2,0.08,6.0,4.8,91,2
20,team,62,449,164,36.5,11.82,4.32,0.13,0.35,15.3,8,5,6,64.2,60.0,0.14,-2.2,-3.0,93,2
21,opponent,65,509,159,31.2,13.39,4.18,0.12,0.37,17.3,20,6,9,57.0,50.0,0.1,8.0,9.0,102,2
22,opponent,35,440,128,29.1,11.58,3.37,0.07,0.25,18.5,20,3,3,38.4,36.0,0.08,-3.4,-4.0,6,2
23,opponent,40,349,98,28.1,9.18,2.58,0.09,0.34,19.2,17,7,8,33.4,27.4,0.08,6.6,5.6,7,2
24,opponent,38,349,120,34.4,9.18,3.16,0.1,0.3,18.1,13,2,3,34.4,32.1,0.09,3.6,3.9,10,2
25,opponent,38,430,129,30.0,11.32,3.39,0.08,0.27,17.3,11,3,3,43.4,41.1,0.1,-5.4,-6.1,12,2
26,opponent,41,397,128,32.2,10.45,3.37,0.09,0.29,18.0,16,4,8,45.7,39.4,0.1,-4.7,-2.4,19,2
27,opponent,51,461,157,34.1,12.13,4.13,0.09,0.25,18.5,20,11,13,48.3,38.2,0.08,2.7,1.8,24,2
28,opponent,52,513,166,32.4,13.5,4.37,0.09,0.27,18.0,23,7,9,59.1,52.1,0.1,-7.1,-7.1,27,2
29,opponent,51,497,165,33.2,13.08,4.34,0.09,0.28,17.2,14,4,5,51.2,47.3,0.1,-0.2,-0.3,29,2
30,opponent,40,408,129,31.6,10.74,3.39,0.09,0.29,19.0,22,2,4,38.6,35.5,0.09,1.4,2.5,34,2
31,opponent,59,555,184,33.2,14.61,4.84,0.09,0.28,17.9,15,7,9,61.2,54.6,0.1,-2.2,-2.6,100,2
32,opponent,76,508,197,38.8,13.37,5.18,0.14,0.36,17.8,15,5,6,55.0,50.2,0.1,21.0,20.8,99,2
33,opponent,59,460,144,31.3,12.11,3.79,0.12,0.37,17.8,14,6,8,49.3,43.0,0.1,9.7,10.0,54,2
34,opponent,49,437,144,33.0,11.5,3.79,0.1,0.31,18.9,8,4,7,46.3,40.8,0.1,2.7,4.2,67,2
35,opponent,49,405,154,38.0,10.66,4.05,0.1,0.27,18.1,17,7,9,48.4,41.5,0.1,0.6,0.5,70,2
36,opponent,31,428,124,29.0,11.26,3.26,0.07,0.23,18.7,14,3,5,43.9,39.8,0.09,-12.9,-11.8,71,2
37,opponent,37,413,121,29.3,10.87,3.18,0.08,0.26,18.7,15,5,6,38.7,34.0,0.08,-1.7,-2.0,72,2
38,opponent,30,420,118,28.1,11.05,3.11,0.07,0.24,18.7,15,2,4,36.9,33.8,0.08,-6.9,-5.8,80,2
39,opponent,50,437,155,35.5,11.5,4.08,0.1,0.28,18.1,19,7,8,47.7,41.6,0.1,2.3,1.4,91,2
40,opponent,36,410,123,30.0,10.79,3.24,0.08,0.26,18.6,13,4,5,44.8,41.1,0.1,-8.8,-9.1,93,2
1,team,49,439,155,35.3,11.55,4.08,0.11,0.3,18.1,21,2,3,45.5,43.2,0.1,3.5,3.8,1,3
2,team,46,541,157,29.0,14.24,4.13,0.08,0.26,17.1,13,5,7,54.2,48.7,0.09,-8.2,-7.7,6,3
3,team,68,538,195,36.2,14.16,5.13,0.12,0.34,17.0,9,1,1,61.9,61.1,0.12,6.1,5.9,7,3
4,team,69,570,187,32.8,15.0,4.92,0.12,0.37,15.8,20,0,2,75.5,74.0,0.13,-6.5,-5.0,10,3
5,team,43,411,138,33.6,10.82,3.63,0.09,0.25,18.1,21,8,9,51.3,44.3,0.11,-8.3,-9.3,12,3
6,team,41,470,160,34.0,12.37,4.21,0.08,0.24,19.0,19,2,3,42.6,40.3,0.09,-1.6,-1.3,19,3
7,team,29,390,108,27.7,10.26,2.84,0.06,0.23,18.2,12,4,5,41.5,37.7,0.1,-12.5,-12.7,24,3
8,team,30,400,124,31.0,10.53,3.26,0.07,0.21,16.9,10,4,5,37.5,33.6,0.09,-7.5,-7.6,27,3
9,team,51,417,151,36.2,10.97,3.97,0.11,0.3,17.3,13,5,5,48.3,44.4,0.11,2.7,1.6,29,3
10,team,34,365,116,31.8,9.61,3.05,0.08,0.25,18.0,19,5,8,36.7,30.4,0.09,-2.7,-1.4,34,3
11,team,55,446,160,35.9,11.74,4.21,0.11,0.29,17.2,6,8,9,50.6,43.8,0.1,4.4,3.2,35,3
12,team,36,324,107,33.0,8.53,2.82,0.1,0.3,17.4,8,4,5,35.2,31.1,0.1,0.8,0.9,54,3
13,team,36,441,133,30.2,11.61,3.5,0.07,0.24,18.7,7,4,5,39.8,35.9,0.08,-3.8,-3.9,67,3
14,team,41,510,146,28.6,13.42,3.84,0.07,0.25,20.6,24,4,8,43.9,37.8,0.08,-2.9,-0.8,70,3
15,team,73,634,206,32.5,16.68,5.42,0.1,0.31,18.6,32,9,12,75.5,66.1,0.11,-2.5,-2.1,71,3
16,team,47,465,173,37.2,12.24,4.55,0.1,0.26,17.4,15,2,4,52.9,49.7,0.11,-5.9,-4.7,72,3
17,team,47,463,141,30.5,12.18,3.71,0.09,0.3,18.1,17,4,5,46.3,42.4,0.09,0.7,0.6,80,3
18,team,40,480,140,29.2,12.63,3.68,0.07,0.25,17.5,18,5,8,49.3,43.0,0.09,-9.3,-8.0,91,3
19,team,32,443,137,30.9,11.66,3.61,0.07,0.21,19.6,19,3,4,38.5,35.4,0.08,-6.5,-6.4,92,3
20,team,57,499,188,37.7,13.13,4.95,0.11,0.28,18.0,22,4,7,61.6,56.1,0.12,-4.6,-3.1,93,3
21,opponent,64,537,198,36.9,14.13,5.21,0.11,0.3,17.4,14,4,6,62.5,57.8,0.11,1.5,2.2,1,3
22,opponent,40,387,120,31.0,10.18,3.16,0.1,0.31,18.0,16,3,3,36.9,34.5,0.09,3.1,2.5,6,3
23,opponent,33,433,124,28.6,11.39,3.26,0.07,0.23,18.6,18,4,5,41.1,37.2,0.09,-8.1,-8.2,7,3
