id,Competition_Name,Gender,Country,Team_or_Opponent,MP_Playing_Time,Starts_Playing_Time,Min_Playing_Time,Mins_Per_90_Playing_Time,GA,GA90,SoTA,Saves,Save_percent,W,D,L,CS,CS_percent,PKatt_Penalty_Kicks,PKA_Penalty_Kicks,PKsv_Penalty_Kicks,PKm_Penalty_Kicks,Save_percent_Penalty_Kicks,team_id,season_id
19,,,,team,38,38,3420,38,45,1.18,160,114,73.8,13,10,15,13,34.2,6,3,3,0,50.0,91,4
20,,,,team,38,38,3420,38,65,1.71,214,150,72.4,14,11,13,6,15.8,6,6,0,0,0.0,93,4
21,,,,opponent,38,38,3417,38,36,0.95,142,106,76.8,16,10,12,15,39.5,7,3,3,1,50.0,102,4
22,,,,opponent,38,38,3420,38,43,1.13,165,123,75.2,23,12,3,12,31.6,2,2,0,0,0.0,1,4
23,,,,opponent,38,38,3420,38,61,1.61,167,107,65.3,8,11,19,9,23.7,5,3,1,1,25.0,6,4
24,,,,opponent,38,38,3417,38,70,1.84,203,134,68.0,10,4,24,8,21.1,6,5,1,0,16.7,7,4
25,,,,opponent,38,38,3416,38,79,2.08,226,149,67.7,5,7,26,2,5.3,7,6,1,0,14.3,10,4
26,,,,opponent,38,38,3420,38,48,1.26,153,106,69.9,9,15,14,8,21.1,3,2,1,0,33.3,12,4
27,,,,opponent,38,38,3420,38,46,1.21,156,109,72.4,17,11,10,13,34.2,5,3,2,0,40.0,19,4
28,,,,opponent,38,38,3420,38,26,0.68,123,98,81.3,17,15,6,18,47.4,3,3,0,0,0.0,24,4
29,,,,opponent,38,38,3420,38,42,1.11,157,114,77.1,15,13,10,15,39.5,7,6,1,0,14.3,34,4
30,,,,opponent,38,38,3420,38,85,2.24,186,101,58.1,7,6,25,7,18.4,8,7,1,0,12.5,35,4
31,,,,opponent,38,38,3420,38,38,1.0,129,93,74.4,25,9,4,16,42.1,8,5,1,2,16.7,100,4
32,,,,opponent,38,38,3420,38,33,0.87,125,90,76.0,18,10,10,17,44.7,5,3,2,0,40.0,104,4
33,,,,opponent,38,38,3420,38,33,0.87,132,99,75.8,14,16,8,15,39.5,3,1,0,2,0.0,54,4
34,,,,opponent,38,38,3420,38,45,1.18,129,83,68.2,17,9,12,10,26.3,5,4,1,0,20.0,67,4
35,,,,opponent,38,38,3420,38,29,0.76,166,137,86.1,16,14,8,19,50.0,6,6,0,0,0.0,70,4
36,,,,opponent,38,38,3420,38,87,2.29,246,159,65.4,1,8,29,2,5.3,5,2,2,1,50.0,71,4
37,,,,opponent,38,38,3420,38,51,1.34,151,103,68.9,10,12,16,10,26.3,4,4,0,0,0.0,72,4
38,,,,opponent,38,38,3420,38,48,1.26,162,116,71.6,17,11,10,10,26.3,2,2,0,0,0.0,80,4
39,,,,opponent,38,38,3420,38,40,1.05,131,92,75.6,15,10,13,13,34.2,9,8,0,1,0.0,91,4
40,,,,opponent,38,38,3420,38,65,1.71,169,104,64.5,13,11,14,4,10.5,7,5,1,1,16.7,93,4
