id,Competition_Name,Gender,Country,Team_or_Opponent,MP_Playing_Time,Starts_Playing_Time,Min_Playing_Time,Mins_Per_90_Playing_Time,GA,GA90,SoTA,Saves,Save_percent,W,D,L,CS,CS_percent,PKatt_Penalty_Kicks,PKA_Penalty_Kicks,PKsv_Penalty_Kicks,PKm_Penalty_Kicks,Save_percent_Penalty_Kicks,team_id,season_id
3,,,,team,38,38,3420,38,25,0.66,122,98,80.3,26,8,4,18,47.4,4,1,2,1,66.7,7,-2
4,,,,team,38,38,3420,38,38,1.0,130,94,74.6,24,7,7,14,36.8,5,5,0,0,0.0,10,1
4,,,,team,38,38,3420,38,38,1.0,130,94,74.6,24,7,7,14,36.8,5,5,0,0,0.0,10,-2
5,,,,team,38,38,3420,38,50,1.32,136,87,69.1,17,10,11,13,34.2,10,8,2,0,20.0,12,1
5,,,,team,38,38,3420,38,50,1.32,136,87,69.1,17,10,11,13,34.2,10,8,2,0,20.0,12,-2
6,,,,team,38,38,3418,38,57,1.5,138,81,63.8,14,11,13,9,23.7,8,7,1,0,12.5,19,1
6,,,,team,38,38,3418,38,57,1.5,138,81,63.8,14,11,13,9,23.7,8,7,1,0,12.5,19,-2
7,,,,team,38,38,3420,38,58,1.53,150,91,67.3,11,11,16,10,26.3,10,9,1,0,10.0,24,1
7,,,,team,38,38,3420,38,58,1.53,150,91,67.3,11,11,16,10,26.3,10,9,1,0,10.0,24,-2
8,,,,team,38,38,3420,38,52,1.37,135,82,63.7,6,12,20,9,23.7,5,3,1,1,25.0,101,1
8,,,,team,38,38,3420,38,52,1.37,135,82,63.7,6,12,20,9,23.7,5,3,1,1,25.0,101,-2
9,,,,team,38,38,3420,38,55,1.45,163,106,69.9,8,12,18,7,18.4,10,6,3,1,33.3,27,1
9,,,,team,38,38,3420,38,55,1.45,163,106,69.9,8,12,18,7,18.4,10,6,3,1,33.3,27,-2
10,,,,team,38,38,3420,38,43,1.13,111,70,67.6,9,11,18,14,36.8,8,7,1,0,12.5,34,1
10,,,,team,38,38,3420,38,43,1.13,111,70,67.6,9,11,18,14,36.8,8,7,1,0,12.5,34,-2
11,,,,team,38,38,3420,38,65,1.71,170,101,65.3,13,7,18,9,23.7,12,6,5,1,45.5,100,1
11,,,,team,38,38,3420,38,65,1.71,170,101,65.3,13,7,18,9,23.7,12,6,5,1,45.5,100,-2
12,,,,team,38,38,3420,38,53,1.39,149,98,67.8,7,13,18,9,23.7,5,5,0,0,0.0,103,1
12,,,,team,38,38,3420,38,53,1.39,149,98,67.8,7,13,18,9,23.7,5,5,0,0,0.0,103,-2
13,,,,team,38,38,3420,38,57,1.5,163,108,66.9,9,14,15,4,10.5,4,3,0,1,0.0,99,1
13,,,,team,38,38,3420,38,57,1.5,163,108,66.9,9,14,15,4,10.5,4,3,0,1,0.0,99,-2
14,,,,team,38,38,3415,38,48,1.27,142,94,69.7,11,11,16,11,28.9,8,5,2,1,28.6,67,1
14,,,,team,38,38,3415,38,48,1.27,142,94,69.7,11,11,16,11,28.9,8,5,2,1,28.6,67,-2
15,,,,team,38,38,3420,38,28,0.74,116,88,81.9,25,9,4,17,44.7,8,7,1,0,12.5,71,1
15,,,,team,38,38,3420,38,28,0.74,116,88,81.9,25,9,4,17,44.7,8,7,1,0,12.5,71,-2
16,,,,team,38,38,3420,38,38,1.0,105,67,66.7,17,11,10,14,36.8,5,3,1,1,25.0,72,1
16,,,,team,38,38,3420,38,38,1.0,105,67,66.7,17,11,10,14,36.8,5,3,1,1,25.0,72,-2
17,,,,team,38,38,3420,38,33,0.87,120,87,75.8,24,5,9,17,44.7,6,4,2,0,33.3,80,1
17,,,,team,38,38,3420,38,33,0.87,120,87,75.8,24,5,9,17,44.7,6,4,2,0,33.3,80,-2
18,,,,team,38,38,3420,38,53,1.39,175,121,72.6,10,13,15,7,18.4,8,5,3,0,37.5,91,1
18,,,,team,38,38,3420,38,53,1.39,175,121,72.6,10,13,15,7,18.4,8,5,3,0,37.5,91,-2
19,,,,team,38,38,3420,38,57,1.5,161,104,68.3,5,16,17,3,7.9,7,6,0,1,0.0,92,1
19,,,,team,38,38,3420,38,57,1.5,161,104,68.3,5,16,17,3,7.9,7,6,0,1,0.0,92,-2
20,,,,team,38,38,3420,38,44,1.16,126,83,70.6,15,13,10,10,26.3,9,7,1,1,12.5,93,1
20,,,,team,38,38,3420,38,44,1.16,126,83,70.6,15,13,10,10,26.3,9,7,1,1,12.5,93,-2
21,,,,opponent,38,38,3415,38,36,0.95,102,65,69.6,18,11,9,13,34.2,8,5,2,1,28.6,102,1
21,,,,opponent,38,38,3415,38,36,0.95,102,65,69.6,18,11,9,13,34.2,8,5,2,1,28.6,102,-2
22,,,,opponent,38,38,3420,38,46,1.21,133,89,68.4,14,13,11,12,31.6,5,4,1,0,20.0,6,1
22,,,,opponent,38,38,3420,38,46,1.21,133,89,68.4,14,13,11,12,31.6,5,4,1,0,20.0,6,-2
23,,,,opponent,38,38,3420,38,67,1.76,184,118,66.3,4,8,26,7,18.4,7,5,1,1,16.7,7,1
23,,,,opponent,38,38,3420,38,67,1.76,184,118,66.3,4,8,26,7,18.4,7,5,1,1,16.7,7,-2
24,,,,opponent,38,38,3420,38,85,2.24,238,155,66.0,7,7,24,3,7.9,8,4,3,1,42.9,10,1
24,,,,opponent,38,38,3420,38,85,2.24,238,155,66.0,7,7,24,3,7.9,8,4,3,1,42.9,10,-2
25,,,,opponent,38,38,3420,38,50,1.32,156,103,73.1,11,10,17,9,23.7,11,8,3,0,27.3,12,1
25,,,,opponent,38,38,3420,38,50,1.32,156,103,73.1,11,10,17,9,23.7,11,8,3,0,27.3,12,-2
26,,,,opponent,38,38,3420,38,55,1.45,140,85,65.7,13,11,14,10,26.3,7,7,0,0,0.0,19,1
26,,,,opponent,38,38,3420,38,55,1.45,140,85,65.7,13,11,14,10,26.3,7,7,0,0,0.0,19,-2
27,,,,opponent,38,38,3420,38,36,0.95,101,68,68.3,16,11,11,13,34.2,4,4,0,0,0.0,24,1
27,,,,opponent,38,38,3420,38,36,0.95,101,68,68.3,16,11,11,13,34.2,4,4,0,0,0.0,24,-2
28,,,,opponent,38,38,3420,38,29,0.76,135,102,81.5,20,12,6,14,36.8,9,4,4,1,50.0,101,1
28,,,,opponent,38,38,3420,38,29,0.76,135,102,81.5,20,12,6,14,36.8,9,4,4,1,50.0,101,-2
29,,,,opponent,38,38,3420,38,34,0.89,88,55,63.6,18,12,8,13,34.2,3,2,0,1,0.0,27,1
29,,,,opponent,38,38,3420,38,34,0.89,88,55,63.6,18,12,8,13,34.2,3,2,0,1,0.0,27,-2
30,,,,opponent,38,38,3420,38,28,0.74,102,73,75.5,18,11,9,21,55.3,5,3,2,0,40.0,34,1
30,,,,opponent,38,38,3420,38,28,0.74,102,73,75.5,18,11,9,21,55.3,5,3,2,0,40.0,34,-2
31,,,,opponent,38,38,3420,38,47,1.24,125,77,64.8,18,7,13,8,21.1,5,3,1,1,25.0,100,1
31,,,,opponent,38,38,3420,38,47,1.24,125,77,64.8,18,7,13,8,21.1,5,3,1,1,25.0,100,-2
32,,,,opponent,38,38,3420,38,34,0.89,133,100,76.7,18,13,7,16,42.1,4,3,0,1,0.0,103,1
32,,,,opponent,38,38,3420,38,34,0.89,133,100,76.7,18,13,7,16,42.1,4,3,0,1,0.0,103,-2
33,,,,opponent,38,38,3420,38,46,1.21,131,83,67.2,15,14,9,11,28.9,6,3,3,0,50.0,99,1
33,,,,opponent,38,38,3420,38,46,1.21,131,83,67.2,15,14,9,11,28.9,6,3,3,0,50.0,99,-2
34,,,,opponent,38,38,3420,38,37,0.97,120,83,73.3,16,11,11,15,39.5,6,5,1,0,16.7,67,1
34,,,,opponent,38,38,3420,38,37,0.97,120,83,73.3,16,11,11,15,39.5,6,5,1,0,16.7,67,-2
35,,,,opponent,38,38,3420,38,67,1.76,170,106,62.4,4,9,25,5,13.2,3,3,0,0,0.0,71,1
35,,,,opponent,38,38,3420,38,67,1.76,170,106,62.4,4,9,25,5,13.2,3,3,0,0,0.0,71,-2
36,,,,opponent,38,38,3420,38,59,1.55,150,90,66.7,10,11,17,6,15.8,12,9,2,1,18.2,72,1
36,,,,opponent,38,38,3420,38,59,1.55,150,90,66.7,10,11,17,6,15.8,12,9,2,1,18.2,72,-2
37,,,,opponent,38,38,3420,38,53,1.39,142,89,66.9,9,5,24,7,18.4,7,6,1,0,14.3,80,1
37,,,,opponent,38,38,3420,38,53,1.39,142,89,66.9,9,5,24,7,18.4,7,6,1,0,14.3,80,-2
38,,,,opponent,38,38,3418,38,50,1.32,138,89,69.6,15,13,10,9,23.7,10,8,1,1,11.1,91,1
38,,,,opponent,38,38,3418,38,50,1.32,138,89,69.6,15,13,10,9,23.7,10,8,1,1,11.1,91,-2
39,,,,opponent,38,38,3420,38,34,0.89,118,83,77.1,17,16,5,14,36.8,8,7,1,0,12.5,92,1
39,,,,opponent,38,38,3420,38,34,0.89,118,83,77.1,17,16,5,14,36.8,8,7,1,0,12.5,92,-2
40,,,,opponent,38,38,3420,38,60,1.58,159,101,69.8,10,13,15,7,18.4,13,12,1,0,7.7,93,1
40,,,,opponent,38,38,3420,38,60,1.58,159,101,69.8,10,13,15,7,18.4,13,12,1,0,7.7,93,-2
1,,,,team,38,38,3420,38,65,1.71,168,100,64.9,8,7,23,6,15.8,9,6,3,0,33.3,102,2
2,,,,team,38,38,3420,38,36,0.95,131,96,74.8,14,13,11,13,34.2,3,3,0,0,0.0,6,2
3,,,,team,38,38,3420,38,43,1.13,106,65,66.0,21,8,9,12,31.6,8,7,1,0,12.5,7,2
4,,,,team,38,38,3420,38,38,1.0,123,84,70.7,21,10,7,11,28.9,3,2,1,0,33.3,10,2
5,,,,team,38,38,3420,38,40,1.05,132,94,72.0,19,8,11,13,34.2,3,3,0,0,0.0,12,2
6,,,,team,38,38,3420,38,43,1.13,136,91,71.3,12,10,16,14,36.8,8,4,4,0,50.0,19,2
7,,,,team,38,38,3420,38,51,1.34,170,117,76.5,8,15,15,13,34.2,13,11,2,0,15.4,24,2
8,,,,team,38,38,3420,38,52,1.37,174,121,74.1,11,9,18,8,21.1,9,7,1,1,12.5,27,2
9,,,,team,38,38,3420,38,53,1.39,169,118,71.0,10,12,16,10,26.3,5,4,0,1,0.0,29,2
10,,,,team,38,38,3420,38,41,1.08,132,91,70.5,8,15,15,14,36.8,4,2,1,1,33.3,34,2
11,,,,team,38,38,3420,38,61,1.61,193,132,72.0,8,14,16,8,21.1,9,7,2,0,22.2,100,2
12,,,,team,38,38,3420,38,76,2.0,203,126,65.0,8,11,19,7,18.4,6,5,1,0,16.7,99,2
13,,,,team,38,38,3420,38,63,1.66,152,91,62.5,10,9,19,9,23.7,8,6,2,0,25.0,54,2
14,,,,team,38,38,3420,38,51,1.34,151,99,68.9,12,11,15,12,31.6,7,4,3,0,42.9,67,2
15,,,,team,38,38,3417,38,50,1.32,163,112,73.6,11,9,18,9,23.7,9,7,2,0,22.2,70,2
16,,,,team,38,38,3420,38,31,0.82,129,97,78.3,26,8,4,16,42.1,5,3,2,0,40.0,71,2
17,,,,team,38,38,3420,38,37,0.97,127,89,74.8,17,11,10,20,52.6,6,5,1,0,16.7,72,2
18,,,,team,38,38,3420,38,30,0.79,121,90,76.9,18,16,4,17,44.7,4,2,1,1,33.3,80,2
19,,,,team,38,38,3420,38,53,1.39,163,112,71.8,11,15,12,12,31.6,8,7,1,0,12.5,91,2
20,,,,team,38,38,3420,38,37,0.97,128,91,74.2,16,11,11,14,36.8,5,4,1,0,20.0,93,2
21,,,,opponent,38,38,3420,38,31,0.82,118,88,78.8,23,7,8,16,42.1,7,6,1,0,14.3,102,2
22,,,,opponent,38,38,3420,38,43,1.13,157,113,74.5,11,13,14,14,36.8,7,3,4,0,57.1,6,2
23,,,,opponent,38,38,3420,38,65,1.71,157,93,61.1,9,8,21,7,18.4,5,4,1,0,20.0,7,2
24,,,,opponent,38,38,3420,38,68,1.79,184,115,66.3,7,10,21,8,21.1,7,6,1,0,14.3,10,2
25,,,,opponent,38,38,3420,38,62,1.63,188,128,70.2,11,8,19,11,28.9,6,6,0,0,0.0,12,2
26,,,,opponent,38,38,3420,38,43,1.13,141,96,71.6,16,10,12,15,39.5,6,3,3,0,50.0,19,2
27,,,,opponent,38,38,3420,38,35,0.92,124,86,74.2,15,15,8,13,34.2,6,3,3,0,50.0,24,2
28,,,,opponent,38,38,3420,38,40,1.05,107,68,63.6,18,9,11,12,31.6,1,1,0,0,0.0,27,2
29,,,,opponent,38,38,3420,38,40,1.05,133,94,73.7,16,12,10,10,26.3,5,5,0,0,0.0,29,2
30,,,,opponent,38,38,3420,38,33,0.87,116,83,74.1,15,15,8,18,47.4,5,3,2,0,40.0,34,2
31,,,,opponent,38,38,3420,38,44,1.16,134,91,69.4,16,14,8,13,34.2,5,3,0,2,0.0,100,2
32,,,,opponent,38,38,3420,38,51,1.34,158,103,72.8,19,11,8,12,31.6,13,8,4,1,33.3,99,2
33,,,,opponent,38,38,3420,38,36,0.95,138,104,78.3,19,9,10,15,39.5,7,6,1,0,14.3,54,2
34,,,,opponent,38,38,3420,38,37,0.97,122,83,74.6,15,11,12,15,39.5,8,6,2,0,25.0,67,2
35,,,,opponent,38,38,3420,38,39,1.03,137,99,74.5,18,9,11,14,36.8,4,4,0,0,0.0,70,2
36,,,,opponent,38,38,3420,38,80,2.11,254,171,71.7,4,8,26,8,21.1,12,8,3,1,27.3,71,2
37,,,,opponent,38,38,3420,38,40,1.05,153,112,79.7,10,11,17,11,28.9,10,9,1,0,10.0,72,2
38,,,,opponent,38,38,3417,38,53,1.4,142,90,64.1,4,16,18,7,18.4,3,2,1,0,33.3,80,2
