id,Team_or_Opponent,GA_Goals,PKA_Goals,FK_Goals,CK_Goals,OG_Goals,PSxG_Expected,PSxG_per_SoT_Expected,PSxGPlus_Minus_Expected,_per_90_Expected,Cmp_Launched,Att_Launched,Cmp_percent_Launched,Att (GK)_Passes,Thr_Passes,Launch_percent_Passes,AvgLen_Passes,Att_Goal_Kicks,Launch_percent_Goal_Kicks,AvgLen_Goal_Kicks,Opp_Crosses,Stp_Crosses,Stp_percent_Crosses,#OPA_Sweeper,#OPA_per_90_Sweeper,AvgDist_Sweeper,team_id,season_id,Mins_Per_90
40,opponent,63,5,0,10,1,57.5,0.31,-4.5,-0.12,201,618,32.5,898,134,49.8,40.3,277,61.7,46.4,442,29,6.6,53,1.39,15.6,93,2,38.0
1,team,65,4,1,5,1,63.4,0.29,-0.6,-0.01,204,572,35.7,990,220,39.2,40.2,356,51.7,42.6,642,40,6.2,28,0.74,14.5,1,3,38.0
2,team,43,3,1,1,3,37.2,0.29,-2.8,-0.07,171,452,37.8,925,187,30.9,33.2,264,62.9,48.3,451,29,6.4,50,1.32,17.5,6,3,38.0
3,team,33,4,1,5,0,36.3,0.26,3.3,0.09,166,525,31.6,812,165,39.8,34.1,334,60.5,46.3,575,48,8.3,26,0.68,9.2,7,3,38.0
4,team,20,3,0,2,3,25.1,0.22,8.1,0.21,169,338,50.0,1216,190,22.3,28.9,223,30.0,32.5,375,18,4.8,43,1.13,16.4,10,3,38.0
5,team,41,3,1,7,1,44.0,0.29,4.0,0.1,229,635,36.1,956,149,44.0,39.6,315,67.9,49.1,582,22,3.8,43,1.13,12.1,12,3,38.0
6,team,53,5,1,10,1,42.9,0.27,-9.1,-0.24,184,506,36.4,934,171,37.5,35.3,289,54.0,43.9,509,22,4.3,39,1.03,18.1,19,3,38.0
7,team,53,9,1,7,0,53.4,0.22,0.4,0.01,270,829,32.6,916,150,59.1,46.4,322,89.4,64.2,651,44,6.8,30,0.79,13.6,24,3,38.0
8,team,67,7,0,6,2,71.9,0.31,6.9,0.18,195,442,44.1,819,175,33.8,34.9,318,51.9,40.9,600,22,3.7,21,0.55,14.0,27,3,38.0
9,team,69,5,1,9,2,54.5,0.27,-12.5,-0.33,305,659,46.3,865,122,49.7,36.2,347,66.0,48.0,557,27,4.8,46,1.21,13.8,29,3,38.0
10,team,45,4,0,7,2,45.5,0.23,2.5,0.07,409,904,45.2,782,99,75.1,49.8,347,91.4,59.8,586,36,6.1,46,1.21,15.0,34,3,38.0
11,team,55,6,2,5,0,62.0,0.33,7.0,0.18,169,464,36.4,1075,192,28.4,32.4,329,48.3,41.9,597,43,7.2,59,1.55,15.1,35,3,38.0
12,team,43,6,0,3,0,41.5,0.24,-1.5,-0.04,351,841,41.7,950,130,61.9,54.9,338,74.9,54.0,657,35,5.3,21,0.55,4.0,54,3,38.0
13,team,42,1,1,3,2,39.1,0.26,-0.9,-0.02,342,789,43.3,1084,145,53.4,41.1,315,66.7,50.8,534,30,5.6,57,1.5,16.3,67,3,38.0
14,team,53,4,0,11,4,45.9,0.3,-3.1,-0.08,154,545,28.3,834,204,44.5,38.6,310,56.1,46.5,512,24,4.7,54,1.42,16.1,70,3,38.0
15,team,36,4,0,2,1,34.2,0.22,-0.8,-0.02,97,241,40.2,1108,230,17.7,23.3,253,17.8,25.0,420,33,7.9,51,1.34,21.7,71,3,38.0
16,team,35,1,1,3,2,32.8,0.24,-0.2,0.0,244,572,42.7,1062,138,40.9,35.9,244,56.6,46.2,453,18,4.0,47,1.24,15.9,72,3,38.0
17,team,54,2,1,5,3,49.5,0.3,-1.5,-0.04,218,629,34.7,1143,136,38.0,44.0,307,63.5,49.3,524,32,6.1,49,1.29,12.2,80,3,38.0
18,team,45,2,0,7,2,42.9,0.28,-0.1,0.0,177,522,33.9,806,142,42.7,35.1,276,64.5,48.1,457,35,7.7,47,1.24,16.3,91,3,38.0
19,team,63,6,1,0,1,62.6,0.28,0.6,0.02,192,553,34.7,963,170,38.3,35.8,358,51.4,41.9,563,20,3.6,33,0.87,16.1,92,3,38.0
20,team,40,4,0,4,1,43.7,0.27,4.7,0.12,114,330,34.5,1159,191,21.7,28.8,293,26.6,29.1,548,37,6.8,45,1.18,15.5,93,3,38.0
21,opponent,49,2,1,11,0,43.2,0.27,-5.8,-0.15,187,493,37.9,931,166,36.8,35.4,267,56.2,45.0,453,36,7.9,50,1.32,16.4,1,3,38.0
22,opponent,47,5,1,2,1,52.0,0.28,6.0,0.16,271,721,37.6,1128,211,44.9,37.7,363,59.0,46.8,703,44,6.3,43,1.13,13.5,6,3,38.0
23,opponent,70,1,0,8,2,62.5,0.32,-5.5,-0.14,199,468,42.5,1002,189,33.1,34.2,298,45.6,40.7,497,32,6.4,66,1.74,15.6,7,3,38.0
24,opponent,70,0,0,4,1,63.6,0.34,-5.4,-0.14,287,724,39.6,923,149,52.2,41.2,387,62.5,47.0,561,26,4.6,50,1.32,15.5,10,3,38.0
25,opponent,46,8,1,5,3,48.6,0.27,5.6,0.15,186,449,41.4,944,160,33.3,33.5,271,49.8,42.6,400,17,4.3,37,0.97,16.7,12,3,38.0
26,opponent,43,2,0,3,2,42.7,0.25,1.7,0.04,208,523,39.8,950,142,37.8,36.3,279,58.8,45.2,559,29,5.2,26,0.68,12.5,19,3,38.0
27,opponent,30,4,0,1,1,32.7,0.26,3.7,0.1,219,518,42.3,948,194,36.7,34.5,323,52.6,42.6,519,39,7.5,55,1.45,15.3,24,3,38.0
28,opponent,30,4,0,7,0,33.4,0.23,3.4,0.09,202,487,41.5,898,133,34.7,34.0,284,61.6,46.4,581,26,4.5,29,0.76,13.1,27,3,38.0
29,opponent,52,5,0,9,1,50.2,0.29,-0.8,-0.02,199,501,39.7,937,195,35.9,35.2,310,53.2,42.2,542,38,7.0,33,0.87,13.4,29,3,38.0
30,opponent,34,5,2,2,0,36.4,0.25,2.4,0.06,217,582,37.3,1110,169,39.1,36.2,250,59.2,46.4,512,32,6.3,51,1.34,16.6,34,3,38.0
31,opponent,58,8,0,3,3,51.2,0.25,-3.8,-0.1,219,563,38.9,925,133,41.3,36.9,292,62.0,47.7,568,27,4.8,37,0.97,14.8,35,3,38.0
32,opponent,37,4,0,7,1,32.3,0.25,-3.7,-0.1,156,454,34.4,857,183,34.1,33.8,235,68.9,50.0,486,32,6.6,37,0.97,13.9,54,3,38.0
33,opponent,37,4,0,4,1,36.6,0.24,0.6,0.02,197,564,34.9,1096,178,35.7,34.4,325,53.2,43.6,649,45,6.9,49,1.29,15.1,67,3,38.0
34,opponent,45,4,2,4,4,38.0,0.21,-3.0,-0.08,253,634,39.9,1048,159,41.1,37.5,329,61.7,47.8,622,26,4.2,51,1.34,17.6,70,3,38.0
35,opponent,75,9,3,9,2,67.6,0.27,-5.4,-0.14,237,594,39.9,864,152,42.8,38.1,351,63.8,48.2,448,27,6.0,21,0.55,12.2,71,3,38.0
36,opponent,51,2,1,4,4,53.4,0.29,6.4,0.17,221,736,30.0,1144,158,46.7,39.4,301,67.1,49.9,422,29,6.9,40,1.05,16.1,72,3,38.0
37,opponent,47,4,0,7,0,43.2,0.28,-3.8,-0.1,202,590,34.2,991,176,40.7,36.3,327,57.2,44.2,649,28,4.3,39,1.03,13.8,80,3,38.0
38,opponent,42,5,1,3,2,46.9,0.28,6.9,0.18,217,594,36.5,951,159,44.0,37.7,323,54.5,44.8,701,42,6.0,35,0.92,12.8,91,3,38.0
39,opponent,33,3,0,4,1,34.2,0.22,2.2,0.06,250,605,41.3,902,152,43.6,37.8,323,65.6,49.9,527,18,3.4,45,1.18,17.1,92,3,38.0
40,opponent,59,4,1,5,2,60.0,0.29,3.0,0.08,233,548,42.5,850,148,42.9,37.8,300,61.0,47.4,394,22,5.6,41,1.08,14.9,93,3,38.0
1,team,46,8,0,4,2,44.8,0.25,0.8,0.02,315,778,40.5,886,125,62.2,41.7,335,67.8,48.4,530,29,5.5,37,0.97,15.2,102,4,38.0
2,team,75,6,0,8,0,70.3,0.32,-4.7,-0.12,181,615,29.4,1115,180,39.5,35.5,330,53.0,41.7,629,29,4.6,47,1.24,14.5,1,4,38.0
3,team,37,1,0,2,4,40.4,0.28,7.4,0.2,238,728,32.7,1050,164,48.0,32.4,272,82.4,59.3,491,33,6.7,49,1.29,15.3,6,4,38.0
4,team,43,1,0,3,0,39.8,0.28,-3.2,-0.08,114,336,33.9,725,180,27.2,31.5,298,46.6,39.0,579,36,6.2,22,0.58,11.8,7,4,38.0
5,team,44,2,0,1,0,41.6,0.28,-2.4,-0.06,113,216,52.3,1076,161,14.7,26.3,255,22.7,27.9,450,15,3.3,36,0.95,15.6,10,4,38.0
6,team,45,7,3,3,3,47.5,0.26,5.5,0.15,180,510,35.3,1022,167,35.2,30.6,279,53.8,42.6,541,38,7.0,42,1.11,12.6,12,4,38.0
7,team,57,6,0,7,3,56.0,0.31,2.0,0.05,176,494,35.6,811,182,38.3,35.5,312,58.7,45.4,556,28,5.0,36,0.95,13.3,19,4,38.0
8,team,55,2,0,6,1,51.7,0.3,-2.3,-0.06,364,910,40.0,991,123,62.8,49.3,342,84.2,60.7,617,60,9.7,45,1.18,7.0,24,4,38.0
9,team,54,5,0,7,0,55.2,0.29,1.2,0.03,341,915,37.3,977,124,66.6,39.2,322,82.0,56.2,463,18,3.9,62,1.63,10.7,34,4,38.0
10,team,46,5,0,8,0,51.1,0.28,5.1,0.13,155,420,36.9,1074,178,27.1,30.0,312,41.3,37.9,534,41,7.7,33,0.87,13.2,35,4,38.0
11,team,79,5,0,12,2,70.2,0.33,-6.8,-0.18,231,626,36.9,1096,185,40.1,32.2,293,63.8,47.9,536,33,6.2,52,1.37,12.6,100,4,38.0
12,team,47,5,0,5,3,51.2,0.29,7.2,0.19,146,473,30.9,1733,204,23.3,27.3,265,26.4,27.1,545,30,5.5,100,2.63,17.8,104,4,38.0
13,team,44,4,1,4,1,43.6,0.26,0.6,0.02,333,824,40.4,981,128,61.0,33.0,332,68.1,51.3,520,34,6.5,29,0.76,7.0,54,4,38.0
14,team,56,1,0,8,0,51.8,0.33,-4.2,-0.11,329,771,42.7,1071,119,55.2,40.4,308,58.4,43.4,537,30,5.6,58,1.53,16.4,67,4,38.0
15,team,48,1,1,5,2,47.8,0.31,1.8,0.05,170,613,27.7,915,176,46.3,36.3,320,59.1,47.8,534,23,4.3,40,1.05,17.0,70,4,38.0
16,team,26,1,0,2,1,34.4,0.29,9.4,0.25,79,210,37.6,952,177,17.1,27.0,291,16.2,24.3,487,35,7.2,38,1.0,14.7,71,4,38.0
17,team,39,6,0,5,1,40.8,0.27,2.8,0.07,192,465,41.3,1099,116,31.8,37.0,199,58.3,45.6,410,19,4.6,58,1.53,20.1,72,4,38.0
18,team,54,5,1,4,2,53.5,0.28,1.5,0.04,224,613,36.5,920,182,43.8,32.7,288,72.9,53.4,520,31,6.0,32,0.84,15.4,80,4,38.0
19,team,45,3,1,7,2,51.4,0.29,8.4,0.22,191,696,27.4,883,148,58.2,41.4,275,66.2,49.9,561,46,8.2,32,0.84,12.3,91,4,38.0
20,team,65,6,1,9,1,61.7,0.27,-2.3,-0.06,150,378,39.7,1015,190,26.8,30.2,354,29.9,29.8,688,35,5.1,36,0.95,5.3,93,4,38.0
21,opponent,36,3,0,5,3,43.1,0.26,10.1,0.27,193,497,38.8,1023,203,32.7,33.2,338,47.9,40.8,584,38,6.5,29,0.76,12.4,102,4,38.0
22,opponent,43,2,0,1,1,46.2,0.28,4.2,0.11,204,568,35.9,992,158,39.7,35.2,302,57.6,44.6,503,35,7.0,43,1.13,15.0,1,4,38.0
23,opponent,61,3,0,6,2,59.7,0.34,0.7,0.02,216,576,37.5,1189,170,34.4,33.3,306,54.6,43.4,651,32,4.9,45,1.18,15.0,6,4,38.0
24,opponent,70,5,0,4,2,65.7,0.3,-2.3,-0.06,194,535,36.3,1020,160,38.5,36.1,297,47.8,40.8,476,34,7.1,42,1.11,14.0,7,4,38.0
25,opponent,79,6,2,9,3,73.1,0.3,-2.9,-0.08,251,737,34.1,960,152,53.2,41.0,328,68.9,50.2,515,36,7.0,45,1.19,14.2,10,4,38.0
26,opponent,48,2,1,5,2,40.5,0.25,-5.5,-0.15,199,532,37.4,1055,152,37.5,33.8,279,48.7,40.4,483,31,6.4,33,0.87,12.9,12,4,38.0
27,opponent,46,3,0,3,1,50.4,0.3,5.4,0.14,202,559,36.1,958,141,41.0,36.4,299,55.5,42.8,504,29,5.8,59,1.55,15.9,19,4,38.0
28,opponent,26,3,1,4,1,32.8,0.25,7.8,0.21,203,523,38.8,871,179,41.2,37.5,304,53.9,42.2,602,41,6.8,47,1.24,15.3,24,4,38.0
29,opponent,42,6,0,6,0,48.1,0.27,6.1,0.16,193,611,31.6,1204,194,38.0,34.9,280,55.0,44.3,559,38,6.8,31,0.82,13.5,34,4,38.0
30,opponent,85,7,0,7,1,73.4,0.37,-10.6,-0.28,234,555,42.2,921,146,41.8,37.2,299,56.9,44.6,525,32,6.1,45,1.18,15.2,35,4,38.0
31,opponent,38,5,0,1,3,37.5,0.25,2.5,0.07,220,610,36.1,1057,154,41.9,36.9,271,61.6,46.6,508,34,6.7,42,1.11,14.4,100,4,38.0
32,opponent,33,3,1,4,0,37.2,0.26,4.2,0.11,231,627,36.8,1046,154,45.4,37.3,263,57.8,45.9,429,23,5.4,68,1.79,17.6,104,4,38.0
33,opponent,33,1,0,10,0,34.1,0.25,1.1,0.03,211,611,34.5,955,162,45.3,38.3,273,65.2,47.4,589,44,7.5,52,1.37,14.5,54,4,38.0
34,opponent,45,4,0,7,0,42.5,0.3,-2.5,-0.07,175,538,32.5,1024,189,37.1,35.1,304,52.0,42.5,641,28,4.4,52,1.37,15.7,67,4,38.0
35,opponent,29,6,1,3,0,43.4,0.23,14.4,0.38,245,640,38.3,1122,148,40.6,35.8,332,55.4,45.1,526,29,5.5,45,1.18,15.4,70,4,38.0
36,opponent,87,2,0,9,2,73.2,0.29,-11.8,-0.31,181,508,35.6,928,189,36.1,35.0,322,53.7,43.3,468,21,4.5,28,0.74,12.5,71,4,38.0
37,opponent,51,4,2,7,3,49.5,0.32,1.5,0.04,269,777,34.6,1090,107,52.2,40.9,331,62.8,47.1,519,30,5.8,30,0.79,13.8,72,4,38.0
38,opponent,48,2,0,10,2,51.2,0.31,5.2,0.14,170,501,33.9,871,168,36.9,35.3,348,51.7,42.1,727,28,3.9,38,1.0,13.8,80,4,38.0
39,opponent,40,8,0,1,1,42.4,0.27,3.4,0.09,236,535,44.1,1101,147,35.0,34.5,260,57.7,46.1,441,33,7.5,58,1.53,15.4,91,4,38.0
40,opponent,65,5,0,8,1,61.0,0.33,-3.0,-0.08,195,551,35.4,1005,136,41.0,36.2,246,56.5,44.0,478,27,5.6,52,1.37,15.2,93,4,38.0
